query879,"""It angry"""
query485,"""Gharama ya posho maisha"""
query1122,"""Kama baridi kama"""
query337,"""Mafuta <makampuni>"""
query312,"Kitagalogi, uchaguzi"
query336,"""Uhaba wa umeme"""
query355,kaa
query414,"""Kigaidi kundi"""
query341,"mvua, upepo"
query1923,giggle [hyp: kucheka]
query894,"Masbate, uchaguzi"
query1902,"rushwa, mkataba"
query1414,"""Taifa zao wenyewe"""
query433,"Cebu, mahojiano"
query1255,anchorage
query405,"ndege, Japan"
query359,<Majengo>
query109,"""Ya kunywa pombe"""
query1150,kazi
query1263,"""Haraka kama umeme"""
query1119,"Samar, mvuvi"
query368,"""Mvua na mvua"""
query747,"""Polisi mbwa"""
query1144,"Biblia [EVF: dini], hadithi"
query461,"""Shati jeupe"""
query1772,"""Adhabu ya kifo"""
query540,Sulu
query1261,"""Bandia hali ya"""
query1373,"Kichina, gavana"
query756,"""Lugha ya asili"""
query881,"""Kuvunjwa dirisha"""
query830,"""Zamani siku ya kuzaliwa ya Rais"""
query1884,"""Mkoa wa baraza"", rasmi [syn: rasmi]"
query3987,"""Roho <miradi>"""
query460,"habari, dawa"
query1963,"utamaduni [EVF: sanaa na masomo ya kibinadamu], mwanafunzi"
query614,"""Mapato yao"""
query464,"""Matokeo ya uchaguzi"""
query3107,za wazimu
query441,"fedha, kanisa"
query481,"""Kusaga takataka"""
query114,"hospitali, Manila"
query1241,istilahi
query103,"""Waasi Kikomunisti"""
query1007,"muhimu [syn: muhimu], operesheni [syn: kazi]"
query3598,"""<Kunywa> kahawa"""
query2216,systematisk
query933,"""Wao si sadists"""
query1301,"uhamisho, kichwa [EVF: mali]"
query781,"""Watoto wa mitaani"""
query533,"""Damu yao"""
query2207,"""Maisha msaada"""
query2292,Imelda
query620,ukuta [EVF: kizuizi]
query307,"""Laki moja peso"""
query137,"""Maoist uasi"""
query1371,"""Vitabu kwa ajili ya watoto"""
query366,wasomi
query1068,"jeepney, abiria"
query363,"""Msemaji wa rais"""
query1753,Riyadh
query1523,"""Kusafiri America"""
query4181,Tago [hyp: jina]
query338,"""Mafuta ugavi"""
query313,"uchaguzi, mashine"
query3968,"""Eunice Samonte"""
query528,"""Tishio la usalama"""
query188,"Kichina, mvuvi"
query471,"""Mfumo wa mahakama"""
query1288,"""Wajibu wa mtu binafsi"""
query1473,"""Pirated DVD"""
query779,kunguni
query1078,mgomo
query419,"ubinafsishaji, maji"
query2559,"""Idara ya Afya"", <chanjo>"
query742,"""Vita dhidi ya madawa ya kulevya"""
query1303,"""Usalama wa kijamii"", mchango"
query306,"Palawan, mpango"
query1109,"""Mwathirika maiti"""
query523,"""Hadi Jumapili"""
query1391,"Paris, pango [syn: pango]"
query392,kupelekwa
query673,"""Ushahidi wa kutosha"""
query435,"""Haramu ya madini"""
query139,"Ilocano, butterfly"
query1810,"""Mageuzi ya ardhi"""
query434,"""Sekta ya utalii"""
query4273,<Washauri>
query1052,"""Watoto 'haki za"""
query1577,"Davao, ""100 walimu wapya"""
query1834,rag [syn: kuifuta nguo]
query1237,"Laoag, ""joto kali"""
query123,"kodi, hotuba [syn: hotuba]"
