<1>	(0.000-1.605)	<no-speech>	<no-speech>
<2>	(1.605-21.399)	hivi kwa chuo cha Makerere imekuwa ni Kambi ya polisi wa kukabiliana na ghasia maanake hakuna raia wowote -- yeyote anayestahili kuingia katika chuo hicho na ni maafisa wa polisi ambao wamekizingira nje na ndani na kuchukua usimamizi wa chuo kizima kila mwanafunzi akiwa ameondolewa .	as of now Makerere University has become a police camp of countering chaos because there are no citizens that are allowed to go into that university and it is only police officers who have surrounded it from outside and inside taking over the management of the whole university with every student having been removed .
<3>	(21.399-33.109)	wale ambao wameripotiwa hawana nauli ya kwenda makwao wamechukuliwa na polisi na kuwekwa katika katika ma- -- <hes> -- katika vituo vya polisi kuwapa hifadhi ya muda <sta> wanaodai kwamba hawana nauli .	those reported to have lacked fare to their homes have been taken by the police and put in -- those claiming that they have no fare have been put in police stations and offered temporary accommodation .
<4>	(33.109-61.500)	wale ambao walikuwa wanajaribu tena kuiba ghasia kwamba hakuna wanakokwenda na kufungwa kwa chuo wanasema ni kinyume cha sheria hao wamechukuliwa na maafisa wa polisi wa kuzuia ghasia ikiripotiwa zaidi ya hamsini (()) wanafunzi wamekamatwa na watu wawili ikiwamo mwandishi wa habari wamepata majeraha kutokana na fujo ambazo wanafunzi wame- -- wameanzisha hivyo jana kufikia leo asubuhi .	those who were trying again to steal and cause chaos that they were going nowhere and that the closure of the university was unlawful have been taken by the police to avoid chaos as it is being reported that more that fifty (()) students have been arrested and two people including a journalist have been injured from the chaos which the students caused since yesterday until today morning .
<5>	(61.500-72.398)	na ninavyozungumza ni <sta> kwamba wahadhiri wamekataa kata kata kwamba hawatarejea madarasani kuweza kufunza kabla hawajapewa marupurupu yao ya miezi tisa .	and what I am saying is that lecturers have completely refused to go back to class to teach before they have been given their nine months' benefits .
<6>	(72.398-81.690)	hii leo ilikuwa imekubaliwa kwamba <sta> wapewe marupurupu ya mwezi mmoja miezi mwingine nane ikiweza kujadiliwa lakini hilo wamekataa haliwezekani .	today it had been agreed that they would be given one month's benefits and get the eight months' ones when discussed but they are adamant that it is impossible .
<7>	(81.690-110.680)	na vio- -- uongozi wa -- wa wanafunzi nao wameweza kufika katika afisi za Wizara ya elimu mbele ya waziri Janet Museveni ambaye ni bwa- -- bibiye Museveni wanafunzi hao wakiongozwa na Roy Ssembogga wakitaka hali ya masomo kurejelea katika Chuo Kikuu cha Makerere wakisema wamelipa ada hivyo bado hali hivi ni ya ku- -- kuvuta na kuvuta vuta nivute .	and -- the leaders of -- of the students have arrived at the ministry of education's offices in front of the minister Janet Museveni who is Museveni's wife the students led by Roy Ssembogga urging the state of learning to return at the Makerere University saying they have paid fees and at the moment the situation is still in a tug of war .
<8>	(110.680-127.501)	hau- -- hakujapatikana mwafaka ama njia ambayo tunaweza sema huu ndiyo mwelekeo . <lipsmack> lakini leo mchana kuna taarifa kwamba serikali iliweza kutangaza ku eh wapatia wahadhiri baadhi ya yale madai yao .	no agreement or a way has been found that we can say is the directive but the government today afternoon announced that yes it will give the lecturers some of their dues .
<9>	(127.501-129.654)	hili likoje na ukweli wake uko vipi ?	how is this and how is its truth ?
<10>	(129.654-132.060)	<no-speech>	<no-speech>
<11>	(132.060-140.664)	ndiyo hilo ninalozungumzia kwamba serikali ilikuwa imefanya mkutano uliongozwa na doctor Etyang ambao %incomplete	that is what I am talking about that the government had done a meeting that was led by Doctor Etyang which %incomplete
