<1>	'Julio': Dah! Wachezaji wanavuta bangi balaa	Julio: gosh! players these days smoke marijuana, it's catastrophic!
<2>	Umeshawahi kuusikia wimbo wa mwanamuziki 20 Percent...	have you ever heard the song by 20 percent?
<3>	unaitwa Bange...	it's called marijuana.
<4>	bange...	marijuana...
<5>	bange zimesababisha mi nisote...	marijuana has made me broke...
<6>	bange...	marijuana...
<7>	bange..	marijuana...
<8>	bange nitazisaliti ili nitoke.	I will betray marijuana so that I can get out.
<9>	Msanii huyo aliimba wimbo huo kuelimisha jamii kuwa uvutaji wa bangi sio kitu kizuri kwani zilisabasha mpaka akaenda jela baada ya kumpora mtu.	the artiste sang that song to educate society that smoking of marijuana is not a good thing because they caused him to go to jail because of stealing from someone.
<10>	Sasa Bangi inaonekana kumchukiza kocha mmoja mwenye makeke ya aina yake kwenye Ligi Kuu Bara.	now marijuana seems to vex one coach with a boast of his own in the Mainland Premier League.
<11>	Namzungumzia Jamhuri Kihwelo ‘Julio’, kocha mwenye mbwembwe nyingi na maneno mengi uwanjani kiasi cha kuwavutia mashabiki wengi wa soka ambao huvutiwa na porojo zake.	I am speaking about Jamhuri Kihwelo 'Julio', the coach with a lot of pomp and many words on the field, to the level of attracting many soccer fans who are attracted to his chatter.
<12>	Kocha huyo anapoiongoza timu yake utampenda kutokana na anavyokuwa akihangaika uwanjani lakini baada ya mechi, iwe amefungwa au kashinda hakosi maneno ya kuzungumza na vyombo vya habari.	when this coach leads his team, you will like him because of how he struggles on the field but after the match, whether they have lost or won, he never lacks words to speak to the media.
<13>	Spoti Miki ilifanya mahojiano na kocha huyo na kubwa zaidi ni madai aliyowahi kuyazungumza kuwa wachezaji wa Tanzania wengi wao hawafundishiki kutokana na kuvuta sana bangi na wakiingia uwanjani husahau maelekezo yote na kucheza wanavyojua wao.	Spoti Miki has had interviews with the coach and the major one was about the claims he always makes that most Tanzanian players are not trainable because they smoke too much marijuana and forget all instructions they are given when they get onto the pitch and instead play as they know.
<14>	Swali: Julio wewe ni kocha, kwanini wachezaji hawapigi hatua za mbali hata kumfikia Mbwana Samatta japo robo yake?	question: Julio, you are a coach, why don't the players make long strides reach Mbwana Samatta by just a quarter?
<15>	Julio: Ngoja nikwambie dada’angu, moja ya matatizo ya soka ya Tanzania kushindwa kupiga hatua ni wachezaji wengi kuvuta bangi.	Julio: let me tell you, my sister. one of the soccer problems stopping Tanzania from moving ahead is because many players smoke marijuana.
<16>	Ndio bangi, ile unayoifahamu wewe, wengine wanapenda kuuita mmea, wengine wanaiita ganja na wengine msuba.	yes, marijuana that you know of, some like to call it a plant, others call it ganja and others cats.
<17>	Ni tatizo kwa wachezaji.	it is a problem to the players.
<18>	Swali: Sasa Julio, kuna uhusiano gani hapo wa bangi na mchezaji?	question: now, Julio, what is the relationships between marijuana and a player?
<19>	Julio: Uhusiano upo, mimi nina ufahamu, na ninasema wachezaji wengi wa Tanzania wanavuta bangi jambo linalosababisha wakati mwingine kutoifanya kazi yao ipasavyo uwanjani na kufanya ovyo kutokana na akili zao kupelekeshwa na bangi…yaani wanacheza mpira wa kibangibangi.	Julio: there is a relationship, I understand it and I confess that many Tanzanian players smoke marijuana, something that makes them fail to do their job as required on the pitch at time, and perform poorly as a result of their brains being consumed by marijuana, that is, they play marijuana like soccer.
<20>	Swali: Julio wewe ni kocha, na kocha husimamia nidhamu ya wachezaji, inakuwaje unaachia?	question: Julio, you are a coach, and a coach oversees the discipline of the players. how come you're so lenient?
<21>	Julio: Mimi nasema, acha wachezaji wanione mbaya lakini kuna siku mambo yakifika shingoni, nitawataja tu tena wote ili kukiokoa kizazi cha soka la Tanzania.	Julio: I say, let the players view me as wicked but there is a day when things reach the head and I will just mention all of them so as to save the soccer generation in Tanzania.
<22>	Swali: Kwani umegundua nini hadi unasema wachezaji wanavuta bangi?	question: what have you discovered for you to say that players are smoking marijuana?
<23>	Julio: Mimi ninakwambia, Wallah wachezaji wa Tanzania wanavuta sana bangi na hizo bangi wanazovuta zinasababisha wacheze tu ili mradi uwanjani na kufanya uamuzi wa kushangaza.	Julio: I'll tell you, by God, Tanzanian players smoke a lot of marijuana and the marijuana that they smoke, causes them to just play to stay on the field and make surprising decisions.
<24>	Ujue bangi ikizidi sana, akili nayo inakuwa ovyo, kwani inakua imeshakaa kibangibangi na bangi inaathiri sana akili na kama ya mchezaji, mwisho wa siku anakujikuta anafanya vitu vya ajabu uwanjani.	you should know that when marijuana exceeds the limit, the brain wavers as it becomes clouded by marijuana. marijuana really affects the player's brain and at the end of the day finds himself doing shocking things at the pitch.
