<1>	Wachezaji wetu na ‘vitu’ vya ziada!	our players and 'extra' things!
<2>	May 31, 2012	31st May, 2012.
<3>	MWAKA 1979 timu ya Pan Afrika ya Dar es Salaam ilipangwa kukutana na timu ya AS Vita ya Zaire kwenye raundi ya pili ya michuano ya Kombe la Washindi Afrika katika mchezo uliopangwa kufanyika kwenye Uwanja wa Sheikh Amri Abeid mjini Arusha.	in the year 1979, the Pan-African Team of Dar es Salaam was set to meet with the AS Vita Team of Zaire in the second round of the African Winners Cup in a game that was planned to take place at the Sheikh Amri Abeid Stadium in Arusha Town.
<4>	Timu hizi zilikuwa zinashiriki michuano hiyo ya pili kwa ukubwa baada ya ile ya klabu bingwa ya Afrika, na ilishirikisha timu zilizoshika nafasi za pili kwenye ligi za nchi zao.	these teams were participating in the second-round competitions of the Africa Championships Club, involving teams that held the second position in the leagues in their countries.
<5>	Hata hivyo, Pan ilikuwa inashiriki michuano hiyo kutokana na kuwa bingwa wa michuano ya mtoano ya Kombe la Nyerere ambayo sasa haipo tena.	however, Pan-Africa was participating in the competitions because it was the champion of the Nyerere Cup Elimination Championship which no longer exists.
<6>	Ili kujiimarisha na mpambano huo dhidi ya timu hiyo ya Zaire ambayo ilikuwa ‘inatisha’ miaka hiyo, Pan Afrika iliamua kumuita mchezaji wake Sunday Manara ‘computer’ aliyekuwa akicheza soka ya kulipwa huko Austria.	in order to draw equal in the competition against the Zaire Team which was intimidating during those years, Pan-Africa decided to call on its player, Sunday Manara 'the computer', who was playing soccer professionally in Austria.
<7>	Kumbukumbu hazielezi vyema iliwezekanaje kwa Sunday kuweza kuja ‘kusaidia’ klabu ya nchini mwake katika michuano ya soka inayosimamiwa na FIFA, sio kwa uhamisho rasmi, huku akiwa amesajiliwa na klabu nyingine iliyokuwa inashiriki ligi ya Austria ambayo ilikua pia mwanachama wa FIFA.	records do not clearly explain how it was possible for Sunday to come 'help' the club in his country in soccer competitions that were supervised by FIFA, not on official transfer, while on contract with another club which was participating in Austria League and which was also a member of FIFA.
<8>	Iwavyo vyovyote, mipango ya kumleta Sunday Manara nchini ili ‘kuipa tafu’ timu ya Pan Afrika ikakamilika, lakini kwa bahati mbaya mchezaji huyo hakuweza kuwasili mapema na badala yake akafika kwenye uwanja wa ndege wa Kilimanjaro International saa chache kabla mchezo huo kuanza.	regardless, the plans to bring Sunday Manara to the country to boost the Pan-Africa team were carried out, but unfortunately the player was not able to arrive early and instead he arrived at the Kilimanjaro International Airport a few hours before the start of the match.
<9>	Pamoja na uchovu wa safari ya ndege ya saa zaidi ya 36, Sunday Manara alikuwa miongoni mwa wachezaji walioanza mpambano huo na akafanya ‘vitu’ vilivyotegemewa kutoka kwake; ingawa baadhi ya wapenzi waliouona mpambano ule wanakubaliana kuwa kadri muda ulivyokwenda ndivyo uchovu wa safari aliokuwa nao ulivyojionyesha.	exhausted from a flight journey of more than 36 hours, Sunday Manara was among the players who opened the match and did the 'things' that were expected of him; although some of the fans who watched the match agree that as time went by, the exhaustion from the journey started to show itself.
<10>	Timu ya Pan Afrika ilishinda mchezo huo kwa magoli 2-1 lakini ikatolewa kwenye michuano hiyo baada ya kufungwa bao 1-0 na Vita wiki mbili baadaye mjini Kinshasa.	the Pan-African team won the game 2-1 but it was removed from the championship after being beaten 1-0 by Vita two weeks later in Kinshasa City.
<11>	Pamoja na timu ya Pan Afrika kuwa imekamilika kwenye idara ya kiungo kutokana na kuwa na wachezaji mahiri kama Mohamed Adolf, Salum ‘Carlos’ Mwinyimkuu, Muhaji Mukhi na wengineo, bado uongozi wa klabu hiyo uliona umuhimu wa kumvusha mabara mchezaji huyo kuja nchini kuisaidia klabu hiyo.	together with the Pan-African team being strong in the midfielders unit from having skilled players like Mohamed Adolf, Salum 'Carlos' Mwinyimkuu, Muhaji Mukhi and others, the club's leaders saw the importance of getting the player across borders to come to the country to help the club.
<12>	Huyu alikuwa ni mchezaji aliyekuwa na uwezo wa ziada kiwanjani ambaye kitendo chake kimoja tu katika wakati usiotegemewa kingeweza kubadilisha sura ya mchezo.	he was a player who had exemplary ability on the field and whose one action at an unpredictable time could change the face of the game.
<13>	Mara kadhaa alipata kuhojiwa huko nyuma na vyombo vya habari na kusema kuwa siri kubwa ya uwezo wake ilikuwa ni kufanya ziada ya kile alichokuwa akifundisha mwalimu wake wa soka.	at various times he had been interviewed in the past by the media and said that the biggest secret to his ability was to do more than what his soccer coach was teaching.
<14>	Kwamba kama mazoezi rasmi ya timu yalikuwa yanaanza saa kumi, basi, yeye angefika kiwanjani saa tisa na kuanza kujifua kwa mazoezi binafsi kabla ya kujiunga na wenzake kwa mazoezi ya pamoja.	if the official training session for the team was to start at four o'clock, then he would arrive at three o'clock and start doing his own extra training before joining the others for group training.
<15>	Katika miaka ya karibuni mchezaji mwingine aliyepata kuwa na sifa hii ya kuwa na ziada ya kujifua ni aliyepata kuwa beki mashuhuri wa Simba, Boniface Pawasa.	in recent years, another player who came to have such a reputation of doing extra training is the once-famous Simba defender, Boniface Pawasa.
<16>	Majuzi pia tumesikia pia kocha wa taifa wa nchi moja ya jirani akimsifia mchezaji Shadrack Nsajigwa kuwa ana uwezo mkubwa wa kumaliza dakika 90 za mchezo akipanda na kushuka kwa kasi ile ile aliyoanza nayo.	recently, we also heard the national coach of a neighboring country praising the player Shadrack Nsajigwa for his impressive ability to complete 90 minutes of the game running up and down the field with the same speed he started with.
