<1>	Imechapishwa: Tue, Apr 25th, 2017	published: Tuesday, April 24th, 2017
<2>	MATUMIZI YA DOLA KWENYE UCHUMI YAATHIRI SHILINGI	the use of dollars in the economy affects the shilling
<3>	Tags	tags
<4>	Na Mwandishi Wetu	by our author
<5>	Suala la matumizi ya Dola za Marekani kama mbadala katika uchumi wa Tanzania, linatatiza wengi na wataalamu wamegawanyika kwa kukosa msimamo wa pamoja kuhusu tatizo hilo.	the issue regarding the use of American dollars as an alternative in Tanzania's economy troubles many people and experts have divided opinions about this problem.
<6>	Lakini ni ukweli usiopingika kuwa matumizi ya Dola yanaweza kusababisha matatizo kadhaa katika uchumi wa Taifa husika.	however, it is an indisputable fact that the use of dollars can result in several problems in the economy of the nation concerned.
<7>	Mojawapo ni kupoteza thamani kwa sarafu ya shilingi na kujitokeza kwa tabia ya kuthamini Dola ya Marekani kuliko Shilingi ya Tanzania katika baadhi ya miamala muhimu.	one of them is that shillings as a currency will lose its value and the perception will emerge that the American dollar is valued more than the Tanzanian shilling in various important transactions.
<8>	Heshima kwa nchi huru yenye sarafu yake hupungua kwani utawala ni pamoja na kuwa na sarafu yenu.	respect for a free country with its currency decreases as the rule includes having your currency.
<9>	Hivi leo uchumi wa Venezuela unayumbishwa kwa matatizo yatokanayo na hali hiyo.	today, Venezuela's economy is staggering with problems emerging from this situation.
<10>	Wahusika hulazimika kuweka bei katika Dola ili kujilinda na kupoteza fedha na thamani ya biashara zao, kwani Shilingi inashuka thamani kiholela sana.	the concerned parties are forced to set prices in dollars to safeguard themselves from losing money and the value of their businesses, since the value of shillings is declining arbitrarily.
<11>	Wakizibadili kuwa Dola huwawezesha kununua bidhaa nyingine nje ya nchi bila kupoteza thamani yake.	exchanging to dollars enables them to buy other commodities outside the country without losing its value.
<12>	Kwa maelezo ya msomi wa uchumi, Profesa Honest Ngowi, ni kwamba nia kuu ya kuweka bei katika Dola ni kulinda thamani ya biashara.	in the explanation from an economic expert, Professor Honest Ngowi, it's said that the main goal of setting prices in dollars is to protect the value of the business.
<13>	Hata hivyo, hii inakuwa lazima tu kwa sababu ya kuyumba sana kwa thamani ya Shilingi ikilinganishwa na Dola sokoni.	all the same, this is mandatory because of the great instability of the value of the shilling as compared to the dollar in the market.
<14>	Anasema tatizo jingine ni nchi kutoweza kusimamia sera zake za fedha vizuri na fedha za nchi nyingine ndizo zinatamalaki katika mzunguko na miamala ya nchi husika.	he says another problem is when a country is unable to uphold its financial policies appropriately when foreign currencies dominate in circulation and transactions for that concerned country.
<15>	Ndiyo maana ni lazima kutafuta suluhu ya kudumu ya tatizo hili.	that is why we must find a lasting solution to this problem.
<16>	Wakati mwingine ni kukithiri kwa rushwa na utakatishaji wa fedha haramu katika uchumi, kwani huhitaji matumizi ya sarafu za nje na za ndani zishiriki kwa pamoja.	sometimes, it is the rampant bribes and illegal money laundering in the economy, since it requires the use of foreign and local currency to correlate together.
<17>	Mapato ya bidhaa kama madawa ya kulevya huendeshwa katika mfumo wa sarafu mbili ndani na nje ya nchi.	revenue from commodities such as hard drugs is conducted in a system of two currencies, local and foreign.
<18>	Prof Ngowi anasema mambo mengi yanapaswa kufanyika ili kuwa na suluhu endelevu kwani kuzuia hali hii kwa sheria tu si mwafaka.	Professor Ngowi says many things need to be done in order to have a sustainable solution since counteracting this situation through the law alone is not appropriate.
<19>	Jawabu ni kuimarisha thamani ya Shilingi kwa nchi kupata fedha nyingi za kigeni baada ya kuuza bidhaa na huduma nje.	the solution is to strengthen the value of the shilling for the country to get more foreign currencies instead of selling commodities and services abroad.
<20>	Mazingira rafiki na wezeshi yanahitajika katika uchumi husika.	friendly and enabling environment are required in the respective economy.
