<1>	Matumaini yapo Utalii kufufuka	there are expectations for tourism to overflow
<2>	AKATI Rais Uhuru Kenyatta alipofanya mabadiliko kwenye baraza lake la mawaziri mwishoni mwa mwaka uliopita, mabadiliko yaliyofanywa katika Wizara ya Utalii ndio yalivutia maoni na sifa tele kutoka kwa idadi kubwa ya Wakenya.	when President Uhuru Kenyatta made changes in his cabinet of ministers towards the end of last year, the changes that were made in the ministry of tourism are what attracted opinions and praise from a large population of Kenyans.
<3>	Wananchi pamoja na wawekezaji katika sekta ya utalii walijitokeza kusifu kuchaguliwa kwa Bw Najib Balala kuwa waziri wa Utalii, baada yake kuhudumu kama waziri wa Madini tangu Muungano wa Jubilee ulipounda serikali mwaka wa 2013.	citizens along with investors in the tourism sector came out to praise the appointment of Mister Najib Balala as the Minister of Tourism, after serving as the Minister of Minerals since the union of Jubilee formed the government in 2013.
<4>	Hii ni kutokana na mafanikio yaliyoshuhudiwa wakati Bw Balala alipokuwa waziri wa utalii katika serikali ya Rais Mstaafu Mwai Kibaki.	this is a result of success witnessed when Mister Balala was the Minister of Tourism in the government of the retired President Mwai Kibaki.
<5>	Kwa majuma mawili sasa, Bw Balala amekuwa akiendeleza shughuli zinazolenga kuinua sekta hiyo ambayo imetatizika kwa muda mrefu kutokana na mashambulio ya kigaidi ambayo hutekelezwa na kundi la kigaidi la AlShabaab.	for the past two weeks, Mister Balala has been developing activities targeting the improvement of the sector which has been troubled for a long time because of terrorists attacks performed by the terrorist group Al-Shabaab.
<6>	Miradi yake imeleta matumaini mengi kwa wawekezaji wa utalii hasa katika eneo la Pwani ambako ni kitovu cha utalii humu nchini.	his projects has brought a lot of expectations to tourism investors especially in the Coast area which is the core of tourism in this country.
<7>	Leo, Bw Balala anatarajiwa kuzindua kampeni kubwa ya kutangaza vivutio vya utalii katika Pwani kwa kurejesha kasa baharini Watamu, kaunti ya Kilifi.	today, Mister Balala is expected to launch a big campaign to advertise tourism centers at the Coast by returning turtles to Lake Watamu, Kilifi county.
<8>	Wakati Bw Balala atakapokuwa akirejesha kasa huyo katika bahari, tukio hilo litaangaziwa kote ulimweguni ambapo watazamaji watajionea kwa njia ya mtandao.	the time when Mister Balala returns the turtle to the lake will be broadcasted worldwide where viewers can watch online.
<9>	Mji wa Watamu katika Kaunti ya Kilifi ambao umepata sifa tele kote u l imwe n g u n i , kutokana na fuo za bahari za kupendeza, ndio utatumika kwa sherehe hiyo ambayo inalenga kuvutia watalii kutoka humu nchini na wa kutoka nchi za nje.	the town of Watamu in the Kilifi county has received a lot of praise worldwide because of its lovely ocean beaches which will be used for the ceremony targeting to attract tourists both from within and from outside countries.
<10>	Bw Balala alisema sherehe hiyo ya kurejesha kasa katika bahari ni tukio la kuvutia, akiongeza kuwa litaweza kuvutia watalii katika maeneo ya Pwani ambayo yamekuwa yakikumbwa na upungufu mkubwa wa watalii.	Mister Balala said that the ceremony of returning the turtle to the lake is an attractive event, adding that it will attract tourists from the Coastal area which have been faced by a big lack of tourists.
<11>	"Tunataka kutumia sherehe hii muhimu kuangazia viumbe katika bahari, fuo zetu za kupendeza, maeneo ambayo watu wanaweza kupiga mbizi baharini na michezo mbalimbali ambayo hufanyika baharini," Bw Balala akasema.	"we want to use this important event to focus on sea creatures, our beautiful beaches, swimming areas for people and other games that are done in the sea," Mister Balala said.
