<1>	(0.000-1.033)	-ari za Kitaifa .	international news .
<2>	(1.033-14.910)	<no-speech> mwenyekiti wa jukwaa ya wahariri bwana Absalom Kibanda aliyeshambuliwa na kujeruhiwa vibaya na watu wasiojulikana usiku wa kuamkia leo amesafirishwa kuelekea jijini Johannesburg nchini Africa kusini kwa matibabu zaidi <breath> .	the chairman of the editor's forum mister Absalom Kibanda who was attacked and badly injured by unknown people last night has been transported to Johannesburg city in the country of South Africa for more treatment .
<3>	(14.910-25.710)	huku jeshi la polisi nchini likitangaza kuunda jopo maalum la wapelelezi kumi kwa ajili ya kuchunguza tukio hilo lililotokea majira ya saa sita usiku eneo la Mbezi Juu jijini Dar es Salaam .	while the police force in the country announced the composition of a special team of detectives in order to investigate the incident that occurred around midnight in upper areas of Mbezi in Dar es Salaam city .
<4>	(25.710-27.575)	taarifa ifuatayo inafafanua zaidi <no-speech> .	the following report explains further .
<5>	(27.575-50.983)	Absalom Kibanda ambaye pia ni mhariri mtendaji wa kampuni ya New Habari elfu Mbili na Sita Limited <breath> inayo miliki gazeti ya Mtanzania aliondoka kwenye taasisi ya mifupa Muhimbili Moyi alipokuwa akipatiwa matibabu ya awali majira ya saa tisa alasiri <breath> huku akiagwa na waandishi wa habari kutoka vyombo mbalimbali waliofika hospitalini hapo <breath> na serikali ikiwakilishwa na makamu wa Rais Doctor Muhammad Zari Bilali .	Absalom Kibanda who is also the executive editor of New Habari two thousand and six Limited company that owns Mtanzania newspaper left the Muhimbili Moyi bones institute when he was being given first aid treatment in the time of three o'clock afternoon while being sent off by journalists from various media who went to that hospital and the government was represented by the Vice president Doctor Muhammad Zari Bilali .
<6>	(50.983-51.920)	<no-speech>	<no-speech>
<7>	(51.920-57.890)	<no-speech>	<no-speech>
<8>	(57.890-63.153)	<no-speech>	<no-speech>
<9>	(63.153-78.310)	akizungumza na Channel_Ten afisa mtendaji mkuu wa New Habari elfu Kumi na Sita Limited Hussein Bashe ambaye ndiye mwajiri wake <breath> ameeleza namna alivyosimuliwa na Kibanda kuhusiana na jinsi alivyoshambuliwa na maeneo ambayo ameumizwa .	talking to Channel Ten the chief executive officer of New Habari ten thousand Limited Hussein Bashe who is his employer explained how it was narrated to him by Kibanda concerning the way he was attacked and the areas where he has been hurt .
<10>	(78.310-81.234)	<hes> ameumizwa -- ameumizwa jicho la kushoto <no-speech> .	he has been hurt -- he has been hurt on the left eye .
<11>	(81.234-82.470)	<no-speech>	<no-speech>
