<1>	Siku ya utalii duniani kuadhimishwa mwezi ujao	world tourism day to be commemorated next month
<2>	Aug 11, 2016 by Raia Mwema in Utalii na Mazingira	August 11, 2016 by Raia Mwema in Tourism and Environment
<3>	Na Mwandishi Wetu	by our author
<4>	UMOJA wa Mataifa (UN) umetangaza kwamba dunia itaadhimisha kilele cha siku ya utalii duniani Septemba 27 mwaka huu.	United Nations (UN) has announced that the world will commemorate the peak of world tourism day on September 27 this year.
<5>	Umuhimu wa siku hii, kwa mujibu wa taarifa iliyotolewa na shirika la umoja wa mataifa linaloshughulikia utalii (UNWTO) ni kuongeza ushawishi na uelewa kwa jumuiya za kimataifa kuhusu umuhimu wa utalii kwa manufaa ya kujamii, kiutamaduni, kisiasa na kiuchumi.	the importance of this day, according to the information provided by the United Nations World Tourism Organization (UNWTO), is to increase the influence and awareness in the international community about the importance of tourism for social, cultural, political and economic benefits.
<6>	Kauli mbiu ya maadhimisho ya siku ta utalii duniani ni “utalii unaofikiwa na watu wote” na inasisitiza kuwekwa kwa mazingira ambayo yatawawezesha watu wote duniani kunufaika na sekta hii ikiwemo wale wanaotalii ama wale ambao hawatalii.	the motto of the commemoration of world tourism day is: "tourism is reached by everyone" and it insists on being placed in an environment that will enable everyone in the world to benefit from this sector including those who explore and those who do not.
<7>	Kauli mbiu hii pia inalenga kuhakikisha kwamba watu wenye ulemavu, familia zenye watoto wachache na wazee wote wananufaika na manufaa yoyote yatokanayo na sekta ya utalii ambayo ni muhimu kwa kukuza uchumi na kutengeneza ajira.	this motto also aims to ensure that people with disabilities, with small families and all the elderly can benefit from whatever benefits emanate from the tourism sector which is important in growing the economy and in job creation.
<8>	“Tunataka kuwaomba watu wote duniani kufaidika na rasilimali mbalimbali za uzuri wa dunia tunayoishi.	"we want to urge everyone across the globe to benefit from various resources from the beauty of the world we live in.
<9>	Mwaka huu maadhimisho ya siku ya utalii duniani yatatusaidia kusambaza ujumbe wa umuhimu na faida ya utalii kwa wote,” UN ilisema katika taarifa yake.	this year, the commemoration of world tourism day will help us spread the message of the importance and benefits of tourism to all," the UN said in a statement.
<10>	Takwimu zinaonyesha kwamba idadi ya watalii waliotembelea vivutio mbalimbali vya utalii duniani ilikua kwa asilimia 4.3 mwaka 2014 hadi kufikia watalii bilioni 1.133 ambao waliingiza kiasi cha dola trilioni 1.5 (shilingi trilioni 3,000) ya mauzo yote ya bidhaa nje.	statistics show that the number of tourists who visited the various tourism centers in the world was 4.3 percent in the year 2014, up to 1.133 billion tourists who generated a sum of 1.5 trillion dollars (3,000 trillion shillings) of all export sales.
<11>	Shrika la Umoja wa mataifa linaloshughulikia utalii (UNWTO) linatarajia kwamba kuanzia mwaka 2015 idadi ya watalii kutoka nje ya nchi itakua kwa asilimia tatu hadi nne, kiwango ambacho kitakuwa kidogo ikilinganishwa na ukuaji wa mwaka 2014.	the United Nations World Tourism Organization (UNWTO) expects that from 2015, the number of tourists from outside the country will grow from three percent to four, a level that will almost be comparable to the growth of 2014.
<12>	UN inasema kwamba siku hiyo pia itasaidia kusukuma mchango wa sekta ya utalii na usafiri katika kufikia malengo ya Maendeleo Endelevu (SGDs) na kuangalia changamoto mbalimbali ambazo jamii inakumbana nazo sasa katika kufaidika na masuala ya utalii.	the UN says that the day will also help to spearhead the contribution of the tourism and transport sectors towards attaining the Sustainable Development Goals (SGDs) and to address the various challenges that society currently faces in the course of benefiting from issues around tourism.
