<1>	WIPA kuendesha mkutano wa kimataifa wa kujadili gesi na mafuta, Aprili 11-12 Jijini Dar	WIPA to drive the international conference to discuss gas and oil, April 11th-12th in Dar City.
<2>	Taasisi isiyo ya kiserikali ya Wajibu – Institute of Public Accountability (WIPA) imeandaaÂ mkutano wa Kimataifa utakaofanyika kuanzia Aprili 11-12 Mwaka huu, utakaojadili masuala ya uwajibikaji katika sekta ya Gesi asilia na Mafuta.	the non-governmental institution Wajibu Institute of Public Accountability (WIPA) has organized an international meeting that will take place from April 11th-12th this year, and will discuss the issues on accountability in the sector of natural gas and oil.
<3>	Hayo yamesemwa leo jijini Dar es Salaam na Mkurugenzi Mtendaji wa taasisi hiyo Bw.Ludovick Utouh alipokuwa akizungumza na waandishi wa habari jijini Dar es Salaam ambapo lengo la mkutano huo ni kuahakikisha rasilimali ya gesi na mafuta zinainufaisha Watanzania na nchi kwa ujumla.	this was announced today in Dar es Salaam City by the managing director of the institution Mister Ludovick Utouh while speaking with journalists in Dar es Salaam City. the objective of that conference is to ensure the resources of gas and oil are benefiting Tanzanians and the country in general.
<4>	Utouh ambaye ni Mdhibiti na Mkaguzi Mkuu wa Hesabu za Serikali (CAG) Mstaafu, alisema sababu za taasisi-fikra hiyo kuandaa mkutano huo ambao utahusisha wataalam mbalimbali kutoka nje ya nchi watakao wasilisha mada zilizojikita katika masuala ya uwajibikaji ni kujadili na kupata uzoefu wa jinsi kusimamia sekta ya gesi na mafuta.	Utouh, who is the retired comptroller and auditor general (CAG) said the reasons for the institution's idea to organize that conference, which will involve various experts from outside the country who will deliver focused topics on the matters of accountability, are to discuss and get experience on how manage the gas and oil sector.
<5>	â€œTukiwa kama taasisi yenye lengo la kutoa elimu ya masuala ya uwajibikaji nchiniÂ kuwajengea uwezo wataalamu mbalimbaliÂ kuhusu dhana ya uwajibikaji, tumeamua kuandaa Mkutano wa Kimataifa utakao lenga sekta ya Gesi asilia na Mafuta ili kupata uzoefu kwa nchi za wenzetu wenye rasilimali hiyoâ€, alisema Bw. Utouh na kuongeza kuwa:Â â€œKwa sasa nchi yetu imegunduaÂ sehemu nyingi zenye kiwango kikubwa cha neema ya gesi, hivyo tumeona ipo haja ya kuzingatia masuala ya uwajibikajiÂ na kuifanya rasilimali hii iwe baraka na siyo vinginevyoâ€,alisema Bw. Utouh.	"as an institution with an aim to provide education on accountability issues in the country to build capacity for various experts about the concept of accountability, we have decided to organize an international conference that will focus on the natural gas and oil sector to get experience from fellow countries with those resources," said Mister Utouh, adding that "our country has now discovered many areas with plenty of gas, so we have realized that there is a need to focus on accountability issues and to make this resource a blessing and not a curse."
<6>	Alisema (WIPA)Â ina malengo ya kujenga uwelewa mpana waÂ dhana ya uwajibikaji kwa wananchi na ndiyo maana tumeona ni vyema kuandaa mkutano utakaohusisha wataalamu mbalimbali wa ndani na njeÂ ya nchi kwa ajili ya kujadili namna ya kufanikisha suala la uwajibikaji katika sekta Gesi asilia na Mafuta.	he said (WIPA) has objectives of building a wide understanding on the concept of understanding to the citizens, and that is the reason we have deemed it a good idea to organize a conference that will involve various experts from inside and outside the country, for the purpose of discussing ways of actualizing the issue of accountability in the natural gas and oil sector.
<7>	Mbali na hayo Mkurugenzi Mtendaji huyo alifafanua kuwa mkutano huo utashirikisha Wakaguzi wa Mahesabu na Wahasibu ambao watasikiliza mada kutoka kwa wataalam wa Kimataifa wa masuala ya uwajibikaji wenye uzoefu wa kusimamia sekta za gesi asilia na mafuta ili kujenga uzoefu wa namna ya kusimamia rasilimali hiyo.	apart from that, the managing director expounded that the conference will involve auditors and accountants who will listen to the topics from the international experts on issues of accountability, who have experience in managing natural gas and oil sectors so as to build experience in ways of managing that resource.
<8>	Pamoja na hayo Bw.Utouh alisema Bodi ya Taifa ya Ukaguzi ya Wahasibu na Wakaguzi wa Hesabu (NBAA) itawapa saa 16 ya elimu ya uzoefu wahasibu na wakaguzi wa hesabu watakaoshiriki mkutano huo.	Mister Utouh also said that the National Board of Accountants and Auditors (NBAA) will give 16 hours of education on experience to the accountants and auditors who will participate in that conference.
<9>	Hata hivyo mkutano huo unaataraijia kuwa na washiriki 100 kutoka Tanzania na 50 kutoka nje ya nchi zenye uzoefu na sekta ya Gesi Asilia na Mafuta na usajili wa kushiriki mkutano huo unafanyika kupitia tovuti ya www.wajibu.or.tz	however, the conference is expected to have 100 participants from Tanzania and 50 from outside countries which have experience in the natural gas and oil sector, and registration to participate in that conference is happening through the website www.wajibu.or.tz.
<10>	Baadhi ya watoa mada kwenye mkutano huo ni Bw. Al Kassim, mtaalamu wa Mafuta kutoka Norway, Bw.Lai Yahya kutoka Nigeria, Prof.Patrick Lumumba kutoka Kenya, Mkurugenzi Mtendaji wa TWAWEZA Bw. Aidan Eyakuze, Dkt. Abel Kiyondo kutoka REPOA na Prof. Honest Ngowi kutoka Chuo Kikuu Mzumbe.	among the topic presenters at the conference are Mister Al Kassim, an expert on oil from Norway, Mister Lai Yahya from Nigeria, Professor Patrick Lumumba from Kenya, the executive director of We Are Able Mister Aidan Eyakuze, Doctor Abel Kiyondo from REPOA and Professor Honest Ngowi from Mzumbe University.
<11>	Imeandaliwa naÂ Anitha Jonas â€“ MAELEZO.	prepared by Anitha Jonas, Information.
