<1>	Waliokula fedha za mikopo kitanzini	those who ate borrowed money dead
<2>	Imeandikwa na Maulid Ahmed na Gloria Tesha, Dodoma	written by Maulid Ahmed and Gloria Tesha, Dodoma
<3>	Imechapishwa: 07 Novemba 2016	published: 07 November 2016
<4>	MUSWADA wa Sheria ya Mabadiliko ya Sheria Mbalimbali Namba 3 wa Mwaka 2016 unatarajiwa kuwasilishwa bungeni leo, ukigusa sheria tisa ikiwemo ya Mikopo kwa Wanafunzi wa Elimu ya Juu ambapo sasa mnufaika wa mkopo aliyejiajiri atalipa kiasi kisichopungua Sh 120,000 au asilimia 15 ya kipato chake, huku taasisi za umma, bodi, wakala na tume zimebanwa zisirekebishe au kuwianisha mishahara, posho na marupurupu kwa watumishi.	the bill of law for changes to miscellaneous law number 3 of the year 2016 is expected to be brought to parliament today, touching on nine laws, including loans to higher education students, whereby now the beneficiary of loans who is self-employed will pay an amount no less than 120,000 shillings or 15 percent of his income, while public institutes, boards, agents, and commissions have been blocked not to correct or balance salaries, allowances, and benefits of public servants.
<5>	Kwa mujibu wa muswada huo, kwenye Sheria ya Mikopo kwa Wanafunzi wa Elimu ya Juu, waajiri wanaoshindwa kuwasilisha marejesho ya mwezi baada ya makato wataadhibiwa, ambapo mwajiri atawajibika kuitaarifu Bodi ya Mikopo kuhusu ajira ya mtu yeyote ambaye ana shahada au stashahada na kukata makato ya mwezi kutoka kwenye mshahara wa mnufaika wa mkopo.	in accordance with this bill for the law of loans to higher education students, employers who fail to take monthly returns after the deadline will be punished, and the employer will be responsible for informing the loans board about the employment of anyone who has a diploma or certificate and subtract a deduction of one month from the salary of the beneficiary of the loan.
<6>	Kifungu hicho kinapendekeza kufanya marejesho ya mkopo kuwa ya kisheria na kupewa nafasi ya awali katika orodha ya makato na kinapendekeza kupunguzwa idadi ya wajumbe wa Bodi ya Mikopo na kufikia saba kwa lengo la kupunguza gharama za uendeshaji.	this clause recommends making refunds of loans lawful and that they be given an earlier space on the list of reductions and it recommends a reduction of the number of delegates of the loans board and to reach seven with the goal of reducing running costs.
<7>	Mishahara, posho za watumishi Kwenye marekebisho ya Sheria ya Utumishi wa Umma, Kifungu cha 8 kinapendekeza kufanyiwa marekebisho ili kumpa mamlaka Katibu Mkuu (Utumishi) kurekebisha na kuwianisha mishahara, posho na marupurupu mengine kwa watumishi wa umma.	clause 8 recommends amendments to be made in order to give the permanent secretary (public service) power to correct and balance salaries, allowances, and other benefits of public servants.
<8>	Inapendekezwa kumuondolea Katibu mamlaka ya kuteua watumishi wa umma wanaounda baraza la majadiliano ya pamoja ya watumishi wa umma na sasa waziri atateua katibu kutoka wizara yenye dhamana na kada husika ya watumishi.	it's recommended that they remove the power to appoint public servants, who make up the joint council of debates of public servants, from the secretary, and now the minister will appoint the secretary from the ministry with the guarantee and the concerned cadre of public servants.
<9>	Pia inapendekezwa kufuta kifungu cha 11 ili kuondoa masharti yanayokataza Baraza la majadiliano ya pamoja ya watumishi na baraza la pamoja la watumishi wa umma kutoa mapendekezo kuhusu ujira.	also, it's recommended that they remove article 11 in order to remove rules that prevent the joint council of debates of public servants and the joint council of public servants from giving recommendations regarding employment.
<10>	Faini papo hapo ukikiri kosa Kwa upande wa marekebisho ya Sheria ya Leseni na Usafirishaji, Mamlaka ya Udhibiti Usafiri wa Nchi Kavu na Majini (Sumatra) kutaongezwa kifungu ili kuweka masharti yanayoruhusu ulipwaji wa faini pale mkosaji anapokiri kosa, badala ya kila kosa kufuata taratibu za kimahakama.	failure to apologize in terms of the Licensing and Freight Amendment Act, the Territory Regulatory Authority (Sumatra) Regulatory Authority will be added to the provisions to set conditions that allow for instant fines when an offender commits an offense, in addition to any offense following the procedural procedures.
<11>	Muswada huo una marekebisho kwenye Sheria ya Mazingira ambako kutawekwa mwongozo wa namna ya kupima urefu wa mita 60 kwenye kingo za bahari, ziwa, mto au bwawa la maji kinachozuiliwa kufanyia shughuli zozote za binadamu.	this bill has amendments to the law of the environment, where guidance will be given on how to measure the length of 60 meters on the shores of the sea, lake, river or a water dam that is blocked from any human activity.
<12>	Upimaji utapimwa kuanzia kwenye kingo za maeneo hayo.	the measurement will be measured from the shores of these areas.
<13>	Sheria nyingine zitakazofanyiwa marekebisho kwenye Mkutano wa Tano wa Bunge la 11 ni ya Usafiri wa Anga, Sheria ya Msajili wa Hazina na Sheria ya Vipimo.	other laws that will be amended in the fifth meeting of parliament of 11 are air transport, the registrar of treasury law and the measurement law.
<14>	Spika Job Ndugai wakati akizungumza na waandishi wa habari kabla ya kuanza kwa Mkutano wa Tano wa Bunge wiki iliyopita, alieleza kuwa kwa wiki hii Bunge litapokea taarifa ya Mdhibiti na Mkaguzi wa Hesabu za Serikali(CAG) ya mwaka 2014/2015 kisha kujadili na kuishauri serikali kuhusu Mkataba wa Ushirikiano wa Kiuchumi kati ya Jumuiya ya Ulaya (EU) na Afrika Mashariki (EPA-EU) na kisha taarifa ya kamati ndogo kuhusu uchambuzi wa sheria ndogo.	Speaker Job Ndugai, while speaking with journalists before the start of the meeting of the fifth parliament last week, explained that for this week, this parliament will receive a statement from the controller and auditor general of government (CAG) of the year 2014/2015, then debate and advise the government concerning the agreement of cooperation between the European Union (EU) and East Africa (EPA-EU) and then a statement from a small committee concerning the analysis of small laws.
