<1>	Mbaroni kwa kutengenezea vyeti feki vya shule, taaluma	in custody for making fake school and professional certificates.
<2>	Imeandikwa na Alexander Sanga,Mwanza	written by Alexander Sanga, Mwanza
<3>	Imechapishwa: 04 Novemba 2016	published: 4th, November, 2016.
<4>	TAASISI ya Kuzuia na Kupambana na Rushwa (Takukuru) mkoani Mwanza, imewakamata watu watatu kwa kosa la kuisababishia Serikali hasara kwa kutengeneza nyaraka feki vikiwemo vyeti vya shule na taaluma.	the Institution of Prevention and Fight of Corruption (Takururu) in Mwanza Province has arrested three people for the offense of causing the government a loss for making fake certificates among them for schools and professions.
<5>	Mkuu wa Takukuru mkoani humo, Ernest Makale, amewataja watuhumiwa wanaoshikiliwa na Polisi kuwa ni Mumtaz Joshi (45),Halima Samweli(23) na Mode Mjengi(45).	the head of Tukururu in the province, Ernest Makale has named the suspects being held by police as Mumtaz Joshi (45), Halima Samweli (23) and Mode Mjengi (45).
<6>	Alisema watuhumiwa hao walikamatwa Oktoba 25, mwaka huu, kwenye duka la vifaa vya elimu lenye jina Mumtaz, mkoani hapa.	he said those suspects were arrested on 25th October, this year at an education tools shop by the name Mumtaz, here in the province.
<7>	"Watuhumiwa hawa wamekuwa wakitumia, kuandaa nyaraka feki za Serikali na kuziuza kwa watu mbalimbali.	"these suspects have been using, creating fake government documents and selling them to different people.
<8>	Mumtaz Suleiman amekiri kuwa tangu mwaka 2009 wamekuwa wakiandaa nyaraka feki za Serikali na kuziuza kwa wateja kama vile namba ya mlipa kodi, leseni za biashara na magari, hati za viwanja, vyeti vya elimu ya sekondari na vyuo vikiwemo vyuo vya afya na bima za magari" amesema Makale.	Mumtaz Suleiman has admitted that since the year 2009, they have been creating fake government documents and selling them to customers, such as the taxpayer's number, business and vehicles licenses, title deeds, educational certificates for secondary and colleges including medical colleges and vehicles' insurances," said Makale.
<9>	Vitu vingi ambavyo watuhumiwa hao wametengeneza ni hati za kusafiria na za kuishi nchini, stakabadhi ya malipo za Halmshauri ya jiji la Mwanza, Ilemela, Bunda, Geita na Magu.	many things which the suspects have created are documents for travel and residence in the country, receipts of payments of the municipal of Mwanza, Ilemela, Bunda, Geita and Magu.
<10>	"Stakabadhi za malipo za mashine za EFD na nyaraka nyingine nyingi zilizokuwa zikitumika katika zoezi zima la kukwepo kodi, kujipatia ajira, kujipatia mikopo na kuficha utambulisho wa mali za wizi yakiwemo magari na pikipiki" amesema Makale.	"the EFD machine payment receipts and other many documents that were being used in the whole exercise of eluding tax, getting employment, getting loans and hiding of identification of stolen properties including vehicles and motorbikes," said Makale.
<11>	Makale amesema Takukuru imebaini uwepo wa mtandao mkubwa wa uandaaji na utumiaji wa nyaraka feki za serikali na wanaendelea na uchunguzi kubaini mtandao huo hatari kwa usalama wa Watanzania na uchumi wa nchi kwa ujumla.	Makale has said Takukuru has discovered the presence of a big network of creating and usage of fake government documents and they are continuing with investigations to reveal the network, dangerous to the security of Tanzanians and the economy of the country in general.
<12>	Makale aliwaonya wananchi waache mchezo huo mchafu wa kutumia nyaraka feki kwa makusudi yoyote yale kwani ni hatari kwa taifa kwa ujumla.	Makale has warned the citizens to stop the dirty game of using fake documents for any intention because it is dangerous to the nation in general.
<13>	Suleiman alithibitisha kuwa yeye ni mtaalamu wa kusanifu kurasa na ana ujuzi wa muda mrefu wa matumizi ya kompyuta na alikiri kutengeneza nyaraka hizo feki na kuziuza kutokana na ugumu wa maisha na ushawishi mkubwa kutoka kwa wahitaji wa nyaraka feki.	Suleiman confirmed that he is an expert of standardizing pages and he has long term expertise on the use of computers and he admitted to creating those fake documents and selling them as a result of hardships in life and a lot of persuasion from those in need of the fake documents.
