<1>	(0.000-4.455)	<sta> kwa hivyo mniache nichukue form kwanza ya uraisi halafu tutaongea kidogo .	so let me first take the presidential forms then we shall talk a little .
<2>	(4.455-12.473)	anaingia kwa ofisi za T_F_F <breath> anatoka na kuonyesha ushujaa wa kuchukua nafasi hiyo <no-speech> na sasa anatoa rai .	he enters the T_F_F offices he gets out and shows his heroism in taking that position and he now gives an opinion .
<3>	(12.473-37.580)	<sta> T_F_F ni taasisi kubwa sana <no-speech> <sta> sio mahali pa kujaribu <no-speech> uzoefu wa miaka minne nakifanya sasa <sta> siendi kujaribu <no-speech> msingi imara umeshajengwa <no-speech> <sta> tumechelewa sana tunatakiwa tukimbie sana kwa hivyo miaka minne hii tutapambana kwa nguvu zetu ni kuhusu gambling .	T_F_F is a very big institution it is not a place to try four years of experience working now I am not going to try a firm foundation has already been built we are so late we really need to run therefore in this four years we shall fight with all our might it is about gambling .
<4>	(37.580-41.760)	<sta> upangaji wa matokeo wa aina yoyote ile itakuwa priority .	arranging of results of any kind will be priority .
<5>	(41.760-54.125)	<sta> hatutamuacha <no-speech> -- hatutamuacha mtu ambaye kwa namna yoyote ile <no-speech> <sta> ameibuka kwenye mpira kwa ushujaa wa kupanga matokeo tutapambana nalo hilo jambo kwa nguvu zetu zote .	we will not leave anyone who in any way has skillfully emerged in football by changing results we shall deal with that matter with all our might .
<6>	(54.125-84.380)	mwingine ni Jamal Malinzi ni mpinzani wa Athumani Nyamlani lakini yeye Malinzi alipowasili katika ofisi hizi <breath> hakutaka kumtaja Nyamlani kama mpinzani lakini ni mdau katika kinyang'anyiro hicho . <breath> lakini kufika kwa Jamal Malinzi katika ofisi hizi sikuchukua form za uraisi <breath> bali ni kurudisha fomu hizi <breath> kwa kuwa alitumia ufumo wa kisasa zaidi wa mtandao kujiandikisha <breath> nakufanya malipo papo hapo .	the other is Jamal Malinzi who is Athumani Nyamlani's rival but when Malinzi arrived at these offices he did not want to mention Nyamlani as his rival but he's a stakeholder in the race but Jamal Malinzi's arrival at these offices is not to collect presidential forms but is returning these forms because he used a more modern system of the internet to register and to make payments therein .
<7>	(84.380-86.617)	na je ana rai gani ?	what opinion does he have ?
<8>	(86.617-96.468)	<sta> elfu mbili na nane nilijaribu kugombea nafasi ya juu kabisa kiongozi wa mpira nchini kama Rais wa T_F_F <sta> lakini kura hazikutosha .	two thousand and eight I tried to vie for the top most position in football leadership in the country as the president of T_F_F but the votes were insufficient .
<9>	(96.468-97.390)	<no-speech>	<no-speech>
<10>	(97.390-113.430)	<sta> sikukata tamaa kwa namna moja au nyingine niliendelea kujihusisha na michezo <sta> na tunavyo zungumza hivi sasa mimi ni mjumbe wa kuanza utendaji wa chama cha mpira cha wilaya ya Misenyi mkoani Kagera <sta> lakini pia ni mwenyekiti wa chama cha mpira cha mkoa wa Kagera .	I did not give up for one reason or the other I kept on participating in sports and as we talk right now I am a representative for starting the football association of Misenya district in Kagera province but I am also the chairman of the football association of Kagera province .
<11>	(113.430-128.320)	<sta> kwa hiyo mimi niko kwenye mchezo muda mrefu imani yangu ni kwamba nitaweza kwa ridhaa ya ujumbe mkuu <sta> kuweza kupata fursa ya kutoa mchango ambao naamini soka letu tutaweza kuliondoa pahali tulipo na kuweza kulipeleka mbele zaidi .	therefore I have been in the game for a long time my faith is that I will with the approval of the main delegation to be able to get an opportunity to give contribution which I believe we shall be able to get our soccer where we are to take it further .
<12>	(128.320-149.846)	<sta> tufanye kampeni ambazo hazitakuwa na mambo ya ukabila kanda udini <no-speech> <sta> eneo <no-speech> tufanye kampeni ambazo tutasimama kwenye hoja <no-speech> -- uchaguzi wa T_F_F umepangwa kufanyika Februari ishirini na nne mwaka huu <breath> na bado mchakato unaendelea .	let us do campaigns that will not have tribalism religious division zone the region let us do campaigns which we shall stand on issues -- T_F_F elections has been scheduled to take place on twenty fourth February this year and still the process goes on .
<13>	(149.846-150.767)	<no-speech>	<no-speech>
<14>	(150.767-153.191)	Phillipe Cyprian T_B_C Dar es Salaam .	Phillipe Cyprian T_B_C Dar es Salaam .
<15>	(153.191-154.940)	<no-speech>	<no-speech>
<16>	(154.940-176.033)	tukiwa bado kwenye uchaguzi huo taarifa tunazipata ni kwamba mwenyekiti wa chama cha mpira wa miguu mkoa wa Kigoma Omar Musa Kwaruro <breath> naye amejitosa kuwania kiti cha Uraisi wakati kwa upande wa boardi ya ligi kuu alichukua form kwenye ofisi za T_F_F mpaka sasa ni wawili <breath> ambao ni Yusuf Manji ambaye amechukua form ya uwenyekiti wa kati Sayeed Mohammed <breath> amechukua fomu ya kuwania makamu mwenyekiti wa boardi hiyo .	while still on the election the news we receive is that the football chairman in Kigoma district Omar Musa Kwaruro has also showed up to vie for presidency when on the side of the premier leagues board . he took forms from T_F_F offices . until now they are two who are Yusuf Manji who has taken the chairmanship form for Central Sayeed Mohammed has taken a form to vie for the deputy chairperson of that board .
