<1>	Wanawake, watoto mbaroni vitendo vya ugaidi	women, children in jail on terrorist acts
<2>	Imeandikwa na Hellen Mlacky	written by Hellen Mlacky
<3>	Imechapishwa: 17 Novemba 2016	published: November 17, 2016
<4>	POLISI Kanda Maalumu Dar es Salaam kupitia kikosi kazi kinachopambana na uhalifu wa kutumia silaha na ujambazi, kimewakamata wanawake wanne na watoto wanne kwa tuhuma za kujihusisha na mafunzo ya ugaidi katika maeneo ya Vikindu, Mkuranga mkoani Pwani.	police in the special region of Dar es Salaam, via the armed crime and robbery unit, have arrested four women and four children on allegations of involvement in terrorist training in the area of Vikindu, Mkuranga, Pwani Province.
<5>	Akizungumza na waandishi wa habari jana Dar es Salaam, Kamanda wa Polisi Kanda Maalumu ya Dar es Salaam, Kamishna wa Polisi, Simon Sirro alisema watoto hao wanne walikuwa wametoroshwa kutoka familia ya Shabani Abdala Maleck ambaye ni mkazi wa Kitunda.	speaking to journalists yesterday in Dar es Salaam, the Police Commander of the special region of Dar es Salaam, Police Commissioner Simon Sirro, said the four children had been smuggled from the family of Shabani Abdala Maleck, a resident of Kitunda.
<6>	Kamanda Sirro alisema polisi ilipokea taarifa kutoka kwa mzazi mmoja wa kiume aitwaye Maleck, kuwa ametoroshewa watoto wanne na mtalaka wake aitwaye Salma Mohamed aliyeingizwa kwenye harakati za kigaidi.	Commander Sirro said police received a report from one of the male parents, Maleck, that four children had been stolen from him by his divorcee, Salma Mohamed, who had been recruited into terrorist activities.
<7>	Alisema wawili hao walitengana Februari mwaka huu na Juni mwaka huu, mwanamke huyo ndiyo alikwenda Kitunda na kuwatorosha watoto hao.	he said they had separated in February this year, and in June the woman went to Kitunda and sneaked off with the children.
<8>	Alisema kati ya watoto hao waliokamatwa mmoja imebainika kuwa ni wa Maleck.	he said among the children arrested, one of them was revealed to be Maleck's.
<9>	“Jitihada za pamoja kati ya mtoa taarifa na Polisi zilifanikisha kuwakamata wanawake wanne na watoto wanne katika eneo la Kilongoni Vikindu mkoani Pwani wakiwa wamekusanywa kwenye nyumba ya mtu mmoja anayeitwa Suleiman, wakiwa wanafundishwa mambo ya dini na harakati za kigaidi,” alisema Kamanda Sirro.	"combined efforts between the reporter and the police enabled the arrest of four women and four children in the area of Kilongoni, Vikindu, Pwani Province, where they were gathered in the house of a man called Suleiman and being taught religious and terrorist activities," said Commander Sirro.
<10>	Alisema baada ya mahojiano zaidi na watuhumiwa hao ambao majina yao yamehifadhiwa, imejidhihirisha kuwa baadhi ya watoto hao wameachishwa masomo katika shule mbalimbali nchini.	he said after further interrogation of the suspects, whose names have not been disclosed, it has been revealed that some of the children were pulled from various schools around the country.
<11>	“Baadhi ya watoto wameachishwa na wazazi na walezi wao na kuingizwa katika madrasa ambazo ndizo kambi walikokamatiwa chini ya uangalizi wa wanawake waliokamatwa pamoja nao,” alifafanua.	"some of the children were pulled by the parents and their caretakers and enrolled in Madrassa, the camps where they were arrested, under the watch of the women they were arrested with," he revealed.
