<1>	Wamefungua milango yote ya nchi na madirisha pia!	they have opened up all the doors of this country, and the windows too!
<2>	Aug 15, 2012	August 15, 2012
<3>	WIKI iliyopita gazeti la Guardian lilichapisha matokeo ya utafiti kuhusu sekta ya utalii uliofanywa na Makamu Mkuu wa Chuo Kikuu cha St. Augustine, Dk.	last week the Guardian newspaper published the findings of a study on the tourism industry, conducted by the Vice-General of Saint Augustin University, Doctor
<4>	Charles Kitima. Kwa hakika, matokeo ya utafiti wake yanafikirisha na kuhuzunisha kwa yeyote anayeipenda nchi hii.	Charles Kitima. indeed, the results of his research make one think, and are saddening to anyone who loves this country.
<5>	Kwa mujibu wa utafiti huo, karibu Shilingi trilioni 1.2 zinazopatikana kila mwaka kutoka katika sekta ya utalii nchini, huishia nje ya nchi (capital flight) yanakotoka mashirika makubwa ya kimataifa – Multinational Companies (MNCs) yanayomiliki hisa nyingi katika biashara za sekta hiyo nchini.	according to the survey, around 1.2 trillion shillings per year from the country's tourism industry end up outside the country (through capital flight), where the multinational corporations, Multinational Companies (MNCs), who own a lot of stock in the country's tourist businesses, come from.
<6>	Kwa ufupi, utafiti wa Dk. Kitima unaonyesha kuwa wageni ndio wamiliki wakubwa wa biashara katika sekta hiyo.	in short, Doctor Kitima's research suggests that foreigners are the largest business owners in the industry.
<7>	Anatoa mfano wa vitalu vya uwindaji ambavyo asilimia 95 vinamilikiwa na wageni; huku wazawa wakiambulia asilimia 5 tu.	it illustrates that 95 percent of hunting blocks are owned by foreigners, while the average population of foreigners makes up only 5 percent.
<8>	Na ni kwa sababu hiyo ya asilimia kubwa ya biashara ya sekta ya utalii kumilikiwa na wageni, mapato karibu yote katika sekta hiyo huishia nje ya nchi; kwa maana hiyo ya capital flight.	and for that reason, the largest percentage of tourist businesses have been invested in by foreigners, and almost all of the revenue collected from the industry ends up abroad, by way of capital flight.
<9>	Ingawa utafiti wa Dk. Kitima uligusa sekta ya utalii tu, ni imani yangu kwamba hali ni hiyo hiyo katika sekta nyingine kuanzia ya madini, fedha (mabenki) hadi ya mawasiliano ya simu za mikononi.	although Doctor Kitima's research only touched on the tourism sector, it is my belief that the situation is the same in other sectors, from mining and finance (banks) to cell phone communication.
<10>	Hali hii inatufanya baadhi yetu tuanze kujiuliza kama kweli hii ndo stahiki yetu katika kiwewe chetu hiki kipya cha kukaribisha uwekezaji wa kigeni kwa staili ya kuwafungulia si tu milango yote; bali pia na madirisha yote!	this situation makes some of us start asking ourselves if this is really what we are worth in this new confusion of welcoming foreign investors by opening for them not just all our doors, but also all our windows.
<11>	Nasema hivyo kwa sababu, licha ya kuwa mimi si mchumi, naelewa ya kuwa hata makandokando mengine madogo ambayo wazawa tulistahili kuyapata kutoka kwa wawekezaji hao wa kigeni, hatuyapati katika viwango vya kuridhisha kama tulivyoahidiwa wakati milango hiyo ya uwekezaji ikifunguliwa yote na madirisha pia!	I say this because, despite not being an economist, I understand that we do not even receive the small amount that we are promised to inherit from these foreign investors when the doors and windows to investment are open!
