<1>	61st IB Philippine Army, Naghuramentado!	61st IB Philippine army, ran amuck!
<2>	Ka Jury Guerrero Jose Percival Estocada, Jr. Command, NPA-Central Panay Oktubre 8, 2013 Nahubaran ng maskara ang pagpakitang mabait ng 61st IB Phil. Army at nakita na naman ang duguang kamay ng kriminal na yunit na ito nang walang habas na pinaulanan ng bala ng mga nag- ooperasyong tropa ng Alpha Company ang mga taumbaryong nagtitipon sa bahay ni Barangay Kagawad Abelardo Diaz Sr., sa Barangay Nayawan, Tapaz, Capiz, bandang 9:30 ng umaga noong Oktobre 7, 2013.	ComradeJury Guerrero Jose Percival Estocada, Junior Command, NPA-Central Panay October 8, 2013 the 61st IB Philippine Army's pretense of being good was unmasked, and the bloody hand of this criminal unit was seen again when the operating troop of the Alpha Company recklessly fired bullets at the barrio people meeting at the house of Barangay Council member Abelardo Diaz Senior in Barangay Nayawan, Tapaz, Capiz, around 9:30 in the morning on October 7, 2013.
<3>	Nagresulta ito sa pagkapatay kay Pastor Laranja Mirasol Jr., isang magsasaka at maliit na negosyante ng saging at pagkasugat ng kanyang bayaw na si Rolando Diaz Sr., isa ring magsasaka.	this resulted in the killing of Pastor Laranja Mirasol Junior, a farmer and small scale businessman of bananas and injury of his brother-in-law Rolando Diaz Senior, also a farmer.
<4>	Lalo pang natakot ang mga taumbaryo, kasama na si Barangay Kapitan Garson Catamin, nang sila ay pinagtutukan ng mga baril, pinag-imbestiga at hindi pinaalis sa lugar pagkatapos ng pangyayari.	the barrio people, including Barangay Captain Garson Catamin, were even more scared when guns were aimed at them, were investigated and were not allowed to leave the place after the incident.
<5>	Tinipon ni Barangay Kapitan Garson Catamin ang mga mamamayan sa magkalapit na mga kabahayan sa bahay ni Barangay Kagawad Abelardo Diaz Sr., upang ipaalam sa kanila ang dapat gagawin at ang kanilang mga karapatan dahil sa nangyaring ambus bandang 6:45 ng umaga ng Oktubre 7 sa hangganan ng Barangay Nayawan at Tacayan.	Barangay Captain Garson Catamin gathered the residents of nearby houses into the house of Barangay Councilmember Abelardo Diaz Senior, to inform them of what they should do and their rights because of the ambush that occurred around 6:45 in the morning of October 7 at the boundary of Barangay Nayawan and Tacayan.
<6>	Napatay sa ambus ang 3 tropa ng 61st IB at nasugatan ang marami pa.	3 troops of the 61st IB were killed in the ambush and many more were wounded.
<7>	Kasunod nito, umpisa ng mga 12:30 nang tanghali, habang kinukuha ng 3 helikopter ang mga patay at sugatan na Phil. Army, pinaulanan ng bala ng masinggan ng helikopter ang mga kakahuyan, gubat at mga kaingin sa Barangay Tacayan.	following this, starting around 12:30 at noon, while 3 helicopters were taking the dead and injured phil. army, machine gun bullets of the helicopter were fired at the woods, forest and burned land in Barangay Tacayan.
<8>	Kasinungalingan ang pahayag ni Major Rey Tiongson, tagapagsalita ng 3rd ID, Phil. Army, na kasapi daw ng NPA si Pastor Mirasol Jr at Rolando Diaz, Sr..	the statement of Major Rey Tiongson, spokesperson of the 3rd ID, Philippine Army, that Pastor Mirasol Junior and Rolando Diaz, Senior were members of the NPA is a lie.
<9>	Hindi bago ang pagsisinungaling ng pamunuan militar kaugnay ng kanilang mga karahasan.	it is not unusual for military leaders to lie with regard to their violence.
<10>	Kung maalaala pa, noong Marso 11, 2012, pinaputukan din ng M203 grenade launcher ng mga sundalo ng Peace and Development Teams ng Charlie Company, 61st IB PA na nakabase sa detatsment nito sa Barangay Tacayan ang bahay ni Robert Aguirre na nagresulta sa pagkapatay kay Rodelyn Aguirre, 6 na taon gulang at pagkasugat ng kaniyang kapatid na si Roda, 4 na taon gulang.	if it can be remembered, last March 11, 2012, M203 grenade launcher were also fired by the soldiers of the peace and development teams of the Charlie Company, 61st IB PA based at its detachment in Barangay Tacayan the house of Robert Aguirre which resulted in the killing of Rodelyn Aguirre, 6 years old and the wounding of her sister Roda, 4 years old.
<11>	Pinalabas ng Phil Army at PNP noon na ang mga bata ay naglalaro ng improvized explosive device ng NPA.	the Philippine Army and PNP made it appear then that the children were playing with an improvised explosive device of the NPA.
<12>	Madalas ang mga operasyon at pang-aabuso ng 61st IB PA sa mga bundok na barangay ng Tapaz at Calinog dahil sa malakas na pagkontra ng mga mamamayang Tumanduk sa dalawang megadam na proyekto ng Rehimen US-Aquino sa Ilog Jalaur at Ilog Pan-ay.	operations and abuse of the 61st IB PA in the mountain barangays of Tapaz and Calinog are common because of the strong opposition of the Tumanduk people against the two mega-dam projects of the US-Aquino regime on Jalaur River and Pan-ay River.
<13>	Patuloy din ang pang-aagaw ng 3rd ID Phil. Army sa lupang ninuno ng mga Tumanduk at magsasaka sa pamamagitan ng Military Reservation na sumasaklaw ng 33,310 ektaryas.	the 3rd ID Philippine Army also continues to grab the ancestral land of the Tumanduks and farmers by means of a military reservation that covers 33,310 hectares.
<14>	Unti-unti pa rin silang tinataboy sa pamamagitan ng mga kontramamamayang proyekto ng pagpapatanim ng kahoy, pagbabawal sa kaingin at paggawa ng uling na siyang ikinabubuhay ng mga katutubo at magsasaka sa kabundukan.	they are gradually being driven away by means of the anti-resident projects of planting trees, prohibiting burning of land and making charcoal which are the means of livelihood for the natives and farmers in the mountains.
<15>	Singilin ng mahal ang mga krimen ng 61st IB Phil. Army!	charge a high price for the crimes of the 61st IB Philippine Army!
<16>	Katarungan para kay Pastor Mirasol, Jr. at sa iba pang mga biktima ng karahasan ng 61st IB!	justice for Pastor Mirasol, Jr. and the other victims of violence by the 61st IB!
