<1>	MAG-INGAT KAY ‘DR. PULPOL’	be careful with Doctor Blunt
<2>	ITO’Y isang babala sa mga nais kumuha sa serbisyo ng isang dentista na hindi muna natin papangalanan pero tatawagin ko na siyang ‘Dr. Pulpol.’	this is a warning for those who want to get the service of a dentist whom we will not yet name but I will call him "Doctor Blunt."
<3>	‘Di lang isa, kundi ilan na ang nagreklamo sa Chokepoint tungkol sa kabalbalan at kasubaan ng naggagaling-galingang dentista na ito.	not only one, but many have complained in Chokepoint about the falseness and rudeness of this dentist who acts like he is so good.
<4>	Nakapagngingitngit ang mga narinig nating iisang pahayag ng mga biktima ng ‘di matatawarang kasuwapangan at kalokohan ni ‘Dr. Pulpol.’	the unified statements that we have heard from the victims are maddening about the incomparable greediness and anomaly of Doctor Blunt.
<5>	Sa kuwento ng mga nakaranas sa walanghiyang modus operandi ni ‘Dr. Pulpol.’	in the story of those who have experienced the shameless modus operandi of Doctor Blunt.
<6>	Maliwanag na ang dentista na ito ay walang binatbat.	it is clear that the dentist has no qualifications.
<7>	Dahil kung maningil sa inihahaing serbisyo, aba’y milyones kung manuring, pero ang resultang ipinangako ay pinagdurusahan ng mga nabolang kliyente.	because when he charges for the services he rendered, he considered millions, but the result he promised is suffered by the fooled clients.
<8>	Bakit kanyo?	why so?
<9>	Aba’y kung ‘di nalalaglag ang piyesa ng ibinaong ngipin, dumudugo ang gilagid, sumasakit ang ulo at ‘di makakain ang mga pasyente.	if the pieces of buried dentures do not fall off, the gums bleed, the head aches and the patient cannot eat.
<10>	Dahil sa kapalpakan ng dentistang ito, ang kanyang napala – kaliwa’t kanang demanda mula sa mga naloko ng pulpol niyang serbisyo.	because of the failure of this dentist, what he has gotten into- left and right charges from the fooled victims of his blunt services.
<11>	‘’Di naman sana idedemanda si ‘Dr. Pulpol’ pero dahil balasubas, minarapat ng mga biktima na dalhin na lang siya sa korte.	Doctor Blunt would not even be charged with a case but because he is a swindler, the victims have made sure to bring him to court.
<12>	Walang ‘K’ (karapatan) ito na maging dentista dahil walang binatbat, pero sumikat dahil laging ‘guest’ daw ito ng isang pang-gabing broadcaster.	he has no "r" (right) to become a dentist because he does not have any qualification, but have become famous because he always becomes a guest to an evening broadcaster.
<13>	Nakukuha ang mga mayayaman na pasyente dahil sa matamis niyang pananalita, pero sa katotohanan, palpak ang serbisyo ni ‘Dr. Pulpol.’	he has gotten his rich clients because of his sweet words, but in truth, the service of Doctor Blunt is a failure.
<14>	Nasuspinde na ng anim na buwan ang nasabing doctor dahil sa kapalpakan ng trabaho, ayon sa dokumento na nakalap natin.	the said doctor was suspended for six months because of the failure in his job, according to the document we have gathered.
<15>	At kahit na suspendido noong 2008, patuloy pa rin nitong ginagawa ang trabaho ng isang dentista, ayon pa sa isang pasyente.	and even if he was suspended last 2008, he continued to do his job as a dentist, according to another patient.
<16>	Marami pa tayong kuwento, pero ipagpapaliban muna natin ito habang kinukumpleto ko ang pagkalap ng ebidensya laban sa dentistang ito.	we have a lot of stories, but we will postpone these while I am completing the gathering of evidences against this dentist.
<17>	Babala natin sa publiko – huwag maniwala sa matatamis na pananalita ni ‘Dr. Pulpol’ dahil baka kayo na ang susunod na mabiktima.	our warning to the public - do not believe the sweet words of Doctor Blunt because you might be the next victim.
<18>	Ang nakaeengganyong clinic ni ‘Dr. Pulpol’ na makikita sa ‘di kalayuan sa DZBB sa lungsod ng Quezon ay ‘di dapat na tinatangkilik.	the enticing clinic of Doctor Blunt can be seen not far from DZBB in the city of Quezon should not be patronized.
