<1>	Papatinding militarisasyon ang nasa likod ng 'Operasyong Bakal' ng 5th ID, 86th IB at DENR	increasing militarization is behind the 5th ID, 86th IB and DENR's "Operation Iron".
<2>	Vic BalligiReynaldo Piñon Command - NPA Central IsabelaMarso 16, 2014Paulit-ulit at gasgas ang rason ng 5th Infantry Division Philippine Army para maisagawa ang mga operasyong pangkombat sa anyo ng umano’y 'Operasyong Bakal'.	Vic Balligi Reynaldo Piñon Command - NPA Central Isabela March 16, 2014 the reason of the 5th Infantry Division Philippine Army for conducting combat operations allegedly in the form of "Operation Iron" is repetitive and overused.
<3>	Walang pinag-iba ito sa isang kotseng kakarag-karag na kailangan nang idispatsa ngunit patuloy pa ring sinasakyan.	this has no difference to one faulty car that needs to be discharged but is continuously still ridden.
<4>	Sa kanilang pinakahuling operasyon, ipinasok ng militar ang kanilang tangkeng APC at 105 mm Howitzer na kanyon sa dalawang interyor na barangay ng San Mariano, Isabela: sa Barangay Dicamay noong November 2013 at sa Barangay San Jose nito lamang Marso 2014.	in their very last operation, the military entered their APC tank and 105 mm Howitzer canon in the two interior barangay in San Mariano, Isabela: in Barangay Dicamay last November 2013 and in Barangay San Jose only this March 2014.
<5>	Walang kalaban-laban sa APC at kanyon ang mga maliliit na mangangahoy na binansagang 'iligal', kahit pa diumano'y armado ang mga mangangahoy na ito, kagaya ng sinasabi ng 5th ID at 86th Infantry Battalion.	the small woodcutter referred to as "illegal" were powerless against the APC and canon, even if this woodcutters were allegedly armed, like what the 5th ID and 86th Infantry Battalion is saying.
<6>	Kinakutsaba lamang ng mga sundalo ang DENR (Department of Environment and Natural Resources) para mas madulas, magmukhang katanggap-tanggap at walang-hadlang na mailatag at masimulan muli ang mga operasyon at aktibidad ng mga Peace and Development Teams (PDTs).	the soldiers only colluded with the DENR (Department of Environment and Natural Resources) to make more seamless, appear acceptable and without hindrances plan and start again the operations and activities of the Peace and Development Teams (PDTs).
<7>	Alinsunod ito sa kasalukuyang programa para sa kontra-insurhensya ng rehimeng US-Aquino, ang Oplan Bayanihan.	this is in accordance to the current programs for the anti-insurgency of the US-Squino regime, the Oplan Bayanihan.
<8>	Ito ang tunay at pamalagiang layunin at nasa likod ng mga 'Operasyong Bakal'.	this is the true and enduring aim and behind the "Operation Iron".
<9>	Matagal na itong nalantad sa mga mamamayan, partikular na sa mga naninirahan sa dating Forest Region ng Isabela.	this has long been exposed to the people, particular to those living in the former Forest Region of Isabela.
<10>	Saan mang lugar, nilalabanan ng mga mamamayan ang mga PDT dahil sa kanilang mga pang-aabuso at karahasan.	everywhere, the people oppose the PDT because of their abuse and violence.
<11>	Katulad na lang ng paninira nila sa ilang mga pananim na mais sa Barangay Disulap at Dibuluan.	similar to their destruction of several crops of corn in Barangay Disulap and Dibuluan.
<12>	Binabawalan ng mga sundalo ng AFP ang mga mamamayan na kumuha ng mga troso at tinawag silang mga 'iligal'.	the AFP soldiers are prohibiting the people to get logs and they were being called "illegal".
<13>	Samantala pinapayagan at ginuguwardiyahan ng mga tropa ng militar ang malalaking negosyante at mga konsesyonaryo na pawang mapepera, may kakayahang magbayad at maglagay kapalit ng mga permit at lisensya.	meanwhile the big businessmen and exclusively wealthy concessionaires, capable of paying and red tape in exchange for permits and license, are permitted and guarded by military troops.
<14>	Ilanpung libong ektarya ang kinalbo na at kakalbuhin pa ng mga kompanyang ito sa natitirang kagubatan ng Sierra Madre: 26,000 ektarya ng LLC, 8,000 ektarya ng Monte Alto, at 24,174 ektarya ng PATECO.	how many thousands of hectares were made bald and will be made bald by this companies with the remaining forest in Sierra Madre: 26,000 hectares of LLC, 8,000 hectares in Monte Alto, and 24,174 hectares in PATECO.
<15>	Puspusan ang pagbabantay ng mga puwersa ng 5th ID at 86th IB sa pagmimina ng nickel sa Dinapigue at sa planta ng bio-ethanol sa San Mariano.	the forces of 5th ID and 86th IB thoroughly guarding the mining of nickel in Dinapigue and in the bio-ethanol plant at San Mariano.
<16>	Nakaamba ang pagtatayo ng dambuhalang dam sa Ilog ng Ilaguen.	the building of a gigantic dam in Ilaguen's river is impending.
<17>	Nariyan din ang malawakang pagmimina ng carbon sa apat na bayan ng ating probinsya at ang maramihang pagtotroso sa tabing ng konstruksyon ng kalsadang Ilagan-Divilacan.	there's also the large-scale mining of carbon in the four towns of our province and massive logging beside the construction of the Ilagan-Divilacan road.
<18>	Mga proyekto ito na mapanira sa kalikasan, mapangdambong sa likas na kayamanan, mapangwasak sa kabuhayan, at mapang-agaw sa lupa ng mga magsasaka, subalit nakakuha ng pahintulot at suporta ng maka-dayuhan at kontra-mamamayan na estado.	this are projects that are destructive to nature, plunders our natural resources, destroys livelihood, and steals the land of the farmers, but gets permission and support of the pro-foreign and anti-people state.
<19>	Ang mga proyektong ito ang dapat patigilin ng mga tropa ng 5th ID, imbes na atupagin ang 'libreng gupit' na serbisyo diumano ng mga PDT at maging inutil sa harap ng mga proyektong ito.	these projects should be stopped by the troops of the 5th ID, instead of attending to "free haircut" that is allegedly a service of the PDTs and become useless in the face of these projects.
<20>	Matinding kahirapan, pang-aapi at pagsasamantala ang nagtutulak sa mga magsasaka at mamamayan para suungin ang mapanganib na hanapbuhay gaya ng pangangahoy.	Severe poverty, oppression and abuse pushes the farmers and people to enter the dangerous work like woodcutting.
<21>	Samantala, pagkaganid sa ganansya, salapi at kapangyarihan ang nagtutulak sa malalaking negosyanteng lokal at dayuhan, sa reaksyunaryong gobyerno at sa mga tropa ng 5th ID para pahintulutan at protektahan ang mga proyektong magreresulta sa kapariwaraan ng kalikasan at ng sambayanan.	meanwhile, greed in gain, money and power pushes the big local and foreign businessmen, the reactionary government and the troops of the 5th ID to permit and protect these projects that will result to the demise of nature and our nation.
<22>	Tutulan at labanan ang mga proyektong mapanira sa kalikasan at mapangwasak sa kabuhayan ng mamamayan!	oppose and fight projects that are destructive to the environment and destroy the livelihood of the people!
