<1>	Military name-calling: What is in a name?	military name-calling: what is in a name?
<2>	Sa US Armed Forces man o sa Armed Forces of the Philippines, merong 'name-calling' na tradisyon sa mga sundalo.	even in the US Armed Forces or in the Armed Forces of the Philippines, there is a "name-calling" tradition among soldiers.
<3>	Karamihan sa mga pangalan na ipinapangtawag sa mga sundalo ay nagsimula sa Philippine Military Academy na syang nag-produce ng mga opisyal na kasama sa namumuno sa Sandatahang Lakas hanggang sa ngayon.	most of the names that are used to call soldiers started in the Philippine Military Academy, which produced officials who are included among those who are leading the Armed Forces until today.
<4>	Kalimitan ang mga tawagan ay base sa tunay na pangalan at ang iba ay imbentong Pinoy lamang.	most often, name-calling is based on the real name and some are just made up by Filipinos.
<5>	Pati ang mga 'cadet lingo' ay galing din sa mga terminologies na nakagawian at napasa-pasa sa mga sumusunod na henerasyon.	even "cadet lingo" is from terminologies that have been accustomed to, and were passed on to succeeding generations.
<6>	Sa mga sundalo, ang last name o apelyido ang nakatatak sa name cloth o name tag na ikinakabit sa dibdib, kaya kalimitan ay apelyido ang ginagamit na pag-tawag sa kasamahan.	for soldiers, the last name or last name is stamped on the name cloth or name tag that is attached on the chest, which is why the last name is often used to call colleagues.
<7>	Ito ang ang mga halimbawa na mga tawagan hango sa apelyido:	these are examples of nicknames that are based on the last name:
<8>	Tunay na apelyido Military name	real last name, military name
<9>	1\. Bautista Bote	1. Bautista Bottle
<10>	2\. Dela Cruz/ Cruz Kru	2. Dela Cruz/ Cruz Kru
<11>	3\. Santos Anto	3. Santos Anto
<12>	4\. Villanueva Banaba	4. Villanueva Banaba
<13>	5\. Mariano Nano	5. Mariano Nano
<14>	6\. Reyes Rayot	6. Reyes Rayot
<15>	7\. Pascual Paskie	7. Pascual Paskie
<16>	8\. De Villa o De Vela Dabong	8. De Villa or De Vela Dabong
<17>	9\. Ramos Somar	9. Ramos Somar
<18>	10\. Flores Florot	10. Flores Florot
<19>	Meron ding mga pangalang naikabit dahil sa nakakatuwang sitwasyon na naikakabit sa kanilang pangalan o kaya sa mga probinsyang pinanggalingan kagaya ng sumusunod:	there are also names that were attached because of an amusing situation that is associated with their names or with the provinces where they came from, like the following:
<20>	1\. Boy Tsinelas-ang kadeteng nakaiwan ng tsinelas habang nang-gagapang ng tutong sa mess hall, at dahil me tatak ito ng apelyido, nahuli sya ng Tactical Officer	1. Boy Slippers - the cadet who left his slipper behind while stealing left over rice in the mess hall, and because it is stamped with the last name, he was caught by the tactical officer.
<21>	2\. Boy Kutsilyo-ang sundalong hinabol ng kanyang galit na girlfriend gamit ang kutsilyo	2. Boy Knife - the soldier who was chased with a knife by his angry girlfriend.
<22>	3\. Pogi--ang sundalo na laging may bitbit na Eskinol at punas nang punas ng kanyang delicate skin kahit nasa gubat	3. Handsome - the soldier who is always carrying Eskinol and keeps wiping his delicate skin even when in the forest.
<23>	4\. Sarge-ang mga opisyal na dating enlisted personnel ngunit pinalad na ma-commission sa regular force	4. Sarge - officials who were formerly enlisted personnel but were lucky to be commissioned in the regular force.
<24>	5\. Toto- ang mga opisyal na taga Iloilo o kaya ay Ilonggo speaking	5. Toto - the officials who are from Iloilo or are Ilonggo-speaking.
<25>	6\. Lakay- ang mga sundalo na taga northern Luzon o kaya ay nagsasalita ng Ilokano	6. Lakay- the soldiers who are from northern Luzon or are Ilocano speakers
<26>	7\. Dudung--ang mga sundalo na mga 'Bisdak' o Cebuano speaking	7. Dudung - the soldiers who are Visayan or Cebuano-speaking.
<27>	8\. Aki-- ang tawag sa mga sundalong Maranao	8. Aki - is the name for Maranao soldiers.
<28>	9\. Boloy--ang generic name ng mga Private o kaya mga aplikante ng Candidate Soldiers.	9. Boloy - is the generic name for Privates or applicants for candidate soldiers,
<29>	Hango sa Visayan term 'boloyagon' (pasaway).	from the Visayan term "boloyagon" (rulebreaker).
<30>	10\. Boy Kitkit--ang sundalong mahilig gumamit ng VHF radio para makipagkaibigan ng mga girls sa ere.	10. Boy Kitkit - the soldier who likes to use a VHF radio to make friends with girls on air.
<31>	Kung ano man ang tawagan na nakagawian ng mga sundalo, ito ay bahagi na sa mga kinagisnang tradisyon sa militar.	whatever nicknames the soldiers are accustomed to, this is already part of the military traditions that we have known since birth.
<32>	Kahit hindi naman ito ang tunay mong palayaw, nasasanay ka na rin kung ito ay araw-araw mong naririninig sa mga trainors at mga kasamahang nakakopya nito.	even if this is not your real nickname, you get used to it anyway if this is what you hear everyday from trainers and colleagues who copy it.
<33>	Ang mga tawagang ito ay bahagi sa buhay sundalo na ipinagmamalaki ng lahat na nakapasok sa serbisyo militar.	these nicknames are part of living as a soldier, which is boasted about by everyone who gets into military service.
<34>	Minsan, ang mga nakaranas lamang ng buhay 'mess kit' ang nakakaintindi rito.	sometimes, only those who have experienced a "mess kit" life understands this.
