<1>	Rules of Engagement: Shoot or Hold?	rules of engagement: shoot or hold?
<2>	(Leadership Experience Part 24)	(leadership experience part 24)
<3>	Ewan ko lang pero tila ay nilalagnat ang aking pakiramdam tuwing merong nakaambang panganib. Bumibilis ang pintig ng aking puso na tila ay babala para maging alerto. Para sa ibang hindi nakokontrol ang pakiramdam na ganito, nauuwi sa nerbyos at hindi nakakapagbigay ng tamang desisyon sa mabilis na paraan.	I do not know but my feeling is as if I have a fever whenever there is impending danger. my heartbeat becomes faster as if it was a warning to be alert. for others who cannot control this feeling, it leads to nervousness and inability to give the right decision in a quick manner.
<4>	At sa pagkakataong iyon, kailangan kong magbigay ng desisyon at kautusan. Buhay ang nakataya sa aking mga hakbang kaya nais ko ring makapanigurado.	and in this instance, I had to give a decision and command. a life is at stake with my plans which is why I wanted to be sure.
<5>	Nilapitan ko ang mga tropang nagmamanman sa harapan.	I approached the troops who are observing in front.
<6>	Ang mga baril nila ay nakaumang sa masjid at inaantay ang aking command.	their guns were pointed towards the mosque and they were waiting for my command.
<7>	"Shhhhhhhhh. Antay muna. Adhan (call to prayer) iyang naririnig natin," bulong ko sa aking tropa.	"shhhhhhhhh. wait for a while. that thing we are hearing is a call to prayer (call to prayer)," I whispered to my troops.
<8>	"Pass the word, freeze tayong lahat.	"pass the word, let us all freeze.
<9>	Establish all around security."	establish all around security."
<10>	Tila isang awit ang adhan na syang panawagan sa mga Muslim para sa pagdarasal.	a call to prayer is like a song, which is a call for Muslims to pray.
<11>	Sa ibang lugar ay ginagamitan ng muezzin o imam ng mikropono ang adhan para malaman ng lahat na magsisimula na ang salah (prayers).	in other places, a muezzin or imam uses a microphone for the call to prayer for everyone to know that the prayers (prayers) will start.
<12>	"Allahu akbar! Allahu akbar! Allahu akbar! Allahu akbar!"	"Allahu akbar! Allahu akbar! Allahu akbar! Allahu akbar!"
<13>	"Asshadu anna la ila illa Allah! Asshadu anna la ila illa Allah!"	"Asshadu anna la ila illa Allah! Asshadu anna la ila illa Allah!"
<14>	"Haya alas salah! Haya alas salah!"	"haya alas salah! haya alas salah!"
<15>	Parang dahan-dahang napawi ang aking kaba dahil parang awit para sa akin ang adhan. Ganon pa man, nananatili kaming alerto dahil hindi pa namin sigurado kung Abu Sayyaf ang mga armado.	my nervousness slowly subsided because the call to prayer seemed like a song to me. nevertheless, we remained alert because we were not yet sure if the armed men were Abu Sayyaf.
<16>	Batid na batid naming mga Musang na pati teroristang Abu Sayyaf na kagaya nina Radulan Sahiron at Isnilon Hapilon ay tila matinong Muslim kung mag-salah. Sanamagan ang mga pekeng Muslim na iyon.	we Musangs are very certain that even Abu Sayyaf terrorists like Radulan Sahiron and Isnilon Hapilon are seemingly decent Muslims when worshiping. those fake Muslims are sons of guns.
<17>	Mula sa aking pwesto, nakikita kong paisa-isang pumasok ang mga kalalakihan. Ang iba ay huminto sa isang sulok at naglilinis ng kanilang katawan bilang paghahanda sa pagdadasal, na kung tatawagin ay wudu o ritual ablution.	from my position, I can see the men entering one by one. some stopped in one corner and cleaned their body in preparation for prayer, which is called wudu or ritual ablution.
<18>	Di kalayuan nakikita kong naka-high crawl palapit sa akin si Pfc Rolly Alindajao para ako ay bulungan. Kahit agaw dilim ay naaaninag ko ang kanyang hitsura at lalo ko syang nakikilala kapag nagsasalita dahil sa kanyang heavily-accented Bisaya.	not so far away, I can see Private First Class Rolly Alindajao high crawling towards me to whisper. even at dusk, I can slightly see his appearance and I recognized him even more when speaking because of his heavily-accented Visayan.
<19>	"Sir, nakasandal ang mga baril nila nasa gilid ng isang bahay. Isang tao lang ang nagbabantay at nakahawak ng baril. Antay lang kami kung kumins payring (commence firing) na sir!"	"sir, their guns are reclined against the side of one house. only one person is guarding and holding a gun. we are just waiting if we should commence firing (commence firing), sir!"
<20>	Para makumpirma ang kanyang impormasyon, gumapang ako sa posisyon nila at inobserbahan ang paligid gamit ang Night Vision Goggles.	to confirm his information, I crawled towards their position and observed the surroundings using night vision goggles.
<21>	Nakita kong tila ay flash light ang ilaw na galing sa sigarilyo ng kanilang gwardya.	I saw that the light from the cigarette of their guard seemed like a flashlight.
<22>	Sa loob ng masjid ay humigit kumulang sa 20 ka tao ang nagsisimula nang magdasal. Wala syang kamalay-malay na magkahalong M60 Machinegun, M16A1 Rifle at Sniper Rifle ang nakaumang sa kanyang pwesto.	inside the mosque, more or less 20 persons were already starting to pray. he had no idea that a combination of an M60 machine gun, M16A1 rifle and sniper rifle were pointed towards his position.
