<1>	ALAB: Mga Afrikano sa UAAP at NCAABy Al S. Mendoza	ALAB: Africans in the UAAP and NCAA by AI S. Mendoza
<2>	October 5, 2016	October 5, 2016
<3>	Umultaw na naman ang taal na lakas ng mga Afrikanong players sa UAAP.	the inherent strength of the African players in the UAAP stood out again.
<4>	Dominado nila ang halos nobenta porsiyento ng mga laro sa liga.	they dominate almost ninety percent of the games in the league.
<5>	Para na rin silang mga Kanong import sa PBA: Dahil matatangkad at malalapad, hirap silang bantayan ng mga Pinoy.	they are like the American imports in the PBA; because they are tall and broad, the Filipinos struggle to guard them.
<6>	Kung rerebyuhing mabuti, parehong UAAP at NCAA ay nakasandal sa mga Afrikanong players.	if it would be carefully reviewed, both UAAP and NCAA rely on African players
<7>	Sa PBA, kung sino iyong may pinakamatikas na import ang kadalasang tsamp sa Commissioner’s Cup at Governors’ Cup.	in the PBA, the one who has the best import is usually the champion of the Commissioner's Cup and Governor's Cup.
<8>	Gayundin sa UAAP at NCAA.	it is likewise in the UAAP and NCAA.
<9>	Kung sino iyong iskul na may pinakamabagsik na Afrikano, liyamado agad ito.	the school who has the toughest African immediately has the advantage.
<10>	Isang patunay niyan ay si Ben Mbala, ang Afrikanong import ng La Salle na taga-Cameroon.	a proof of this is Ben Mbala, the African import of La Salle from Cameroon.
<11>	Sa salpukang La Salle-Ateneo noong Linggo, mistulang kinalabaw ni Mbala ang buong Blue Eagles sa 97-81 panalo ng Archers.	in the La Salle - Ateneo fight last Sunday, Mbala obviously dominated the entire Blue Eagles with a 97-81 win of the Archers.
<12>	Walang makapigil kay 6-7 Mbala at namiyesta ito sa 28 points, 13 rebounds at 5 steals matapos siyang magsabog ng 19 points at 17 rebounds sa panalong 84-78 laban sa UE.	nobody can stop the 6'7" Mbala and he revelled on 28 points, 13 rebounds and 5 steals after he dropped 19 points and 17 rebounds in the 84-78 win against UE.
<13>	Ang matindi, nilamog ng La Salle ang Ateneo maski absent sina Archer coach Aldin Ayo at chief Archer Jeron Teng.	what's outrageous was La Salle beat Ateneo even if Archer coach Aldin Ayo and chief Archer Jeron Teng were absent.
<14>	Kinawawa rin ni Mbala si Tab Baldwin, ang ipinagmamalaking Kanong coach ng Ateneo.	Mbala also overwhelmed Tab Baldwin, the gloried American coach of Ateneo.
<15>	Kaya’t hanggat may mga tulad nina Mbala sa UAAP at kahalintulad niya sa NCAA, lusaw ang pangarap ng mga sentrong Pinoy na umangat.	as long as there players like Mbala in the UAAP and comparable to him in the NCAA, the dream of Filipino centers to rise is unlikely.
<16>	Tsutsuwa na lamang sila palagi ni Mbala at mga kalahi nito.	they will always be second-rate to Mbala and his kind.
<17>	Lungkot.	sad.
