<1>	Ugaling Magreklamo	attitude of complaining
<2>	Nangyari ito maraming taon na ang nakakalipas at mainam na maging halimbawa para maiwasan ang maging mabunganga.	this happened many years have passed and better to become an example to avoid becoming a nagger.
<3>	May isang ginang na naging bisyo na ang dumaing at magreklamo sa buhay.	there is a woman who has made a vice out of bemoaning and complaining in life.
<4>	Ang kanyang asawa ay isang administrador at nadestino noon sa Refugee Processing Center sa Morong, Bataan.	his spouse was an administrator and stationed in the past in Refugee Processing Center in Morong, Bataan.
<5>	Dito dinadala ang mga tumatakas na mamamayan ng Komunistang Vietnam upang repasuhin ang mga dokumento at ipadala sa mga bansa na nais nilang manirahan.	the citizens of the Communist Vietnam who escaped are being brought here to review the documents and send to the countries they want to live in.
<6>	Kapag pumapasok na sa opisina ang administrador sa umaga, naiiwang mag-isa sa bahay ang ginang.	if the administrator goes to the office in the morning, the woman is left alone in the house.
<7>	Nakatanaw sa bintana, laging naiinip, malungkutin at bugnutin ito sa buhay.	staring through the window, always bored, lonely and she is short-tempered in life.
<8>	Isang umaga, kinuha nito ang isang kutsilyo at hiniwa ang kanyang kaliwang pulso.	one morning, she took a knife and cut her left wrist.
<9>	Madali siyang isinugod ng asawa sa ospital at nilapatan kaagad ng karampatang lunas.	she was quickly rushed by her husband to the hospital and administered with appropriate treatment immediately.
<10>	Sa malabis na pag-aalala, tinanong siya ng isang doktor kung bakit nais niyang magpatiwakal.	because he was worried sick, the doctor asked her why she wanted to commit suicide.
<11>	“Nasusuklam na ako sa kalagayan ko dito sa Morong, wala nang halaga para sa akin ang magpatuloy sa ganitong kalagayan sa araw-araw,” ang matulin nitong tugon.	"I abhor my situation here in Morong, there is no value for me to continue this kind of situation everyday," her swift reply.
<12>	“Bakit ka ba nasusuklam dito sa Morong?” ang nababahalang tanong ng doktor.	"why do you abhor here in Morong?" the anxious question of the doctor.
<13>	“Dahil liblib na lugar ito at malayo sa kabihasnan.	"because this is an innermost place and far from civilization.
<14>	Walang akong ibang pook na mapuntahan dito,” ang umiiyak na sagot ng ginang, “Kailangang bumalik na ako sa Maynila at doon na tumira.	I have no other places to go here," the tearful answer of the woman, "I need to return to Manila and live there.
<15>	Kung pipigilan pa ako ulit ng aking asawa, magpapatiwakal muli ako!”	if my husband stops me again, I will commit suicide again!"
<16>	“Ano ba talaga ang dinaramdam mo na nagpapalungkot sa iyo dito?” ang tanong ng doktor.	"what are you really feeling that makes you lonely here?" the question of the doctor.
<17>	Nagsimulang humagulgol ang ginang at nagpalahaw.	the woman starts to wail and bellowed.
<18>	“Wala akong isa mang kaibigan dito, hu- hu-hu ... at lagi na lamang akong nag-iisa sa bahay!”	"I do not have at least a friend here, hu-hu-hu... and I am always alone in the house!"
<19>	“Masaklap nga ang kalagayan mo dito.	"your situation is really tragic here.
<20>	Bakit hindi mo magawang makipagkaibigan sa iba?”	but why are you not able to befriend others?"
<21>	“Dahil nakatira ako sa buwisit na housing area na ito, at karamihan ay mga Vietnamese ang aking kapitbahay at hindi sila marumong magsalita ng Inggles at Pilipino.”	"because I am living in this annoying housing area, and most of my neighbors are Vietnamese and they do not know how to speak English and Filipino."
<22>	“Bakit hindi ka pumunta sa recreational area, o sa wive’s club sa araw at makipagkaibigan sa mga Pilipino na naroon.”	"why did you not go to the recreational area, or in wives club at day and make friends with the Filipinos who are there."
<23>	“Ginagamit ng aking asawa ang kotse kapag pumapasok na siya sa opisina,” ang paismid na bigkas ng ginang.	"my husband is using the car if he goes to the office," the woman smirks in talking.
<24>	“Bakit hindi ikaw ang magmaneho ng kotse at ihatid mo siya sa opisina para hindi ka naiiwang mag-isa sa bahay.”	"why won't you drive the car and send him to the office so you will not be left alone in the house."
<25>	“Hindi puwede.	"not allowed.
<26>	Hindi ko alam magmaneho ng stick-shift na kotse.	I do not know how to drive a stick-stiff car.
<27>	Naiinis ako sa palaging pag-kambiyo.	I get mad in the usual gear shift.
<28>	Ang alam ko lamang patakbuhing kotse ay automatic.”	the only car I know how to drive is automatic."
<29>	“Kung gayon, bakit hindi mo pag-aralang magmaneho ng stick-shift car?”	"therefore, why won't you learn to drive a stick-shift car?"
<30>	“Ano ako baliw?	"what am I, crazy?
<31>	Sa ganitong klase ng mga daan sa Morong, sira lamang tuktok ang magtitiyaga dito!”	in this kind of roads in Morong, only those who are crazy will endure here!"
<32>	Nagkakamot ng ulo na lumabas ng kuwarto ang doktor, umiiling-iling, “Sadyang mahirap kumbinsihin ang mga hinaing ng reklamador na tao,” ang usal nito sa sarili.	the doctor goes out of the room scratching his head, shaking his head, "it is really difficult to convince the grievances of people who are complainers," he told himself.
