<1>	Kundenahin ang pananalasa ng 93rd DRC at 9th IBPA sa mga mamamayan sa isla ng Ticao, Masbate	condemn the attack of the 93rd DRC and 9th IBPA on the people in the island of Ticao, Masbate
<2>	Val Silang NDF-MasbateNobyembre 25, 2014 Kinikundena ng NDF-Masbate at ng mamamayang masbatenyo ang halos isang buwan na walang puknat na pananalasa ng mga sundalo ng 93rd Division Reconnaisance Company(DRC) at 9th IB,PA sa mga bulubunduking baryo sa isla ng Ticao, Masbate.	Val Silang NDF-Masbate November 25, 2014 the NDF-Masbate and Masbate people are condemning the almost month-long ceaseless attack by the soldiers of the 93rd Division Reconnaissance Company (DRC) and 9th IB,PA on the mountainous barrios in the island of Ticao, Masbate.
<3>	Ang tuloy-tuloy na okopasyon at operasyong militar ay nagresulta sa malawakang pagkatakot ng mga tao sa lugar at dislokasyon sa kanilang pang araw-araw na pagsasaka at iba pang hanapbuhay.	the continuous military occupation and operation resulted in the people's widespread fear in the area and dislocation from their everyday farming and other livelihood.
<4>	Tumataas na rin ang bilang ng mga biktima ng paglabag sa karapatan pantao na mga militar ang may kagagawan sa ilalim ng pamumuno nila Col Alden Juan Masagca at Major Armando Benito ng Task Force Masbate.	the number of human rights violations is also increasing wherein the military under the leadership of Colonel Alden Juan Masagca and Major Armando Benito of Task Force Masbate are responsible.
<5>	Ang ganitong hakbang ng mga militar ay nagdudulot ng kaguluhan at tuloy-tuloy na pang-aabuso sa mga residente partikular sa So. Guiwanon, Brgy. Danao, San Jacinto, at sa pito pang nakapaligid na mga baryo.	an action like this by the military causes panic and ongoing abuse of the residents particularly in Sitio Guiwanon, Barangay Danao, San Jacinto, and seven other surrounding barrios.
<6>	Sa katunayan, ang pinakahuling naging biktima ng mga berdugong sundalo ay ng walang awa nilang pagbabarilin ang isang opisyal sa baryo ng Danao na si Kgwd. Maritess Espenilla at dalawang pang katao na sina Michael Lignes at may apelyidong Domenguiano.	in fact, the latest victims of the executioner soldiers is when they ruthlessly shot one barrio official in Danao, Councilor Maritess Espenilla, and two more people, Michael Lignes and one nicknamed Domenguiano.
<7>	Ang tatlo ay nagtamo ng mga sugat sa iba’t-ibang parte ng kanilang katawan.	the three sustained injuries in different parts of their bodies.
<8>	Maging sa paglulubid ng kasinungalingan sa medya ay nagiging eksperto na rin ang mga opisyal ng 93rd DRC at 9th IB,PA matapos ituro na mga kasapi ng Bagong Hukbong Bayan-Masbate ang gumawa ng pamamaril.	the 93rd DRC and 9th IBPA are even becoming experts in roping lies for the media after pointing the members of the New People's Army-Masbate as responsible for the shooting.
<9>	Para sa kaalaman ng mamamayang masbatenyo, hindi mga kasapi ng BHB-Masbate ang namaril sa tatlong sibilyan, at ang totoong bumaril sa tatlong biktima ay mga kasapi ng 93rd DRC at 9th IB,PA.	for the information of the Masbate people, those who shot the civilians are not members of the BHB-Masbate, and the ones who truly shot the three victims are members of the 93rd DRC and 9th IB,PA.
<10>	Ang mga hakbang na ito ng 93rd DRC at 9th IB,PA ay malinaw na paglabag sa Comprehensive Agreement on Respect for Human Rights and International Humanitarian Law(CARHRIHL).	these actions by the 93rd DRC and 9th IBPA are clear violations of the Comprehensive Agreement on Respect for Human Rights and International Humanitarian Law (CARHRIHL).
<11>	Samantala, pinapabulaanan din ng NDF-Masbate ang napabalita sa Bombo Radyo-Legaspi na isa di umanong mataas na opisyal ng BHB Masbate ang nahuli ng PNP San Jacinto malapit sa kanilang istasyon sa Poblacion, San Jacinto.	meanwhile, the NDF-Masbate also denied the Bombo Radyo-Legaspi report that one supposedly high-ranking official of the BHB Masbate was apprehended by PNP San Jacinto near their station in Poblacion, San Jacinto.
<12>	Si Ybonni Victor na taga Brgy.	Ybonni Victor resident of Barangay
<13>	Amutag, Aroroy, Masbate ay di kailanman naging kasapi ng BHB Masbate, bagkus kabilang ito sa mga grupong impostor na binuo at pinopondohan ng mga ahente sa paniktik ng AFP at PNP para sirain sa publiko ang imahe ng BHB Masbate na sa esenya ay bigo silang siraan dahil alam na ng mga Masbatenyo kung sino ang nagsisinungaling.	Amutag, Aroroy, Masbate was never a member of BHB Masbate, and instead he belongs to the impostor group created and funded by the spy agents of the AFP and PNP to destroy the public image of BHB Masbate that in essence they failed to discredit because the Masbateños already know who is lying.
