<1>	Ang Talim at Talas ng Pitong Sundang	the sharpness and keenness of seven daggers
<2>	Sa paggunita ng mga makabayang kilusan sa ika-149 kaarawan ni Andres Bonifacio, itinanghal ang dulang Ikapitong Sundang, isang sayaw na pagtatanghal na hinaluan ng paglalaro ng anino, pelikula at ilaw.	in commemoration of the nationalistic movement of the 149th birth anniversary of Andres Bonifacio, a play the Seventh Dagger was performed, a musical performance mixed with shadow play, film and light.
<3>	Galaw ang naging pangunahing tagapagsalaysay sa dula at indayog ang naging tagahabi ng mga pangyayari.	movement is the primary narrator in the play and dance becomes the weaver of events.
<4>	Musika naman ang naging gabay sa kasaysayan ng lupa, habang naging tulay sa nakaraan, kasalukuyan, pang-aapi at paglaban, ang mga tula na pinatalas ng mga progresibong talinhaga.	music is the guide of the history of the earth, and the poems which are sharpened by progressive metaphors have become the bridges of the past, present, oppression and revolution.
<5>	Hindi lamang ang hangin ang pinadugo ng mga sundang, kundi maging ang kamalayan ng mga manonood; ang pagkamulat sa sistema ng pang-aapi’t pang-aalipin, ang kasaysayan ng pakikidigma.	not only the winds are wounded by the dagger but also the consciousness of the audience; an awakening to the system of oppression and slavery, the history of battling.
<6>	Nagsimula ang dula sa pagpapakita ng isang mag-aaral na masayang nakikinig ng musika.	the play started in showing a student who is happily listening to music.
<7>	Kasabay ng kanyang galaw ang paghawi ng kanyang uniporme sa hangin.	along with his movement, the wind parts off his uniform.
<8>	Kakulitan niya sa paglalaro sa lupa ang iba pang batang anak ng mga kasamang abala sa pagtatanim.	he is playing naughtily on land with the children of those who are busily planting with them.
<9>	Ang lupa ang magsisilbing lunan ng kasaysayan, ang lupa ang magiging dahilan ng pananakop at pag-aangkin.	the land that will serve as a place of history, the land will be the cause of colonization and possession.
<10>	Ito rin ang magsisilbing dahilan kung bakit kailangang patalasin ang mga sundang, hanggang sa maputol nito ang iba’t ibang uri ng pagsasamantala sa nakararaming mamamayan na siyang lumilikha ng yaman sa bansa.	this will also be serving as the cause why daggers are needed to be sharpened until these can cut the different exploitation to the many citizens who are creating the wealth of the nation.
<11>	Laman ng indayog ang katotohanan na ang bawat isa’y mag-aaral ng kasaysayan.	the dance contains the truth that each is a student of history.
<12>	Ginawang katatakutan ang lupa ng mga mananakop.	the colonizers made the land as something to fear of.
<13>	Pinakalat na ito’y tahanan ng mga masasamang espiritu at dito malalagak ang mga hindi sumusunod sa simbahan, sa dagat-dagatang apoy.	spreads that this is a home of bad spirits and those who will not follow the church will be placed here, in the ocean of fire.
<14>	Subalit kung tutuusin, ang lupa ang buhay na libong-taong kinalinga ng kamay ng ating mga ninuno.	but if concluded, land is the life of thousands of people who are cared in the hands of our ancestors.
<15>	Mahalaga ang sayaw sa puntong ito sapagkat kahit walang ginamit ng mga salita, naghuhumiyaw na narinig ng mga manonood kung bakit nananatili ang kapangyarihan sa iilan.	dance is important at this point because without using words, the audience can hear the wailing of why power has remained to a few.
<16>	Sinayaw sa dula ang kalagayan ng masang magbubukid at katutubo.	the play dances the condition of the masses of farmers and indigenous people.
<17>	Sa pamamagitan ng isang dasal-panalangin, binigyang-katuturan kung bakit dumating ang mga halimaw na nangamkam ng lupa.	through a prayer, why the monsters have arrived to grab the lands is given justification.
<18>	Sa una’y masaya ang mga magsasaka sa pagtanim ng mga binhi ng buhay.	at first, the farmers are happy in planting the seeds of life.
<19>	Dahil walang iisang nagmamay-ari sa lupa, ang anumang biyayang hatid nito’y pantay-pantay na ipinamamahagi.	because no one has the ownership of the land, whatever blessing that it has brought is equally distributed.
<20>	Hindi nagtagal, matapos paunlarin ang lupa, dumating ang mangangamkam nito.	not long, after the land is cultivated, its usurper arrived.
<21>	Pinahirapan nila ang mga nabungkal ng lupa, inangkin ang ani sa pamamagitan ng kapirasong papel.	they put those who cultivated the land in difficulty, usurped the ownership of the harvest through a piece of paper.
<22>	Papatawan ang mga kasama ng sapilitang serbisyo, bibilhin ang kanilang lakas-paggawa.	imposed the companions with forced services, buy their work force.
<23>	Kasabwat sa sistemang ito ang ahensiya ng militar na sa pamamagitan ng din ng sayaw, isiniwalat ang dahas ng estado.	conniving with this system is the agency of the military that through dance, the violence of the state will be exposed.
<24>	Sinayaw ang paggahasa sa yaman, sa mga babaeng mandirigma, pati ang mga pagpaslang sa mga walang muwang at karaniwang mamamayan.	danced the rape of wealth, to women warriors, as well as the murder of the innocent and ordinary citizens.
<25>	Tila sa yugtong ito ipinakita ang pakikipagsayaw sa kamatayan; niyuyugyog ang mga katawang walang buhay, pinagtatawanan ang karumal-dumal na krimen.	seems that on this part, it shows dancing with death; shaking the bodies without life, mocking the heinous crime.
<26>	Maging ang kulunga’y ginawang espasyo ng pagtatanghal.	even the jail is made as a space for performance.
<27>	sa pamamagitan ng mga talinghaga tumakas sa bawat rehas at alambre ng piitan, naging paraan ang sayaw upang tumakas ang mga katotohanang hindi tuwirang nasasaksihan sa pang-araw-araw na buhay.	through metaphors, escaped in each iron bar and metal wires of the jail, dance becomes a way to escape the truth that is not directly experienced in every day life.
<28>	Subalit hindi natatapos ang dula sa pamamagitan ng kalungkutan, takot at pagkasawi.	but the play did not end through sadness, fear and death.
<29>	Lalong hinasa ang sundang ng mga mandirigmang nagpatuloy sa pakikidigma sa kanayunan.	daggers are sharpened more for the warriors who are continuing the battle in the villages.
<30>	Nabuhay ang diwang rebolusyonaryong pilit iniiwasan o tinalikuran na ng ilan sa mga artista at alagad ng sining.	the soul of the revolution, where some of the artists and fellows of the arts have forced to escape or turn their back, is awakened.
<31>	Pinatalas ng kasaysayan at proletaryadong adhikain ang dula; ang lupa ang inangkin, ang lupa ang dapat bawiin.	the play is sharpened by history and proletarian aspiration; the usurped lands are land that should be taken back.
<32>	Makakamit ito sa kolektibong lakas, sa abanteng kamalayan gamit ang makabayang sining na inaabot ang mga manonood, lalo na ang mga pinagkaitan ng karunungan at kaalaman sa produksyon ng iba’t ibang anyo ng sining.	this will be achieved through collective strength, advanced consciousness using a nationalist art reaching the audience, especially those who are denied of education and knowledge in the production of different forms of art.
<33>	Kaya’t nagkaroon ng transpormasyon ang dating mag-aaral ng kasaysayan; siya ngayo’y bahagi na sa paglikha nito.	so there has been a transformation of the former students of history, he is now part of creating it.
