<1>	Kaso ng dengue sa Bataan, dumoble; tulong ng publiko, hinihimok	cases of dengue in Bataan doubled; public help, encouraged.
<2>	March 02, 2016	March 02, 2016
<3>	Jose Mari M. Garcia	Jose Mari M. Garcia
<4>	LUNGSOD NG BALANGA, Marso 2 (PIA) -- Hinihimok ang mga Bataeño na paigtingin ang kanilang aksyon sa pagwasak sa mga tirahan ng lamok bunsod ng pagdoble ng kaso ng dengue sa lalawigan.	City of Balanga, March 2 (PIA) - Bataeños were encouraged to strengthen their action in destroying mosquito nests due to the doubling of cases in the province.
<5>	Iniulat ng Provincial Health Office o PHO na nakapagtala ito ng 443 na kaso ng dengue sa Bataan mula Enero 1 hanggang Peb.	the Provincial Health Office or PHO reported that it recorded 443 cases of dengue in Bataan from January 1 to February
<6>	6, o 50 porsyento na mas mataas kumpara sa parehong panahon noong 2015 kung kailan nakapagtala ng 222 kaso.	6, or 50 percent higher compared to the same time in 2015, when 222 cases were recorded.
<7>	Lahat ng 11 bayan at isang lungsod ng Bataan ay nakapagtala ng kaso ng dengue, kung saan ang Bagac ang may pinakamarami sa bilang na 77, na sinundan ng Limay na may 70, at ng Balanga na may 60.	all 11 towns and one city of Bataan recorded a case of dengue, where in Bagac had the highest number at 77, followed by Limay, which had 70, and Balanga, which had 60.
<8>	Isa ang naiulat na nasawi mula sa bulubunduking bayan ng Bagac.	one from the mountainous town of Bagac was reported to have passed away.
<9>	Dahil sa paglobong ito ng kaso ng dengue, todo alerto ang PHO sa pagpigil sa nakamamatay na sakit at isa sa kanilang mabilis na aksyon ang pagsasagawa ng preventive fogging operations sa Bagac at Dinalupihan.	because of this increase in dengue cases, the PHO is on full alert in stopping the deadly illness and one of their immediate actions was to perform preventive fogging operations in Bagac and Dinalupihan.
<10>	Isang agarang imbestigasyon ang isinagawa sa mga lugar na may impending clustering ng dengue cases, hotspots, outbreaks at dengue death.	an immediate investigation was done in places with impending clustering of dengue cases, hot spots, outbreaks and dengue death.
<11>	Nagsagawa rin ng emergency meeting sa mga rural health unit sa mga barangay at sa mga district hospital upang paigtingin ang monitoring at active surveillance ng mga kaso, health education, at house-to-house campaign hinggil sa search and destroy operations at proper waste disposal and management.	an emergency meeting was also held in rural health units in villages and at district hospitals to tighten the monitoring and active surveillance of cases, health education, and a house-to-house campaign about the search and destroy operations and proper waste disposal and management.
<12>	Pinayuhan ng PHO ang publiko na magsagawa ng regular na clean-up drive sa barangay sa tulong ng mga boluntir, mamamayan at Barangay Tanod members.	PHO advised the public to conduct a regular clean-up drive in the village with the help of volunteers, citizens and village watch members.
<13>	Sa mga kabahayan, hinihimok ang lahat na takpan ang mga dram at timba ng tubig upang maiwasan ang pangingitlugan ng lamok, palitan ang tubig sa mga plorera kada lingo, at linisin lahat ng pinaglalagyan ng tubig upang maalis ang mga nakakapit na itlog ng lamok.	in houses, everyone was encouraged to cover drums and buckets of water to keep mosquitoes from nesting, to change the water in vases every week, and to clean all containers of water in order to remove attached mosquito eggs.
<14>	Dagdag pa rito, hinikayat ng PHO ang mga samahang pansibiko na manguna sa pagsasagawa ng information campaign tungkol sa dengue at sa prevention and control nito, at maging sa mga lokal na opisyal na itatag ang kanilang Barangay Dengue Task Force. (CLJD/JMG-PIA 3)	in addition to this, PHO encouraged civic organizations to lead the implementation of an information campaign about dengue and its prevention and control, and even local officials to establish their Barangay Dengue Task Force. (CLJD/JMG-PIA 3)
