<1>	Ehersisyong militar ng US, PH sa Bikol sinalubong ng protesta	military exercise of US, PH in Bicol welcomed with protest
<2>	by Macky Macaspac	by Macky Macaspac
<3>	March 6, 2012	March 6, 2012
<4>	Nagprotesta ang militanteng mga grupo kontra sa pagsasanay-militar ng US at Pilipinas sa Bicol.	militant groups protested against the military exercises of the US and Philippines in Bicol.
<5>	Pakay umano ng naturang pagsasanay ang pagpapaigting ng kakayahan ng dalawang militar na maniktik sa itinuturing nitong mga kaaway.	the said exercise supposedly aims to improve the capabilities of the two militaries in spying on those they consider enemies.
<6>	(Arkibong Bayan)	(Arkibong Bayan)
<7>	Nagprotesta ang daan-daang Bikolano sa pagbubukas ng ehersisyong militar ng US Armed Forces at Armed Forces of the Philippines, na lumalabas na bahagi ng pagpapaigting ng presensiyang militar ng US sa Pilipinas.	hundreds of Bicolanos protested the opening of military exercises of the US Armed Forces and Armed Forces of the Philippines, which appears to be a part of the increasing military presence of the US in the Philippines.
<8>	Tinaguriang Operation Pacific Angel 12-1, tatagal ng limang araw (Marso 5-10) sa ilang lugar sa Legaspi, Albay at Sorsogon ang naturang ehersisyong militar.	called Operation Pacific Angel 12-1, the said military exercise will last five days (March 5-10) in some locations in Legaspi, Albay and Sorsogon.
<9>	Sinabi ni John Concepcion, tagapagsalita ng Bagong Alyansang Makabayan (Bayan) sa Bikol, na tinututulan ng mga mamamayan ng Bikol ang pagsasanay-militar ng US sa bansa, na katatampukan ng pagsasanay sa paniniktik gamit ang makabagong pasilidad tulad ng drone planes (unmanned aerial vehicles).	John Concepcion, spokesperson of the Bagong Alyansang Makabayan (Bayan) in Bicol, said that the citizens of Bicol oppose the military exercise of the US in the country, which features espionage training using modern facilities like drone planes (unmanned aerial vehicles).
<10>	Ayon sa Civil Relation Service ng AFP, layunin umano ng Pacific Angel na magsagawa ng proyektong humanitarian tulad ng medical at dental mission, gayundin ang engineering civic-action sa lokal na mga pamahalaan.	according to the Civil Relation Service of the AFP, Pacific Angel allegedly aims to conduct humanitarian projects like medical and dental missions, as well as engineering civic-action in the local government.
<11>	Pero hindi nila itinanggi na magsasanay rin sila sa paniniktik.	but they did not deny that they will also train in espionage.
<12>	“Sa unang tingin, mukhang simpleng programang serbisyong panlipunan lamang (ang gagawin nila)…Pero sa aming karanasan sa RP-US Balikatan noong 2009 at tulad din ng iba pang ehersisyong militar sa ibang panig ng bansa, laging may kasamang paniniktik at surveillance ito,” diin ni Concepcion.	"at first glance, (what they will do) looks like simple social service programs only... but in our experience at the RP-US Balikatan in 2009 and like other military exercises in other parts of the country, it always comes with spying and surveillance," Concepcion emphasized.
<13>	Sinabi pa niya na hindi maitatago ng USAF at AFP ang ehersisyong militar sa kahit anong publicity, gimik at “posturang humanitarian” ng Operation Pacific-Angel.	he also said that the USAF and AFP cannot hide the military exercise in any kind of publicity, gimmick or "humanitarian posture" of Operation Pacific-Angel.
<14>	Inililigaw umano nito ang atensiyon ng mga mamamayan sa tunay na balakin nito—ang pagtanggap sa presensiya ng tropang Amerikano sa bansa.	it supposedly diverts the attention of the people from its true goal-the acceptance of the presence of American troops in the country.
<15>	“Dapat tayong maging maingat sa gimik ng US.	"we should be careful about the gimmick of the US.
<16>	Hindi katumbas ng ilang pirasong gamot at pagkumpuni ng mga klasrum ang ating soberanya,” sabi pa ni Concepcion.	our sovereignty is not equivalent to a few pieces of medicine and classroom repair," Concepcion said.
<17>	Inilinaw din ni Concepcion na hindi sila tutol sa anumang humanitarian at civic missions ngunit dapat na idaan ang pondo at implementasyon nito sa mga lehitimong non-government organizations at lokal na pamahalaan at dapat na wala itong kapalit.	Concepcion also clarified that they are not against any humanitarian and civic missions but its funding and implementation should go through legitimate non-government organizations and local government and it should not be in exchange for anything.
<18>	Ang Pacific-Angel ay isang operasyong militar ng US Pacific Air Forces Command (PACAF) na taunang ginagawa ng US Pacific Command (US PACOM) sa mga eryang pinakikialamanan nito sa Asya.	Pacific-Angel is a military operation of the US Pacific Air Forces Command (PACAF) that is annually conducted by the US Pacific Command (US PACOM) in areas they are most involved with in Asia.
<19>	Naglulunsad ito ng tinaguriang humanitarian missions kasabay ng civil-military operations at intelligence operations upang makabisa ang kalupaan, kalawakan, karagatan, himpapawid at cyberspace.	it launches what are considered humanitarian missions together with civil-military operations and intelligence operations to memorize the land, airspace, seas, skies and cyberspace.
<20>	Ang 13th US Air Force na nakabase sa Hickam Air Force Base sa Hawaii ang direktang kalahok dito.	the 13th US Air Force stationed at Hickam Air Force Base in Hawaii is directly participating in it.
<21>	Misyon ng 13th US Air Force na planuhin, ikumand at kontrolin, ideliber at suriin ang air space at information operations sa Asia-Pacific.	it is the mission of the 13th US Air Force to plan, command and control, deliver and observe the air space and information operations in the Asia-Pacific.
<22>	Nakatalaga ito sa surveillance sa panahon ng walang giyera at maging sa mayor na mga operasyong kombat.	it is assigned on surveillance during periods without war and even during major combat operations.
<23>	Nasa ilalim ng US Pacific Command ang 13th US Air Force.	the 13th US Air Force is under the US Pacific Command.
<24>	Nagbanta ang progresibong mga grupo na maglulunsad sila ng iba’t iba pang porma ng protesta laban sa Pacific-Angel, hanggang sa Marso 10.	progressive groups threatened that they will launch different forms of protest against the Pacific-Angel, until March 10.
