<1>	chief, inaming walang tactical coordination sa ground ang PNP-SAF	chief confessed lack of tactical coordination on the ground between PNP-SAF
<2>	HALOS mapaluha si AFP chief of staff general Gregorio Catapang nang humarap siya sa live TV interview sa programang Headstart ni Karen Davila sa ANC-ABS-CBN Channel 27 kahapon ng umaga.	AFP chief of staff General Gregorio Catapang was almost in tears as he faced a live TV interview on the program, Headstart with Karen Davila on ANC-ABS-CBN channel 27 yesterday morning.
<3>	Sa interview, na pinanood ko kahapon ng umaga, maraming katanungan ang hindi nasagot ni general Catapang lalo na sa side ng Philippine National Police.	in the interview, which I watched yesterday morning, many questions were left unanswered by General Catapang, especially on the side of the Philippine National Police.
<4>	Ipinaliwanag ng 4-star AFP general na wala umanong tactical coordination na natanggap ang kanyang mga sub-commander sa Maguindanao bago isagawa ng assault-striking force ng PNP-SAF ang pagsalakay sa pinaniniwalaang kuta ng dalawang teroristang sina Marwan at Usman sa bayan ng Mamasapano noong buwan ng Enero.	The 4-star AFP general explained that his sub-commanders allegedly did not receive any tactical coordination in Maguindanao before carrying out the assault-striking force of PNP-SAF, the attack on the alleged stronghold of two terrorists, Marwan and Usman, in the town of Mamasapano in January.
<5>	Ipinaliwanag niyang, bago isagawa ang assault sa balwarte ng mga MILF, MNLF, BIFF at PAG, naipaalam na umano sa kanya ni Pangulong Benigno “Noynoy” Aquino ang planong operasyon simula pa noong Nobyembre 18, 2014.	he explained that before carrying out the assault on the bastion of the MILF, MNLF, BIFF, and PAG, he was allegedly already informed by President Benigno "Noynoy" Aquino of the planned operation ever since November 18, 2014.
<6>	Pero ang bilin sa kanya ng pangulo ay makipag-coordinate sa PNP.	but the President's order was to coordinate with the PNP.
<7>	Bago pa rin isagawa ang ground operations ng PNP-SAF sa Mamasapano sa Maguindanao, nakipag-meeting pa umano siya sa commanding officer ng SAF kay director Getulio Napenas at kay general Pangilinan sa Zamboanga.	prior to carrying out the PNP-SAF's ground operations at Mamasapano in Maguindanao, he allegedly met with the commanding officers of SAF, Director Getulio Napenas and General Pangilinan, in Zamboanga.
<8>	Binigyan-diin ni general Catapang na simula nang makausap niya si general Napenas at hanggang ilunsad ang police operations sa Mamasapano ay wala umanong naganap na intelligence sharing sa pagitan ng kanyang mga sub-AFP commanding officers na nasa area ng Mamasapano.	General Catapang emphasized that from the moment he spoke with General Napenas and until police operations were launched in Mamasapano, no intelligence sharing occurred between his sub-AFP commanding officers in the Mamasapano area.
<9>	Wala rin umano silang alam sa plano ng tactical operations ng PNP-SAF nang salakayin ng tropa ng PNP ang hideout nina Marwan at Usman noong madaling araw ng Enero 2015.	they allegedly knew nothing of the tactical operation plans of PNP-SAF when the PNP troops attacked Marwan and Usman's hideout early morning of January 2015.
<10>	Binigyan liwanag pa ng heneral na bilang sundalo at tagapagtanggol ng bansa, wala umanong na-violate ang pangulo sa chain of command.	the general also explained that as a soldier and defender of the country, the president allegedly did not violate the chain of command.
<11>	Naku po!!! Kung ganoon ang tunay na nangyari, baka nagkaroon ng tinatawag na sacrificial scenario sa pagitan ng elite forces ng PNP-SAF???	good heavens!!! if that was what truly happened, could there have been a so-called sacrificial scenario among the elite forces of PNP-SAF?
<12>	Kung matutuloy nga naman ang pirmahan sa Bangsa Moro Isamic Law (BBL), baka mawalan ng negosyo ang ilang sundalo at PNP sa rehiyon na hawak ng mga kapatid natin na nasa Maguindanao.	if the signing of the Bangsamoro Islamic Law (BBL) pushes through, a number of soldiers and PNP in the region held by our brothers in Maguindanao may lose their business.
<13>	Hindi pa natin alam kung ano ang kanilang mga negosyo.	we do not yet know what their businesses are.
<14>	Matatandaan na 44 miyembro ng PNP-SAF striking force na kinabibilangan ng Police Non-Commissioned Officers (PNCOs) at ilang PNP ground troops commander ang nasawi nang pumasok sila sa teritoryo ng MILF,MNLF at BIFF sa Mamasapano, Maguindanao.	Recall that 44 members of the PNP-SAF striking force, including the Police Non-Commissioned Officers (PNCOs) and a number of PNP ground troop commanders, were killed when they entered the territory of the MILF, MNLF, and BIFF in Mamasapano, Maguindanao.
<15>	Karamihan sa mga PNCO ay may ranggong Police Officer 1 at Police Officer 2.	most of the PNCO had a ranking of Police Officer 1 and Police Officer 2.
<16>	Ang ilan sa kanila ay taga-Cagayan, Benguet at Pangasinan province.	some of them were from Cagayan, Benguet, and Pangasinan province.
<17>	Naku po!!! Kung ipinadala sila sa isang combatant areas na hindi naman pamilyar sa kanila ang pupuntahang lugar at ang lenguwaheng kanilang naririnig, papaano sila makaliligtas sa kamatayan?	good heavens! if they were sent to a combatant area and were not familiar with the destination and the language they heard, how could they have avoided death?
