<1>	EDITORYAL – Mga pagkaing nakalalason	editorial - poisonous food
<2>	MGA kending gawa sa durian at mangosteen ang unang nakalason sa may 300 estudyante sa Surigao del Sur noong Hulyo 10.	candies made from durian and mangosteen are the first that poisoned around 300 students in Surigao del Sur last July 10.
<3>	May naaresto ng vendor at sinabing binili lang nila ang mga kendi.	a vendor was already arrested and said that they only bought the candies.
<4>	Nanggaling umano ang mga kendi sa Davao City.	it was said the the candies originated from Davao City.
<5>	Ipinasara na ang factory na nadiskubreng walang permit sa Food and Drugs Administration ang factory.	the factory was shut down when it was discovered that they didn't have a permit from the Food and Drugs Administration.
<6>	Kasunod ng durian kendi ay ang pagkalason naman ng pitong mag-aaral sa Iloilo City dahil sa pagkain ng ube cake na binili umano sa mga vendor sa labas ng eskuwelahan noong Martes.	after durian candy, there was the poisoning of seven students in Iloilo City for eating yam cake which they apparently bought from vendors outside the school last Tuesday.
<7>	Nakaranas ng pananakit ng tiyan, pagsusuka at pagtatae ang mga estudyante sa Pakiad Elementary School sa Oton.	the students of Pakiad elementary school in Oton experienced stomach aches, vomiting and diarrhea.
<8>	Isinugod sa ospital ang mga estudyante.	the students were rushed to the hospital.
<9>	Pero hindi pa lumalamig ang isyu sa pagkalason sa durian at ube cake, nalason naman sa kinaing macapuno candies ang siyam na estudyante sa Juan Sumulong High School sa Cubao, Quezon City noong Huwebes.	but even before the issues about the durian and yam cake died down, nine students in Juan Sumulong high school in Cubao, Quezon city were poisoned by the kopyor coconut candies they ate last Thursday.
<10>	Dinala sa ospital ang mga estudyante at anim sa kanila ang na-intensive care unit (ICU).	the students were brought to the hospital and six of them were admitted to the Intensive Care Unit (ICU).
<11>	Ayon sa mga estudyante binili nila ang macapuno candies sa isang kabataang lalaki na umano’y estudyante rin at nagtitinda ng macapuno para may panggastos sa pag-aaral.	according to the students, they bought the kopyor coconut candies from a young man who was also a student selling them for schooling expenses.
<12>	At halos kasabay nang pagkalason ng mga estudyante sa macapuno, nalason din ng araw na iyon ang 57 estudyante sa Sultan Kudarat dahil sa kinain nilang okoy.	and almost the same time the students were poisoned by kopyor coconut, on that very day 57 students were also poisoned in Sultan Kudarat because of the sweet potato fritters they ate.
<13>	Binili nila ang okoy sa isang vendor sa labas ng paaralan.	they bought the sweet potato fritters from a vendor outside the school.
<14>	Isinugod sa ospital ang mga bata.	the children were rushed to the hospital.
<15>	Hindi pa natatagalan nang 15 estudyante rin sa Sultan Kudarat ang isinugod sa ospital dahil sa pagkain ng pastel.	not long after, 15 students from Sultan Kudarat were also rushed to the hospital for eating crust pies.
<16>	Nakababahala na ang mga nangyayaring ito.	these incidents are disturbing.
<17>	Hindi dapat balewalain ang sunud-sunod na pagkalason ng mga estudyante.	the consecutive cases of poisoning of these students should not be taken for granted.
<18>	Kumilos sana ang DOH at alamin ang dahilan kung bakit may nakalalasong pagkain.	the DOH should act and investigate the reason why there is poisonous food.
<19>	Maghigpit naman ang school authorities sa mga vendor na nasa paligid.	school authorities should be stricter about vendors in the vicinity.
<20>	Kadalasang hindi malinis ang tinda ng vendors, nilalangaw, nakalantad sa alikabok at kung anu-anong mikrobyo.	often times, what these vendors are selling are unsanitary, riddled with flies, and exposed to dust and other microbes.
<21>	Payo sa mga magulang na la-ging bantayan ang mga anak at baka pagkain na kontaminado ang nakakain ng mga ito sa school.	it is advisable that parents should always monitor their children because they might be eating contaminated food at school.
