<1>	TAGAMASID: Mabuhay ka, Asi! By Jimmy Cantor	observer: long live, Asi! by Jimmy Cantor
<2>	January 2, 2017	January 2, 2017
<3>	Isa si Asi Taulava sa mga Fil-foreign ­players na pumasok sa PBA noong ­unang buksan ng liga ang pinto nito sa mga ­manlalarong ­lumaki sa ibang bansa pero ­sinasabing mayroong ­dugong Pilipino.	Asi Taulava is one of the Filipino-foreign players who entered the PBA when the league first opened its doors to players who grew up in other countries but is said to have Filipino blood.
<4>	Marami ang nagtaas ng kilay ng mga panahong ‘yun dahil sa unang tingin, parang walang dumadaloy na dugong Pinoy sa mga katulad ni Asi.	many raised eyebrows that time because at first glance, it seems there is no Filipino blood flowing with the likes of Asi.
<5>	Hindi na ba’t nagkaroon pa ng controversy noon dahil nga mayroong mga sinasabing Fil-foreigners na peke naman pala ang mga dokumento?	was there not a controversy then because there are those saying Filipino-foreigners with apparently fake documents?
<6>	At dahil nga nabuko sila na galing pala sa Recto ang kanilang mga papeless, agad na ­lumisan ang ilan sa mga manlalarong ito.	and because they were found out to have papers that came from Recto, some of these players readily left.
<7>	Hindi na natin babangitin kung sinu- sino.	we will not mention who these are.
<8>	Sabihin na lang natin na napeke nga tayo.	let us just say that we were faked.
<9>	Maging si Asi noon ay dumaan sa masu­sing pagsusuri ng mga nagsasabing ni isang patak ng dugong Pinoy ay wala siya.	even Asi then went through a careful scrutiny by those who were saying he did not have even one drop of Filipino blood.
<10>	Pero imbes na lumayas sa bansa ay nagpatuloy sa pag­lalaro sa PBA si Asi at ipinakitang mas Pinoy pa siya kaysa sa ibang mga manlalaro sa liga.	but instead of leaving the country Asi continued playing in PBA and showed that he is even more Pinoy compared to other players in the league.
<11>	Kasama si Asi sa national team na naglaro noong 2002 sa Asian Games sa Busan, South Korea.	Asi is included in the national team who played last 2002 in the Asian games in Busan, South Korea.
<12>	Marami ang nagsasabing ang naturang Philippine team ang pinakamalakas na nabuo dahil nga bukod kay Asi ay marami pang Fil-foreign players ang koponan.	many are saying that mentioned Philippine team was the strongest one built because aside from Asi there are even more Filipino-foreign players in the team.
<13>	At si Ron ­Jacobs pa ang coach.	and even Ron Jacobs is the coach
<14>	Pero noong Disyembre ng 2001 ay ­biglang na-stroke si Jacobs.	but last December of 2001 Jacobs suddenly had a stroke
<15>	Paigsiin na natin ang ­istorya: tumapos na pang- apat ang koponan matapos na matalo sa South Korea sa semifinals at sa Kazakhstan sa laban para sa bronze medal.	let us shorten the story: the team finished fourth after losing to South Korea at the semifinals and to Kazakhstan in the fight for the bronze medal.
<16>	Tinalo ng South Korea si Yao Ming at ang China sa finals.	South Korea defeated Yao Ming and China in the finals.
<17>	Naging miyembro rin ng national team si Asi nang talunin tayo ng China sa finals ng FIBA Asia kung saan nakatay ang isang puwesto para sa Rio Olympics.	Asi also became a member of the national team when we were defeated by China in the finals of the FIBA Asia where in one place for the Rio Olympics was slaughtered.
<18>	Maski na edad 40-plus na si Asi, ipinakita niyang mayroon pang natitirang gasolina sa kanyang tangke.	even though Asi is already aged 40-plus, he showed that there is still gasoline left in his tank
<19>	‘Yun ang panahon kung saan hindi naglaro si June Mar Fajardo sa koponan.	that is the time where in June Mar Fajardo did not play in the team
<20>	Heto ngayon ang siste.	this is the situation now
<21>	Gustong umalis ni Asi sa NLEX dahil puro bangko na ang ina­abot niya sa koponan.	Asi wants to leave NLEX because he gets seated mostly in the team.
<22>	Hindi na kasi siya makasabay sa gustong istilo ng laro ng bagong coach ng koponan na si Yeng Guiao.	he cannot keep abreast with the desired style of playing by the new coach of team who is Yeng Guiao
<23>	Kinausap ni Asi ang isang mataas na opisyal ng NLEX at nag-request na i-trade siya.	Asi talked with one high official of NLEX and requested that he be traded.
<24>	Baka nga naman sa ibang koponan ay magamit pa siya.	he might be of use in another team.
<25>	Aminin man natin o hindi, isa pa rin si Asi sa mga inaasahang big men ngayon sa liga.	whether we admit it or not, Asi is still one of the reliable big men in the league now.
<26>	Sa edad na 43, nasa dulo na ng kanyang playing career si Asi, na kasal sa isang Pilipina.	at the age of 43, Asi is at the end of his playing career, who is married to a Filipina.
<27>	Hindi magtatagal ay malamang na mag-retire na rin siya.	it won't be long and he will likely retire too.
<28>	Siyempre, gusto marahil ni Asi na bago mag-retire ay mapatunayan pa niyang hindi pa siya laos.	of course, Asi probably wants to prove before retiring that he is not yet a has been.
<29>	;Habang sinusulat ito ay wala pang aksyon ang NLEX sa request ni Asi.	while this is being written NLEX has no action yet on the request by Asi.
<30>	Pero hindi ako magtataka kung ma-trade nga siya sa ibang koponan.	but I will not be surprised if he is indeed traded to other teams.
<31>	At kapag no takers, malamang na mag-retiro na nga siya.	and if there are no takers, he will probably retire.
<32>	Para sa atin, wala ng kailangang ­patunayan si Asi kanino man.	for us, Asi does not need to prove anything to anyone.
<33>	Mahaba ang panahon na kanyang ibinigay sa PBA at sa national team.	he gave a long time to the PBA and the national team.
<34>	At ito lang ang masasabi ko, mas Pilipino pa si Asi kaysa sa iba d’yan.	and this what I can only say, Asi is more Filipino than others there.
<35>	Mabuhay ka, Asi!	long live, Asi!
<36>	At manigong Bagong Taon sa lahat!	and happy new year to all!
