<1>	Army troopers vs Abu Sayyaf: 9 patay, 23 pa sugatan	army troopers versus Abu Sayyaf: 9 dead, 23 injured.
<2>	Ni Joy Cantos (Pilipino Star Ngayon) | Updated February 8, 2015 - 12:00am	by Joy Cantos (Philippine Star Today). updated February 8, 2015 - 12:00am.
<3>	MANILA, Philippines – Umaabot na sa siyam na miyembro ng mga bandidong Abu Sayyaf Group (ASG) ang napaslang habang 23 pa ang nasugatan kabilang ang 14 sundalo sa umaatikabong bakbakan na tumagal ng siyam na oras sa Patikul, Sulu nitong Biyernes ng hapon.	Manila, Philippines - almost nine members of the bandit Abu Sayyaf Group (ASG) were killed while 23 more were injured, including 14 soldiers, in the intense fight that lasted for nine hours in Patikul, Sulu last Friday afternoon.
<4>	Gayunman, kasalukuyan pang inaalam ang pag­kakakilanlan ng mga nasawing bandido.	however, the identities of the bandits who died are still being investigated.
<5>	Aabot naman sa siyam ang mga nasugatang Abu Sayyaf.	meanwhile, nine Abu Sayyaf were injured.
<6>	Isinugod naman sa pagamutan ang mga na­sugatang sundalo na kinilalang sina 1Lt. Edwin Mateo; SSgt Rico Haluag; Sgt Mhienhar Sahial; Cpl. Eddie Sahipa; Cpl. Joel Torrion; PFC Henry Sacay PFC Aldren Juaini; PFC Renante Lusay; PFC Reyji Monsales; PFC Gajir Radja; SSgt Mario Macas; PFC Argie Maala; PFC Ronello Anadeo at PCF Malik Taha.	the injured soldiers, who were identified as 1st Lieutenant Edwin Mateo; Senior Sergeant Rico Haluag; Sergeant Mhienhar Sahial; Corporal Eddie Sahipa; Corporal Joel Torrion; Private First Class Henry Sacay; Private First Class Aldren Juaini; Private First Class Renante Lusay; Private First Class Reyji Monsales; Private First Class Gajir Radja; Senior Sergeant Mario Macas; Private First Class Argie Maala; Private First Class Ronello Anadeo and Private First Class Malik Taha, were rushed to the hospital.
<7>	Ayon kay AFP Public Affairs Office Chief Lt. Col. Harold Cabunoc, nagsimula ang bakbakan dakong alas-11:50 ng umaga sa Sitio Kan Islam, Brgy. Buhanginan, Patikul.	according to AFP Public Affairs Office Chief Lieutenant Colonel Harold Cabunoc, the fight started at around 11:50 in the morning at Sitio Kan Islam, Baranggay Buhanginan, Patikul.
<8>	Arestado naman ng tropa ng Army’s 32nd at 35th Infantry Battalion (IB) sa operasyon ang anim sa siyam na mga nasugatang bandido na inabandona ng mga nagsitakas nitong kasamahan.	arrested by troops of the Army's 32nd and 35th Infantry Battalion (IB) in the operation were six out of nine injured bandits, who were abandoned by their companions who escaped.
<9>	Bandang alas-5:45 ng hapon ayon sa opisyal nang ilipat na ng military helicopter ang mga sugatang sundalo at dalhin sa trauma hospital sa Kuta Heneral Teo­dulfo Bautista sa Jolo, Sulu.	it was around 5:45 in the afternoon, according to the official, when a military helicopter transferred the injured soldiers and took them to the trauma hospital at Kuta Heneral Teodulfo Bautista in Jolo, Sulu.
<10>	Inihayag ng opisyal na nagsagawa ng law enforcement operation ang Army’s 35th IB sa pamumuno ni Major Ibni Saddama laban sa grupo nina ASG Commanders Radulan Sahiron, Hairlah Abang at Amlon Abtahi.	the officer stated that the Army's 35th IB, led by Major Ibni Saddama, performed a law enforcement operation against the group of ASG Commanders Radulan Sahiron, Hairlah Abang and Amlon Abtahi.
<11>	Nagpapatuloy naman ang hot pursuit operations laban sa nagsitakas na grupo ng mga bandido.	meanwhile, hot pursuit operations continue against the group of bandits that escaped.
