<1>	13 manlalarong Palawenyo sasabak sa Southern Luzon Batang Pinoy	13 players from Palawan to compete in Southern Luzon Batang Pinoy
<2>	July 09, 2016	July 09, 2016
<3>	PUERTO PRINCESA, Palawan, Hulyo 9 (PIA) --- 13 manlalarong Palawenyo ang sasabak sa gaganaping Southern Luzon Batang Pinoy Sports Summit-Southern Luzon Qualifying Leg sa Hulyo 25-30, 2016 sa Lungsod ng Lipa sa Batangas.	Puerto Princesa, Palawan, July 9 (PIA) - 13 players from Palawan will compete in the upcoming Southern Luzon Batang Pinoy Sports Summit - Southern Luzon Qualifying Leg on July 25-30, 2016 in the City of Lipa in Batangas.
<4>	Ayon kay Sunshine Cabiguen, hepe ng Sports Development Division ng pamahalaang panlalawigan, sa kasalukuyan ay patuloy na nag-i-ensayo ang 13 manlalaro na kakatawan sa koponan ng lalawigan ng Palawan para sa nasabing torneo.	According to Sunshine Cabiguen, chief of the Sports Development Division of the municipal government, currently, the 13 players who will represent the province of Palawan are continuously training for the tournament.
<5>	Makakalaban ng Palawan ang iba pang piling manlalaro mula sa iba’t-ibang probinsya sa Southern Luzon.	Palawan will compete against other select players from the different provinces of Southern Luzon.
<6>	Ani Cabiguen, ang mga manlalaro na kakatawan sa Palawan ay mula sa mga munisipyo ng Cuyo, Brooke’s Point at Balabac kasama ang tatlong kawani ng Sports Development Division na magsisilbing coach at trainers.	Cabiguen said the players who will represent Palawan are from the municipality of Cuyo, Brooke's Point and Balabac together with three members of the Sports Development Division who will act as coach and trainers.
<7>	Ang mga larong Sepak Takraw at Table Tennis ang nakatakdang ipamalas ng delegasyon ng Palawan para sa naturang palakasan laban sa iba pang nitong katunggali.	the games Sepak Takraw and table tennis will be showcased by the Palawan delegates in the said sports tournament against other competitors.
<8>	Nakipag-ugnayan narin si Cabiguen kay Dr. Servillano A. Arzaga, Schools Division Superintendent ng Department of Education (DepEd- Palawan) upang bigyan ng konsiderasyon ang mga batang atleta na makapagliban sa kanilang mga klase sa mga araw ng palaro.	Cabiguen also asked Dr. Servillano A. Arzaga, Schools Division Superintendent of the Department of Education (DepEd- Palawan) to give consideration to the young athletes to miss their classes on the day of the games.
<9>	Naniniwala naman si Cabiguen na ang mga manlalaro na kanilang napili ay mga quality athletes sa Palawan na magbibigay ng karangalan sa lalawigan, una nang napag-alaman na ang mga ito ay nakapagtala na ng panalo sa nakaraang mga palaro sa loob at labas ng lalawigan.	Cabiguen believes that the players they have chosen are quality athletes of Palawan who will give honor to the province. it was learned that they have already won in previous tournaments in and outside the province.
<10>	Nakatakda namang tunguhin ng delegado ng Palawan ang lungsod ng Lipa sa darating na ika-23 ng Hulyo, taong kasalukuyan Ang mga magwawagi sa palakasang ito ang kakatawan sa rehiyon ng Southern Luzon para sa National Championship na nakatakdang ganapin sa Lungsod ng Dumaguete sa darating Oktubre 2016.	the delegates of Palawan will travel to the City of Lipa on the 23rd of July of the current year. the winners in this tournament will represent the Southern Luzon region at the National Championship scheduled to take place in Dumaguete City in October 2016.
<11>	(OCJ/PIA4B-Palawan)	(OCJ/PIA4B-Palawan)
