<1>	41st IB, muling pinarusahan ng NPA	41st IB, once again punished by NPA
<2>	Ka Danreb BringgasProcopio Tauro Front - NPA-North AbraSeptember 29, 2013Matagumapay na isinagawa ang operasyong harassment ng isang tim ng Procopio Tauro front – NPA North Abra sa ilalim ng Agustin Begnalen Command sa Detatsment ng Bravo Coy 41st IBPA sa Mataragan, Malibcong, Abra noong September 29, 2013.	Danreb Bringgas Procopio Tauro Front - NPA-North Abra September 29, 2013 a harassment operation of one team from Procopio Tauro front - NPA North Abra under Agustin Begnalen Command in Detachment of Bravo Coy 41st IBPA in Mataragan, Malibcong, Abra last September 29, 2013 has been successfully executed.
<3>	Nag-umpisa ang pag-atake bandang 5:35ng umaga at tumagal lang ng 3 minuto.	the attack started about 5:35 in the morning and lasted for only 3 minutes.
<4>	Ayon saspot report, 1sundalo ang agarang namatay habang ligtas namang umatras ang tim ng NPA.	based on the spot report, 1 soldier immediately died while the team of the NPA safely retreated.
<5>	Isinagawa ang taktikal na opensiba bilang tugon sa matagal nang kahilingan ng mamamayan ng Malibcong na mapaalis ang detatsment at parusahan ang 41st Infantry Battaliondahil sa nagpapatuloy na paglabag sa karapatang pantao at pagpapakita ng kawalan ng disiplina at paggalang ng mga pasistang tropa.	the tactical offense was done as a response in the long plea of the people of Malibcong to get rid of the detachment and punish the 41st Infantry Battalion because of the continuous violations against human rights and showing lack of discipline and respect of the fascist troops.
<6>	Ang detatsment ay nagdudulot din ng takot at pagkaligalig ng mga mamamayan dahil sa mga ginagawang mgareaksyunaryongtulad ng pagnanakaw ng mga pananim, alagang hayop, walang pakundangang pagpapaputok ng mga baril, paglalasing, pananakot at panggugulo, at pagsasamantala sa mga kababaihan.	the detachment also causes fear and uneasiness of the people because of the actions being done by reactionaries like robbing of crops, livestock, unobstructed firing of guns, getting drunk, intimidation and harassment, and exploiting the women.
<7>	Dagdag pa dito ang walang-habas na pambobomba malapit ng AFP malapit sa kabahayan sa Gacab at Bangilo, Malibcong noong Mayo 30 at 31, 2013 na nagdulot ng matinding trauma sa mamamayan, lalo na sa dalawang dalagitang muntik nang tamaan ng bomba.	in addition to the deliberate nearby bombing by the AFP near the houses in Gacab and Bangilo, Malibcong last May 30 and 31, 2013 that caused severe trauma to the people, especially to the young girls who were nearly hit by a bomb.
<8>	Layunin ng taktikal na opensiba na parusahan ang mga pwersa ng 503rd Brigade at gunitain ang maningning na alaala ng walong (8) pulang kumander at mandirigma na nagbuwis ng buhay sa isang labanan sa Caganayan, Tineg noong Oktubre 10, 2011.	the purpose of the tactical offense to punish the forces of the 503rd brigade and to commemorate the shining memories of the eight (8) red commanders and warriors that gave their lives up in a battle in Caganayan, Tineg last October 10, 2011.
<9>	Matapos ang dalawang taon, hindi maalis sa alaala ng rebolusyonaryong mamamayan at mga mandirigma ang pambababoy na ginawa ng mga pwersa ng 503rd Brigade, sa pamumuno ni Lt. Jeson Capoquian.	after two years, it is still in the memories of the revolutionary community and warriors the despicable acts done by the forces of the 503rd brigade lead by Lieutenant Jeson Capoquian.
<10>	Nagsisilbing babala din ang naturang aksyong-militar laban sa mga tuloy-tuloy na nagpipilit at nananakot upang makapagrekluta at makapagbuo ng CAFGU, PAGs, at iba pang grupong para-militar sa maraming komunidad sa Abra.	the said military action also serves as a warning to those who consistently strives and threatens to recruit and develop CAFGU, PAGs, and other military groups in many communities in Abra.
<11>	Hindi kailanman malilimutan ng rebolusyonaryong kilusan ang mga mapang-api at mapagsamantala, at maipapatupad din ang rebolusyonaryong hustisya lalo na sa mga lansakang kontra-rebolusyonaryo at kriminal.	the revolutionary movement will never forget the oppressors and exploiters, and that the revolutionary justice will be enforced especially to those who are anti-revolutionary and criminals.
<12>	Magpapatuloy ang pagsasagawa ng iba’t ibang tipo ng mga takitkal na opensiba ang NPA North Abra bilang bahagi ng kabuuang pagsisikap na isulong ang masinsin at largadong pakikidigmang gerilya upang ibagsak ang mapang-api at mapagsamantalang sistemang mala-pyudal at mala-kolonyal at ipagwagi ang Rebolusyong Pilipino.	NPA North Abra will continue to carry out various types of tactical offensives as part of the overall effort to advance compact and large-scale guerrilla warfare to overthrow the oppressive and exploitative system of semi-feudalism and colonialism and win the Philippine Revolution.
<13>	Biguin ang Oplan Bayanihan!	fail the Oplan Bayanihan!
<14>	Isulong ang Demokratikong Rebolusyon ng Bayan tungo sa Estratehikong Pagkakapatas!	advance the democratic revolution of the country towards strategic equality!
