<1>	Mga opensiba sa Northeastern Mindanao at Cagayan Valley	offensives in Northeastern Mindanao and Cagayan Valley
<2>	Nakapaglunsad ng limang taktikal na opensiba ang mga yunit ng Bagong Hukbong Bayan (BHB) sa Northeastern Mindanao Region (NEMR) at sa Cagayan Valley nitong Enero 3 at noong Disyembre.	the units of the New People's Army (BHB) were able to launch five tactical offensives in the Northeastern Mindanao Region (NEMR) and in Cagayan Valley this January 3 and on December.
<3>	Nakasamsam ang BHB ng 15 armas, kabilang ang isang light machine gun.	the BHB was able to confiscate 15 weapons, including one light machine gun.
<4>	Nagtamo ang kaaway ng 11 kaswalti (anim na patay at limang sugatan).	the enemy sustained 11 casualties (six dead and five wounded).
<5>	*Enero 3.* Bandang alas-4 ng madaling araw nang salakayin ng mga Pulang mandirigma ng Front 21 sa ilalim ng Pulang Diwata Command (BHB-NEMR) ang patrol base ng 23rd IB ng Philippine Army at Civilian Active Auxiliary (CAA) sa Barangay San Antonio, bayan ng Remedios T. Romualdez, Agusan del Norte.	- January 3. - it was around 4 o'clock at dawn when the Red fighters of Front 21 under Pulang Diwata Command (BHB-NEMR) attacked the base of the 23rd IB of the Philippine Army and Civilian Active Auxiliary (CAA) in Barangay San Antonio, town of Remedios T. Romualdez, Agusan del Norte.
<6>	Isang elementong paramilitar ang napatay at nasugatan ang isang tropa ng Echo Company ng 23rd IB.	one paramilitary element was killed and one troop of the Echo Company of the 23rd IB was injured.
<7>	Nakasamsam ang mga Pulang mandirigma ng isang ripleng M14 at nasira ang detatsment.	the Red fighters confiscated one M14 rifle and the detachment, destroyed.
<8>	Isang Pulang mandirigma ang nagbuwis ng kanyang buhay.	one Red fighter gave up his life.
<9>	Nagpaumanhin din ang NDF-NEMR sa mga sibilyang tinamaan ng bala sa nasabing reyd at nangakong sasagutin nito ang mga gastos sa kanilang pagpapagamot.	the NDF-NEMR also apologized to the civilians hit by bullets in the said raid and promised to take care of their medical expenses.
<10>	*Disyembre 16.* Inatake ng mga Pulang mandirigma ang pangkat ng Community Organizing for Peace and Development (COPD) ng 36th IB.	- December 16. - the Red fighters attacked the Community Organizing for Peace and Development (COPD) section of the 36th IB.
<11>	Bunsod nito, limang sundalo ang napatay at dalawa pa ang nasugatan.	due to this, five soldiers were killed and two more were wounded.
<12>	Nakahimpil sa barangay hall ng Mabuhay, Tandag City, Surigao del Sur ang siyam-kataong yunit ng COPD nang salakayin sila ng mga Pulang mandirigma bandang alas-5:30 ng umaga.	the nine-person unit of the COPD was stationed at the barangay hall of Mabuhay, Tandag City, Surigao del Sur when they were attacked by the Red fighters around 5:30 in the morning.
<13>	Nasamsam ng BHB ang siyam na malalakas na armas -- limang ripleng M14, tatlumpu't pitong magasin at 500 bala; dalawang ripleng M16, dalawampung magasin at 400 bala; isang M203 grenade launcher at 12 granada nito; isang K3 light machine gun at 300 bala nito; at isang kalibre .45 pistola.	the BHB seized nine powerful weapons - five M14 rifles, thirty-seven magazines and 500 bullets; two M16 rifles, twenty magazines and 400 bullets; one M203 grenade launcher and 12 of its grenades; one K3 light machine gun and 300 of its bullets; and one caliber .45 pistol.
<14>	Nakuha rin ang anim na bakpak ng mga sundalo na pawang puno ng marijuana.	also obtained were six backpacks of the soldiers that were all full of marijuana.
<15>	Mula pa noong Setyembre ay nagkakampo na ang tim ng COPD sa nasabing barangay.	the team of the COPD has camped out in the said barangay since September.
<16>	Minantine nila ang kanilang kampo at ipinagpatuloy ang mga operasyong militar sa kabila ng idineklara ng gubyernong Aquino na unilateral na tigil-putukan.	they maintained their camp and continued military operations despite the Aquino government declaring unilateral ceasefire.
<17>	Matagal nang inirereklamo ng mga residente ang mahabang listahan ng mga paglabag ng COPD sa mga karapatang-tao sa nasabing barangay.	residents have long complained about the long list of human rights violations of the COPD in the said barangay.
<18>	*Disyembre 15.* Isang walang-putok na reyd ang inilunsad ng mga Pulang mandirigma sa provincial jail sa Lianga, Surigao del Sur.	- December 15. - one fireless raid was launched by the Red fighters on the provincial jail of Lianga, Surigao del Sur.
<19>	Nakasamsam ang mga Pulang mandirigma ng isang ripleng AK-47, isang shotgun, tatlong pistola at mga bala.	the Red fighters were able to seize one AK-47 rifle, one shotgun, three pistols and bullets.
<20>	Noong araw ding iyon sa Cagayan Valley, inambus ng mga Pulang mandirigma sa ilalim ng Reynaldo Piñon Command ng BHB ang 40-kataong tropa ng 51st Division Reconnaissance Company (DRC) ng 5th Infantry Division.	on that very day in Cagayan Valley, Red fighters under the Reynaldo Piñon Command of the BHB ambushed a 40-person troop of the 51st Division Reconnaissance Company (DRC) of the 5th Infantry Division.
<21>	Ang pananambang ay isinagawa ganap na alas-3:30 ng hapon sa Barangay San Jose, San Mariano, Isabela.	the ambush was done at exactly 3:30 in the afternoon in Barangay San Jose, San Mariano, Isabela.
<22>	Nasugatan ang dalawang sundalo.	two soldiers were injured.
<23>	Para pagtakpan ang kanilang kahihiyan, katawa-tawang ipinahayag ng militar na sugat lang sa braso at kamay ang tinamo ng mga sundalo.	to cover up for their embarrassment, the military hilariously declared that the soldiers sustained wounds on the arm and hand only.
<24>	Ang mga sundalo ay naglulunsad ng mga operasyong pangkombat nang tambangan ng mga Pulang mandirigma.	the soldiers were launching combat operations when they were ambushed by the Red fighters.
<25>	*Disyembre 11.* Pinaputukan ng mga Pulang mandirigma ng Danilo Ben Command ng BHB ang detatsment ng 77th IB at CAFGU sa Barangay Gagabutan, Rizal, Cagayan.	- December 11. - Red fighters of the Danilo Ben Command of the BHB fired at the detachment of the 77th IB and CAGFU of Barangay Gagabutan, Rizal, Cagayan.
<26>	Ang mga tropang nakatalaga roon ay matagal nang inirereklamo ng masa sa baryo dahil sa perwisyong dulot ng pagkakampo nila gaya ng walang patumanggang pamamaril sa mga kabahayan, paglalasing, pagsugal at pagnanakaw ng mga manok.	the people of the barrio have long complained about the troops stationed there because of the inconveniences caused by their station there like inconsiderate shooting of houses, getting wasted, gambling, and stealing chickens.
<27>	Ang mga elemento ng CAFGU ay sumasama rin sa mga operasyong militar ng 17th IB	the CAGFU elements also join the military operations of the 17th IB
