<1>	(0.000-2.166)	o all ready .	okay all ready .
<2>	(2.166-7.531)	si Director Getulio Napeñas <hes> ito ang <hes> commander ng SAF .	Director Getulio Napeñas here is the SAF commander .
<3>	(7.531-17.365)	ito ang <hes> sinibak na head ng <hes> Special Action Force at <hes> he put squarely on the Armed Forces of the Philippines yung sisi .	this is the dismissed head of the Special Action Force and he put squarely on the Armed Forces of the Philippines the blame .
<4>	(17.365-25.560)	yung <hes> sinisi niya yung <hes> A_F_P sa hindi pagtugon sa kanilang panawagan na ma- -- ma- -- masaklolohan sila .	he is blaming the A_F_P for not responding to their plea for them -- to be -- saved .
<5>	(25.560-29.386)	kausapin natin ang <hes> spokesman ng A_F_P .	let us talk with the spokesman of A_F_P .
<6>	(29.386-33.390)	<hes> (()) Colonel Restituto Padilla Junior .	(()) Colonel Restituto Padilla Junior .
<7>	(33.390-34.381)	good morning colonel .	good morning colonel .
<8>	(34.381-37.700)	all talk all ready .	all talk all ready .
<9>	(37.700-42.659)	magandang umaga po secretary at tsaka sa lahat po ng nakikinig ngayong umaga magandang umaga po sa inyong lahat .	good morning secretary and also to everyone who is listening this morning good morning to all of you .
<10>	(42.659-64.090)	no'ng nakikinig ka do'n sa testimony ni <hes> director Napeñas sa anong naging reaksiyon mo at anong official na reaksiyon din ng Armed Forces of the Philippines sa pagsisisi niya sa A_F_P sa pag- -- sa di-umanong mga pagkukulang nito na laging di-umano naging dahilan ng pagkasawi ng kanilang mga tauhan ?	when you were listening at the testimony of director Napeñas what was your reaction and also the official reaction of the Armed Forces of the Philippines on him blaming the A_F_P on the -- about the alleged shortcomings that supposedly became the reason of the deaths of their people ?
<11>	(64.090-71.760)	<hes> very subjective po kasi ang kaniyang naging <hes> pahayag at <hes> 'yon lang ho kasi ay sa paniniwala niya .	his statement was very subjective and that was his conviction .
<12>	(71.760-83.350)	<hes> hindi naman ho kasi gano'n talaga ang aming <hes> nagiging pagtutulungan lalo na sa <no-speech> mga kagulu- -- oras ho ng kaguluhan lalo na ho diyan sa may Mindanao .	it's not really like that our cooperation especially in -- times of trouble especially there in Mindanao .
<13>	(83.350-95.600)	<hes> malaki po ang naidulot ng pagkakaroon niya ng pag- -- <hes> withhold ng information o yung pagtatago ng information na very selective po ang kaniyang pagtse- -- pagbibigay .	the cause was great with regards to his acquirement of-- withholding of information or hiding information where his -- imparting was very selective .
<14>	(95.600-102.083)	kaya ito po ang naging dahilan kaya medyo masama ho yata ang loob niya't hindi ho nakarating .	thus this became the reason why he felt bad and did not come .
<15>	(102.083-117.510)	hindi niya ho pala na ho naintindihan ang tunay na picture kung paano ho nagkaroon ng <hes> ganoong kaganapan dahil nailahad naman po namin na ng detalyado ang mga pangyayari no'ng araw na 'yon at hindi po kami nagkulang .	he also did not understand the real picture as to how that event came about because we have declared that the events on that day were detailed and we did not lack anything .
<16>	(117.510-126.760)	makikita naman po doon sa aming salaysay na umaga pa lang po alas sais pa lang eh nag-mobilize na po ang mga tropa .	it can be seen in our statement that even in the morning it was still six o'clock when the troops were already mobilized .
<17>	(126.760-139.117)	'yon eh kailan -- 'yon do'n sa pagdedetalye ninyo ano ba ang ina-asset n'yo na una hindi kayo binigyan ng <hes> fully information at <hes> ano ba ang mga naging desisyon n'yo ?	that is when -- there in in your detailing what were you assessing that at first you were not given fully information and what were your decisions ?
<18>	(139.117-155.570)	hindi ba kayo -- <hes> kayo ba'y sa tingin n'yo naging parang ura-urada yung <hes> paghingi ng saklolo o 'yan ba ay could have been done better <hes> and how could it -- ka- -- how could have it been done better ?	are you not -- do you think that you were hasty when you asked for rescue or could you have done better and how could it -- how could have it been done better ?
<19>	(155.570-165.575)	<hes> una po na isaad din po namin ang kahulugan sa amin ng <hes> ang ibig sabihin at kahulugan po ng koordinasyon -- word na coordination .	first we have also stated our definition of the meaning and definition of coordination -- the word coordination .
<20>	(165.575-174.895)	inilahad po namin 'yan sa aming presentasyon at para naman po magkaroon po ng basic plane of understanding kung ano talaga ang pagkakaintindi namin dito .	we have also divulged that in our presentation and to in order to have a basic plane of understanding on what we really discerned about this .
<21>	(174.895-184.260)	at nailagay namin doon na hindi naman ito basta-basta tawag lang ng ura-urada at ng ngayon lang na tapos na ang mga pangyayari .	and were able to include there that this is not simple and cannot be rushed and the events finished only now .
<22>	(184.260-191.340)	at yung <hes> mga request niya po hindi ho naging very specific <hes> no'ng mga circumstances na 'yon yung mga araw na 'yon .	and the his requests were not very specific on those circumstances on those days .
<23>	(191.340-199.655)	dahilan na rin ho siguro sa pressure na kaniyang <hes> nararamdaman galing sa kaniyang mga tropa do'n sa may area ng labanan .	maybe also due to pressure from his feelings from his troops there by the battle area .
