<1>	BHB sa Abra at Kalinga, pinuri ng CPDF	BHB in Abra and Kalinga, praised by the CPDF
<2>	ANG BAYAN21 February 2012 Pinuri ng Cordillera People's Democratic Front (CPDF) ang dalawang kumand ng Bagong Hukbong Bayan (BHB) sa Ilocos-Cordillera Region--ang Agustin Begnalen Command (ABC) ng Abra sa matagumpay nitong pagbigo sa atake ng militar at ang Lejo Cawilan Command (LCC) ng Kalinga sa paglunsad ng isang taktikal na opensiba sa detatsment ng 77th IB-CAA noong Pebrero 3.	the nation 21 February 2012 the Cordillera People's Democratic Front (CPDF) praised the two commands of the New People's Army (NPA) in Ilocos-Cordillera Region - the Agustin Begnalen Command (ABC) in Abra in successfully failing the attack of the military and the Lejo Cawilan Command (LCC) of Kalinga in launching one tactical offensive in the detachment of the 77th IB-CAA last February 3.
<3>	Pinasinungalingan din ng CDPDF ang pahayag ng militar na nagtamo ng tatlong patay at isang sugatan ang BHB.	the CDPDF also disproved the statement of the military that the BHB acquired three deaths and one wounded.
<4>	Ayon sa Saulo Lumadao Front ng South-Central Abra-BHB, dalawa sa mga tropa ng 52nd Division Reconnaissance Company (52nd DRC) ng 5th ID ang nasugatan nang tangkain nilang salakayin ang temporaryong pinaghihimpilan ng BHB sa Sityo Nagas-asan, Barangay Ud-udiao sa Sallapadan, Abra bandang alas-11 ng umaga noong Pebrero 3.	according to Saulo Lumadao Front of South-Central Abra-BHB, two of the troops of the 52nd Division Reconnaissance Company (52nd DRC) of the 5th ID were injured when they attempted to attack the temporal stationing of the BHB in Sitio Nagas-asan, Barangay Ud-udiao in Sallapadan, Abra around 11 in the morning last February 3.
<5>	Sa araw ding iyon, binulabog ng isang pangkat ng BHB sa ilalim ng LCC ang detatsment ng 77th IB-CAFGU sa Cagaluan Gate, bayan ng Pasil, Kalinga.	also on that day, a unit of the BHB under the LCC disrupted the detachment of the 77th IB-CAFGU in Cagaluan Gate, town of Pasil, Kalinga.
<6>	Nagtamo ang kaaway ng tatlong sugatan--dalawang sundalo ng 77th IB at isang elemento ng CAA.	the enemies acquired three injured - two soldiers of the 77th IB and one element of CAA.
<7>	Ang mga operasyong militar sa lugar ay may layuning supilin ang mga anti-minang paglaban ng mamamayan sa prubinsya.	the military operations in the place have objectives to suppress the anti-mining uprising of the citizens in the province.
<8>	Samantala, iniulat ng Jovito Ragay Command ng Bagong Hukbong Bayan sa prubinsya ng Samar na sampung kaaway (siyam na sundalo at isang elemento ng CAFGU) ang napatay sa magkasunod na labanan sa bayan ng Calbiga noong Enero 23 at 25.	meanwhile, the Jovito Ragay Command of the New People's Army in the province of Samar reported that ten enemies (nine soldiers and one element of CAFGU) were killed in the consecutive fight in the town of Calbiga last January 23 and 25.
<9>	Alas-7 ng umaga nang matagumpay na magtanggol ang mga kasama laban sa reyd ng mga elemento ng 34th IB sa isang base ng BHB sa Barangay Ginbanga noong Enero 23.	7 o'clock in the morning when the fellows successfully defended against the raid of the elements of the 34th IB in one base of the BHB in Barangay Ginbanga last January 23.
<10>	Dalawang regular na sundalo at ang paramilitar na si Luis Gacuma ang napatay sa labanang ito.	two regular soldiers and a paramilitary who is Luis Gacuman were killed in this fight.
<11>	Ligtas na nakaatras ang mga kasama na walang kaswalti.	the fellows safely retreated without casualties.
<12>	Naglunsad ng kontra-opensiba ang BHB sa pag-atake ng kaaway.	the BHB launched a counter-offense against the attack of the enemies.
<13>	Alas-10 ng umaga ng Enero 25, hinaras ng BHB ang mga sundalo ng 34th IB sa Barangay Hubasan.	10 o'clock in the morning of January 25, the BHB harassed the soldiers of the 34th IB in Barangay Hubasan.
<14>	Dahil sa sobrang demoralisasyon at kalituhan, nagka-misencounter ang mga sundalo at pito sa kanila ang napatay.	because of too much demoralization and confusion, the soldiers have wrongly encountered each other and seven of them were killed.
<15>	Wala namang kaswalti sa panig ng BHB.	no casualty in the part of the BHB.
<16>	Sa sobrang kahihiyan, hindi inamin ng militar ang kanilang mga kaswalti at sinabi lamang sa midya na isang paramilitar ang napatay sa kanilang mga opensibang operasyon sa Calbiga.	in too much shame, the military did not admit their casualties and just told the media that one paramilitary was killed in their offensive operation in Calbiga.
