<1>	ISPORT LANG!: Peping takot kay Ricky? By Zaldy Perez	just sports! : Peping afraid of Ricky? by Zaldy Perez
<2>	October 30, 2016	October 30, 2016
<3>	Nakakatawa ‘yung nabasa nating statement ni incumbent POC president Jose “Peping” Cojuangco, na lumabas sa isang peryodiko (hindi sa Abante).	the statement we read from incumbent POC president Jose "Peping" Cojuangco, that appeared in one newspaper (not in Abante) is funny.
<4>	Ang statement ay tungkol sa pagkaka-­diskuwalipika kay ABAP president Ricky Vargas na tumakbo sa Nov. 25 POC presidential elections.	the statement is about the disqualification of ABAP president Ricky Vargas who ran in the November 25 POC presidential elections.
<5>	Sabi ni Cojuangco, ang taong kumukuwestiyon sa rules ng eleksiyon at nanggugulo ay minority lamang.	Cojuangco said, the people questioning the election rules and causing trouble are just a minority.
<6>	Obvious na si Vargas ang kanyang pinatutungkulan.	obviously he is referring to Vargas.
<7>	Sayang nga lamang at masyadong mahaba­ kung ilalagay pa sa kolum na ito ang motion for ­reconsideration na inihain ni Vargas sa POC election committee.	it is just a shame that if we put in this column the motion for reconsideration submitted by Vargas to the POC election committee it will be too long.
<8>	Sa pinaka-buod ng motion for reconsideration na isinumite nitong ­Biyernes, sinabi ni Vargas na depektibo, walang basehan at walang due ­process, kaya dapat na baligtarin ang disqualification laban sa kanya .	in the summary of the motion for reconsideration submitted last Friday, Vargas said the disqualification against him is defective, has no basis and has no due process, so it should be reversed.
<9>	Anyway, bakit kailangan pa ni Cojuangco na ipa-disqualify si Vargas, ­gayong minority lamang pala ito.	anyway, why does Cojuangco need to disqualify Vargas, when he is just a minority.
<10>	Kung sabagay masasabing TRAPO (traditional politician) itong si ­Cojuangco at gagawin ang lahat masiguro lamang ang kanyang panalo.	well, Cojuangco can be considered TRAPO (traditional politician) and will do anything just to ensure his win.
<11>	Ang nakakalungkot nga lamang dito, pati ang dating IOC representative na si Frank Elizalde, na dapat ay maging neutral ay nagpapagamit kay ­Cojuangco para i-manipula si Vargas.	what is just saddening here, is even former IOC representative Frank Elizalde, who should be neutral offers to be used by Cojuangco to manipulate Vargas.
<12>	Kung talagang walang ibubuga si Vargas at walang sapat na bilang ng NSAs na susuporta sa kanya para manalo sa eleksiyon, bakit kailangan pa ni Cojuangco ang disqualification gamit ang kawalan ng pisikal na attendance ng ABAP president sa General Assembly meeting.	if Vargas really offers nothing and has not enough NSAs to help him win the election, why did Cojuangco need the disqualification that used the lack of physical attendance by the ABAP president in the general assembly meeting.
<13>	Sa totoo lang, nanginginig ang buong katawan ni Cojuangco sa takot kay Vargas dahil kung lalabanan niya ito nang parehas, tiyak na mawawala na sa kanyang poder ang POC na 12 taon na niyang hawak at 12 taon na ring pagkasadlak sa kadiliman ng Philippine sports.	the truth is, Cojuangco's entire body is shaking in fear of Vargas because if he will fight him fairly, the POC that he has been in charge of for 12 years and for 12 years Philippine sports has been stuck in darkness will surely be gone from his authority.
<14>	Nakakalungkot din na sa loob ng 12 taong singkad na termino ni ­Cojuangco, nagbunga ito ng pagkakahati-hati ng maraming mga national sports ­association lalo na roon sa ayaw magpasakop sa kanya.	it is also saddening that in Cojuangco's term of exactly 12 years, it caused the division of many national sports associations especially those who do not want to be under him.
