<1>	Pahayag ng RCTU-ST kaugnay sa pagkadakip sa mag-asawang Tiamzon	Statement of RCTU-ST related to the kidnapping of the Tiamzon couple
<2>	Fortunato Magtanggol	Fortunato Magtanggol
<3>	RCTU - Timog Katagalugan	RCTU - Southern Tagalog
<4>	Abril 1, 2014	April 1, 2014
<5>	Mariing kinukondena ng Revolutionary Council of Trade Unions – Southern Tagalog (RCTU-ST) ang iligal at di-makataong pag-aresto ng mga elemento ng Armed Forces of the Philippines sa mag-asawang Benito Tiamzon at Wilma Austria Tiamzon at 5 pang kasamahan nito.	the Revolutionary Council of Trade Unions - Southern Tagalog (RCTU-ST) strongly condemns the illegal and inhumane arrest by the elements of the Armed Forces of the Philippines of the couple Benito Tiamzon and Wilma Austria Tiamzon and their 5 companions.
<6>	Ito ay tahasang pambabalasubas sa Joint Agreement on Safety and Immunity Guarantee (JASIG) sa pagitan ng National Democratic Front of the Philippines (NDFP) at Government of the Philippines (GPH).	this is an explicit disregard of the Joint Agreement on Safety and Immunity Guarantee (JASIG) between the National Democratic Front of the Philippines (NDFP) and the Government of the Philippines (GPH).
<7>	Noong ika-22 ng Marso, ganap na 2:30 ng hapon, nang iligal at sapilitang hinuli ng pinagsanib na pwersa ng pulisya at militar ang mag-asawang Benito at Wilma Tiamzon at 5 pang kasamahan nila sa isang bayan sa Cebu.	on the 22nd of March at 2:30 in the afternoon, Benito and Wilma Tiamzon and 5 other companions were illegally and forcefully arrested by the combined forces of the police and military in a town in Cebu.
<8>	Ang mag-asawang Tiamzon ay nagsisilbing mga consultants ng NDFP sa usapang pangkapayapaan sa GPH.	the Tiamzon couple serves as consultants of the NDFP in the peace talks with GPH.
<9>	Nasa panahon sila ng pagsasagawa ng mga serye ng konsultasyon para sa usapang pangkapayapaan nang sila'y dakpin ng pinagsanib na pwersa pulisya at militar .	they were in the process of conducting a series of consultations for the peace talks when they were arrested by combined police and military forces.
<10>	Hawak ni Ka. Wilma Austria Tiamzon ang NDFP Document of Identification ND 978226 sa ilalim ng kanyang tunay na pangalan at ni Ka Benito Tiamzon ng NDFP Document of Identification ND 978227 sa pangalang Crising Banaag bilang mga katibayan na tinatamasa nila ang mga proteksyon sa ilalim ng JASIG.	Ka. Wilma Tiamzon holds the NDFP Document of Identification ND 978226 under her real name and Ka. Benito Tiamzon the NDFP Document of Identification ND 978227 with the name Crising Banaag as proof that they are protected under JASIG.
<11>	Sa pag-aresto sa mag-asawang Tiamzon at mga istap nila, inilalantad lamang ng rehimeng US-Aquino II ang tunay na mukha ng kanyang rehimen - ang kawalan ng interes nitong lutasin ang ugat ng armadong rebelyon sa bansa.	with the arrest of the Tiamzon couple along with their staff, the US-Aquino II regime reveals the true face of his regime - the lack of interest to resolve the root cause of the armed rebellion in the country.
<12>	Tutol ang rehimeng Aquino sa pagkakaroon ng tunay at matagalang kapayapaan sa bansa.	the Aquino regime is opposed to having a real and lasting peace in the country.
<13>	Ang tanging hangad nila ay Isaac ng rebolusyonaryong kilusan ang kanilang armas at magbalik loob sa gubyerno.	they only want the revolutionary movement to surrender their arms and return to the government.
<14>	Sa kabilang banda, patuloy ang paglala ng mga problemang kinakaharap ng mga manggagawa at sambayanan dahil sa mga dikta at panghihimasok ng dayuhan sa ating pamahalaan.	on the other hand, the problems faced by laborers and the people continue to worsen due to foreign dictatorship and interference in our government.
<15>	Kaliwa’t kanang mga batas at regulasyon ang ipinatutupad na lalong nagpadausdos sa bagsak na kalagayan ng mga manggagawa sa loob at labas ng pabrika, tulad na lamang ng kontraktwalisasyon, labor-only contracting, two-tiered wage system, union busting, at marami pang iba.	many laws and regulations being implemented only worsen the deplorable conditions affecting workers inside and outside the factory such as contractualization, labor-only contracting, two-tiered wage system, union busting, and many more.
<16>	Sa matagal na panahon napako na sa napakababang halaga ang sahod na natatanggap ng mga manggagawang Pilipino.	the wages of the Filipino workers have been pegged at a very low rate for the longest time.
<17>	Patuloy ang pag-iral ng kawalan ng sapat na benipisyo at masahol na kalagayan sa paggawa sa kalakhang mga pabrika at empresa sa bansa.	the existing insufficiency of benefits and worsening working conditions in most factories and enterprises in the country continues.
<18>	At sa kabila nito, patuloy at walang habas ang pagtataas ng singil sa mga pangunahing pangangailangan at serbisyo ng mamamayan.	and in spite of this, prices of basic needs and public services continue to increase.
