<1>	Dapat managot din ang militar ng US sa pagtatambak ng nakalalasong basura -- PKP	the military of the US should also be responsible for dumping toxic waste - PKP
<2>	Kawanihan sa Impormasyon	Bureau of Information
<3>	Partido Komunista ng Pilipinas	Communist Party of the Philippines
<4>	Nobyembre 13, 2012	November 13, 2012
<5>	Ipinahayag ng Partido Komunista ng Pilipinas na dapat ding managot ang militar ng US sa pagtatambak ng nakalalasong basura sa Subic Bay na kinulekta sa mga barkong pandigma ng US ng kontraktor nito sa depensa na Glenn Defense Marine Philippines noong Oktubre.	the Communist Party of the Philippines announced that the military of the US should also be responsible for dumping toxic waste in Subic Bay collected from the war ships of the US by its defense contractor Glenn Defense Marine Philippines back in October.
<6>	Nitong nakaraang linggo, sa imbestigasyong isinapubliko ng Subic Bay Metropolitan Authority (SBMA), lumalabas na nagtambak sa baybayin ng Subic Bay ang mga barkong pag-aari ng Glenn Defense Marine ng 189,500 litro ng di prinosesong dumi ng tao at 760 litro ng langis at grasa mula sa US Navy Ship Emory Land sa karagatan ng Subic Bay.	this past week, in the investigation publicized by the Subic Bay Metropolitan Authority (SBMA), it was revealed that in the coast of Subic Bay the ships owned by Glenn Defense Marine dumped 189,500 liters of unprocessed human waste and 760 liters of oil and grease from the US Navy ship Emory Land to the seas of Subic Bay.
<7>	Ipinapahayag din ng mga upisyal ng Glenn Defense Marine na itinatapon ang nakalalasong basura 37 kilometro ang layo mula sa baybayin ng Subic, nasa teritoryo pa rin ng Pilipinas.	the officials of Glenn Defense Marine also announced that the toxic waste is dumped 37 kilometers away from the coast of Subic, still in the territory of the Philippines.
<8>	Subalit may mga palatandaan na ang pagtatambak ay ginawa malapit lamang sa baybayin.	but there are signs that the dump was made just close to the shore.
<9>	Subsidyaryo ang Glenn Defense Marine Philippines ng Glenn Defense Asia, na nagseserbisyo sa US NAvy sa loob ng ilang dekada.	Glenn Defense Marine Philippines is a subsidiary of Glenn Defense Asia, which has serviced the US Navy for some decades.
<10>	May kaso ng pagtatambak ng nakalalasong basura pa rin itong kinakaharap sa Manila Bay noong 2011.	there is a case of dumping toxic waste in Manila Bay in 2011 that it is still facing.
<11>	"Ang palihim na pagtatambak ng nakalalasong basura sa Subic Bay ay isang sampal ng US Navy at mga pandepensang kontraktor sa soberanya ng Pilipinas," anang PKP.	"the secret dumping of toxic waste in Subic Bay is a slap of the US Navy and defense contractors to the sovereignty of the Philippines," said PKP.
