<1>	(0.000-8.523)	merong ano rito no huh -- mayroon tayong <hes> 'yung A_B_C huh .	there is what here no huh -- we have that A_B_C huh .
<2>	(8.523-12.654)	ngayon ko pa lang narinig itong A_B_C akala ko a ba kada o kung ano no .	I heard this A_B_C only now I though a b c d or something no .
<3>	(12.654-15.240)	ano ba itong A_B_C sa dengueng ito ?	what is this A_B_C in this dengue ?
<4>	(15.240-20.380)	bale po ito po 'yung theme natin ngayong year na ito <hes> theme po ng D_O_H no .	well this is our theme now this year this is the theme of D_O_H no .
<5>	(20.380-23.076)	<hes> ano po siya stop look and listen .	what that is stop look and listen .
<6>	(23.076-27.900)	a ba kada stands for Aksyon Baranggay Kontra Dengue Pagtibayin no .	a b c d stands for action community against dengue fortify no .
<7>	(27.900-36.380)	so ang ibig sabihin lang po nito stop po at four P_M no for four o'clock no kaya po 'yung sinasabi nating four o'clock habit .	so what this only means is stop sir at four P_M okay for four o'clock okay so okay what we are saying four o'clock habit .
<8>	(36.380-47.722)	and then look hanapin -- hanapin po 'yung mga breeding places 'yung sinabi nga po ni sir Jesser kanina hanapin po 'yung puwedeng pamugaran ng mga kiti-kiti no inside and outside your house po .	and then look find -- find those breeding places what sir Jesser said earlier to find those possible nests of mosquitoes no inside and outside your house .
<9>	(47.722-53.045)	and then <hes> listen or makinig po sa ating mga <hes> barangay no .	and then listen or listen to our community no .
<10>	(53.045-53.660)	<no-speech>	<no-speech>
<11>	(53.660-69.200)	usually po kami 'yung mga nagbibigay ng mga <hes> payo and then 'yung mga barangay captains natin sila po 'yung <hes> nanini- -- <hes> nagpapasimuno sa ating mga <hes> -- sa ating community so doon po tayo makinig sa kanila ng mga advice kasi alam po nila 'yung prevention on dengue .	usually we are the ones giving those advise and then our community captains they are those -- leading our -- in our community so there we listen to their advise because they know the prevention on dengue .
<12>	(69.200-72.734)	so 'yun po 'yung stop look and listen <hes> a ba kada ng D_O_H .	so that is stop look and listen a b c d of D_O_H .
<13>	(72.734-77.600)	naku oo huh alam na -- alam na ninyo 'yah huh a ba kada huh .	geez yes huh already known -- you already know yes huh a b c d huh .
<14>	(77.600-84.710)	ngayon pagkatapos ng a ba ka daang ito no huh mayroon pa tayong -- you mentioned about the four o'clock habit .	now after this a b c road no huh we also have -- you mentioned about the four o'clock habit .
<15>	(84.710-88.930)	<hes> Jess ano ba itong four o'clock habit na ito ?	Jess what is this four o'clock habit here ?
<16>	(88.930-90.414)	(()) matagal na sa government ito eh .	(()) because it is long been in the government .
<17>	(90.414-93.092)	opo actually matagal nang panawagan ito .	yes actually this has been a long appeal .
<18>	(93.092-110.246)	oo <overlap> <hes> ibig po sabihin nito kapag dumating po ang alas-kuwatro ng hapon sama-sama po tayo na linisin -- maglinis ng ating bakuran tignan natin kung ano 'yung mga pinamumugaran ng mga kiti-kiti at ating alisin para sa hindi na makapamahay pa 'yung mga kiti-kiting ito dok .	yes this means when four o'clock in the afternoon arrives we will altogether clean -- clean our yard let us see what are those being nested by mosquitoes and let us remove for them not to house those mosquitoes doctor .
<19>	(110.246-112.765)	gano'n po 'yung ibig sabihin ng four o'clock habit .	that's what the four o'clock habit means .
<20>	(112.765-113.390)	okay .	okay .
