<1>	Maagang pamasko ng PhilHealth para sa mga batang may leukemiaBy Dr. Ish Pargas	early Christmas gift of PhilHealth for children with leukemia by Doctor Ish Pargas
<2>	December 22, 2016	December 22, 2016
<3>	Tatlong araw na lamang at Pasko na, kung saan ipagdiriwang ng lahat ng Kristiyano ang kaarawan ng ating Panginoong Hesus — ang Messiah at Tagapagligtas.	it is three days before Christmas, when all Christians celebrate the birthday of our Lord Jesus - the Messiah and Savior.
<4>	Tuwing darating ang Pasko, siguradong abala ang lahat sa pag- iisip ng mga bibilhing aginaldo lalung-lalo na para sa mga bata.	every Christmas, everyone is surely busy in thinking of what gifts to buy especially for the children.
<5>	Hindi ko na nga mabilang ang aking mga inaanak — ­hindi lamang sa binyag, kumpil at maging sa kasal.	I can no longer count my godchildren - not only in baptism, but also in confirmation and even in weddings.
<6>	Aba! Mahaba pa pala ang listahan ng mga bibilhan ko ng regalo!	wow! the list of those I have to buy gifts for is even longer!
<7>	Ngunit mas higit na nakatataba ng puso na binigyan nila ako ng pagkaka­taong maging pangalawang magulang sa mga batang inaanak ko at maging bahagi ng kanilang pamilya.	but it is much more heartwarming that they gave me the chance to become the second parents of my godchildren and become part of their family.
<8>	Mga bata at regalo…	children and gifts...
<9>	tamang-tama ang tema sa aking kolum ngayong araw dahil kamakailan lamang ay naaprubahan ng PhilHealth ang pinalawak na benepisyo para sa standard risk acute lymphocytic leukemia (ALL) sa ilalim ng Z Benefit Packages nito.	the theme of my column today is ideal because just recently PhilHealth approved the expanded benefits for standard risk acute lymphocytic leukemia (ALL) under its Z Benefit Package.
<10>	Ang mga batang maysakit na ALL ay maaaring mag-avail hanggang P380,000.00 o hanggang P500,000.00 halaga ng benepisyo mula sa PhilHealth.	children sick with ALL may avail up to P380,000.00 or up to P500,000.00 worth of benefits from PhilHealth.
<11>	Ito ay upang masigu­rong naibibigay ang mga mandatory services na kasama sa ­pakete para sa tatlong taong gamutan.	this is to ensure that the mandatory services included in the packet for three years of treatment will be given.
<12>	Ang pasyenteng may ALL ay maaaring mapagaling kung kaya’t naniniwala ang PhilHealth na sa pagpapalawak ng ­benepisyo, mas mabibigyan ng mataas na pag- asa at magandang kinabukasan ang mga batang may sakit nito.	a patient with ALL can recover so PhilHealth believes that with expanded benefits, children with this disease can be given more hope and a better future.
<13>	Ayon nga kay PhilHealth Acting President and CEO na si Ramon F. Aristoza Jr., “Ang unang hakbang upang mabago ang ­buhay ng ilang libong bata ay sa pamamagitan ng pagtataas ng ­benepisyo para sa Z Package para sa ALL”.	according to PhilHealth acting president and CEO Ramon F. Aristoza Junior, "the first step to change the lives of a few thousand children is through increasing benefits for the Z Package for ALL".
<14>	Ang mga batang may sakit na ALL ay maaaring maka-avail ng P380,000.00 kung sila ay magpapagamot sa Department of Health (DOH) retained hospital kung saan ang mga gagamiting chemotherapeutic drugs ng pasyente ay sasagutin ng DOH.	children sick with ALL may avail P380,000.00 if they will be treated in a Department of Health (DOH) retained hospital where the chemotherapeutic drugs to be used by the patient will be covered by the DOH.
<15>	Aabot naman sa P500,000.00 ang benepisyong matatanggap ng pasyente kung sa ibang contracted health care institutions magpapagamot subalit ang pasyente ang kailangang bumili ng kanyang chemotherapy drugs.	if the patient will be treated in other contracted health care institutions he can receive benefits up to P500,000.00 but the patient himself needs to buy his chemotherapy drugs.
<16>	Nais ko lamang ipaalala na upang maka- avail ng pinalawak na benepisyo para sa ALL, kinakaila­ngang makapasa sa selections criteria ang pasyente at makapag-sumite ng Member Empowerment (ME) Form kung saan nakasaad ang mga clinical information, member education, schedule ng follow-up ng gamutan, tungkulin at karapatan ng miyembro sa paraan ng gamutan.	I just want to remind that to avail the expanded benefits for ALL, the patient needs to pass the selections criteria and submit a Member Empowerment (ME) Form which states the clinical information, member education, schedule of follow-up of treatment, responsibilities and rights of the member during treatment.
<17>	Sa kasalukuyan ay inihahanda na ang polisiya para sa pagpapalawak ng benepisyong ito at inaasahang mailulunsad sa mga unang buwan ng susunod na taon.	at present the policy to expand this benefit is being prepared and is expected to be launched in the first months of next year.
<18>	At habang inihahanda pa ang polisiya para sa pinalawak na benepisyo, ang sagot ng PhilHealth sa ALL sa ilalim ng Z Bene­fit ay nagkakahalaga ng P210,000.00 na maaaring ma-avail sa siyam na PhilHealth contracted hospital kung saan maaaring ma-avail ang ALL Package.	and while the policy to expand the benefits is being prepared, PhilHealth's answer to ALL under the Z Benefit is worth P210,000.00 that can be availed in nine PhilHealth contracted hospitals where the ALL package can be availed.
