<1>	Hindi Magagapi ang Diwang Rebolusyonaryo ng Mamamayan ng Sorsogon!	the revolutionary spirit of the citizens of Sorsogon will never be defeated!
<2>	Samuel GuerreroNPA Sorsogon Provincial Operations Command (Celso Minguez Command)	Samuel Guerrero NPA Sorsogon Provincial Operations Command (Celso Minguez Command)
<3>	July 06, 2013	July 06, 2013
<4>	Pinabubulaanan ng Celso Minguez Command-Bagong Hukbong Bayan-Sorsogon ang kasinungalingan ni Col. Joselito Caquilala ng 903rd Infantry Brigade Philippine Army na ang naganap umanong labanan sa pagitan ng mga tropa ng AFP at mga pulang mandirigma nitong Hulyo 6 sa Brgy Macawayan, Irosin ay aksyong paghihiganti ng NPA dahil sa pagkakamartir ni Ka Greg Bañares at ng pitong iba pang kasama sa Brgy Calmayon, Juban noong Hulyo 4.	the Celso Minguez Command - New People's Army - Sorsogon is denying the lies of Colonel Joselito Caquilala of the 903rd Infantry Brigade Philippine Army that the alleged firefight that happened between the troops of the AFP and the red warriors this July 6 in Barangay Macawayan, Irosin was an act of vengeance of the NPA because of the martyrdom of Ka Greg Bañares and seven other fellows in Barangay Calmayon, Juban last July 4.
<5>	Ang nangyaring labanan pasado alas-6 ng umaga ng Hulyo 6, 2013 sa Sitio Madagusong, Brgy. Macawayan, Irosin ay isang mahusay na halimbawa ng aktibong depensa ng mga pulang mandirigma ng Celso Minguez Command.	the firefight happened past 6 in the morning of July 6, 2013 in Sitio Madagusong, Brgy. Macawayan, Irosin is a skillful example of active defense of the red warriors of the Celso Minguez Command.
<6>	Tinangkang kubkubin ng mga sundalo ng 31st Infantry Battalion ang isang platun ng CMC na nakikipamuhay sa hanay ng mga magsasaka sa bayan ng Irosin.	the soldiers of the 31st Infantry Battalion tried to conquer a platoon of CMC who is living with the ranks of farmers in the town of Irosin.
<7>	Mahusay na nakapagtanggol ang mga pulang mandirigma at malubhang nakapinsala sa mga umaatakeng sundalo.	the red warriors were able to defend skillfully and severely damaged the soldiers who attacked.
<8>	Kinumpirma mismo ng mga taumbaryo na namatay ang isang Sgt. Canuel ng 31st IB at pitong (7) iba pang sundalo nang sila ay pasabugan ng command-detonated na explosibo at paputukan ng mga kasama.	the villagers themselves confirmed that a certain Sgt. Canuel of the 31st IB and seven (7) other soldiers were killed when they were exploded with a command-detonated explosive and fired by our colleagues.
<9>	Mayroong iba pang sugatan sa tropa ng mga sundalo.	there are others in the soldier troops who are injured.
<10>	Inilihim ni Col. Caquilala ang bilang ng kanilang mga casualty upang pagtakpan ang kanilang kabiguan.	Col. Caquilala secretly hid the number of their casualties to cover their failure.
<11>	Isang pulang mandirigma ang magiting na nagbuwis ng kanyang buhay sa naturang labanan.	one red warrior valiantly gave up his life to the said fight.
