<1>	Pacquiao tutulong sa pag-bid sa World Cup	Pacquiao will help bid for the World Cup
<2>	Russell Cadayona (Pilipino Star Ngayon) - August 5, 2015 - 10:00am	Russell Cadayona (Pilipino Star Ngayon) - August 5, 2015 - 10:00am
<3>	MANILA, Philippines – Maliban sa boxing ay malapit din sa puso ni F­ilipino world eight-division champion Manny Pacquiao ang basketball.	Manila, Philippines - aside from boxing basketball is also close to the heart of Filipino world eight-division champion Manny Pacquiao.
<4>	Kaya naman nang imbi­tahan siya ni Samahang Bas­ketbol ng Pilipinas pre­si­dent Manuel V. Pangilinan na sumama sa Philippine de­legation para sa bid presentation sa harap ng FIBA Central Board sa Agosto 7 sa Tokyo, Japan ay hindi si­­ya nagdalawang-isip.	which is why when he was invited by Leage of Philippin Basketball President Manuel V. Pangilinan to join the Philippine delegation for the bid presentation in front of the FIBA Central Board on August 7 in Tokyo, Japan he did not think twice.
<5>	“I am here to support our country’s bid.	"I am here to support our country's bid.
<6>	You know, basketball is the most popular sport in our country,” sabi ni Pacquiao sa panayam ng Philboxing.com.	you know, basketball is the most popular sport in our country," Pacquiao said in an interview of Philboxing.com.
<7>	“Halos bawat sulok ng ka­hit liblib na barangay ay may­roong basketball court.	"almost every corner of even a remote barangay has a basketball court.
<8>	Ga­nun kalapit sa puso ng mga Pilipino ang larong bas­ketball.	that is how close the game of basketball is to the heart of Filipinos.
<9>	Kaya sana tayo ang manalong host.”	so hopefully we win as host."
<10>	Kalaban ng Pilipinas sa pagbi-bid sa hosting rights ng 2019 FIBA World Cup ay ang China.	the Philippines is competing with China in bidding for the hosting rights of the 2019 FIBA World Cup.
<11>	Magpapakita ang dalawang bidding countries ng 20-minute audio-visual presentation sa harap ng FIBA Central Board sa Prince Park Tower Hotel at iimbita­han ang mga opisyales ng dalawang delegasyon para sa question-and-answer, closed door session.	the two bidding countries will present a 20-minute audio-visual presentation in front of the FIBA Central Board at Prince Park Tower Hotel and officials of the two delegations will be invited for a question and answer closed door session.
<12>	Matapos ito ay ihaha­yag ng FIBA Central Board ang nanalo sa bidding.	after this the FIBA Central Board will announce the winner of the bidding.
<13>	Bagama’t mas angat ang China sa pagkakaroon ng mga modernong pasilidad ay naniniwala naman si Pacquiao na malalaman ng FIBA Central Board ang pagmamahal ng mga Pi­noy sa basketball.	despite China's advantage in having modern facilities Pacquiao believes that the FIBA Central Board will discover the love of basketball of Filipinos.
<14>	“Palagay ko hindi lang na­man ang infrastructure o ve­nue and titingnan at iko­kon­sidera ng FIBA Central Board kundi ang pangkala­hatang kakayahan ng isang host.	"I think the FIBA Central Board does not look and consider only the infrastructure or venue but also the overall capability of a host.
<15>	Mas pas­sionate ang mga Pinoy pagdating sa larong bas­ketball,” ani Pacquiao, ang playing coach ng Kia sa Philippine Basketball Association.	Filipinos are more passionate when it comes to the game basketball," said Pacquiao, the playing coach of Kia in the Philippine Basketball Association.
<16>	Maghahanda ang China ang walong basketball sta­­­diums sa hangaring ma­­kuha ang pamamahala sa 2019 FIBA World Cup na hu­ling idinaos sa Spain no­ong nakaarang taon.	China will prepare eight basketball stadiums with the aim to get the rights to the 2019 FIBA World Cup which was last held in Spain last year.
<17>	Sa FIBA World Cup no­ong 2014 ay ku­mampan­ya ang Gilas Pi­lipinas ni coach Chot Reyes na bi­nan­­­derahan ni natura­lized player Andray Blatche.	in the FIBA World Cup in 2014 Coach Chot Reyes' Gilas Pilipinas headed by naturalized player Andray Blatche campaigned.
<18>	Idinaos ang World Cup sa bansa noong 1978.	the World Cup was held in the country in 1978.
