<1>	Himig at Himagsik	music and revolution
<2>	ni Sheila Abarra	by Sheila Abarra
<3>	Tila naging maaga ang UP Fair.	it is like the UP fair took place early.
<4>	Oktubre, sa halip na Pebrero.	October, instead of February.
<5>	May buhay ang bawat gabi at nagmumula ang kapangyarihan hindi lamang sa musika at sayaw, kundi lalo sa mga mag-aaral at propesor na napahanga at naantig sa giting ng mga bisitang Lumad na naglakbay mula pa sa Mindanao.	each night is alive and the energy comes not just from music and dance, but especially from the students and professors who admired and were moved by the courage of the Lumad visitors who journeyed all the way from Mindanao.
<6>	Ito ang Kampuhan sa Diliman, isang solidarity camp na ginanap mula ika-26 ng Oktubre hanggang ika-2 ng Nobyembre noong nakaraang taon sa College of Human Kinetics grounds.	this is Camping in Diliman, a solidarity camp held from the 26th of October up to the 2nd of November last year at the College of Human Kinetics grounds.
<7>	Binuhay nito sa ating kamalayan ang tunay na diwa ng UP Fair: bukas sa lahat, masaya, malikhain, at makabuluhan.	it raised our awareness of the true meaning of the UP Fair: open to all, fun, creative, and meaningful.
<8>	Natapos man ang Kampuhan, malaki ang naging tagumpay nito—mula sa ambag sa panawagang wakasan ang karahasan ng militar sa mga komunidad ng Lumad hanggang sa pagtataas ng kamulatan ng mga estudyante at guro ng pamantasan.	after the Kampuhan, it was a huge success-from the additional call to end the military violence in Lumad communities up to the increased awareness of the students and teachers in the university.
<9>	Matagal-tagal na rin mula nang huling makapaglunsad ang UP ng ganitong klase ng selebrasyon ng sining at pagkakaisa.	it has been quite some time since UP last launched this kind of celebration of art and solidarity.
<10>	Ipinaalala ng Kampuhan ang kasaysayan at potensyal ng malikhain at subersibong musika at himagsik ng UP Fair.	the Kampuhan reminded of the history and potential of creative and subversive music and revolution of the UP Fair.
<11>	Interlude	interlude
<12>	Unang idinaos ang UP Fair noong dekada ’80 bilang isa sa maraming porma ng protesta ng mga estudyante ng UP laban sa pasismo ng Martial Law sa ilalim ng diktaduryang Marcos.	the UP Fair was first held in the 80s as one of the many forms of protest of UP students against the fascism of Martial Law under the Marcos dictatorship.
<13>	Isa itong tipikal na serye ng kultural na pagtatanghal—bukas sa lahat ng nais makiisa sa subersibo nitong mensahe at mag-ambag sa pagpapalaganap nito sa malikhaing paraan.	it is a typical series of cultural performances - open to everyone who wants to join in its subversive message and contribute to spreading it in a creative way.
<14>	Taong 1984 ang isa sa pinakaunang UP Fair na ginawa para makalikom ng pondo para sa mga biktima ng paglabag sa karapatang pantao sa ilalim ni Marcos.	it was year 1984 when one of the first UP Fairs was held to raise funds for the victims of human rights violations under Marcos.
<15>	Nagpatuloy ang ganitong tema taun-taon hanggang sa maging institusyon ito, isang taunang tradisyon na tinangkilik ng mga kabataan sa loob at labas ng pamantasan.	this theme continued every year until it became an institution, an annual tradition supported by youth inside and outside the university.
<16>	Sa katunayan, marami sa mga sikat na banda ngayon sa bansa ay bahagi ng UP Fair bago pa man ang kanilang katanyagan: Eraserheads, Asin, The Jerks, The Dawn, Juan de la Cruz band, The Wuds, Buklod, Sinaglahi, at marami pang mga makabayang musikero at bandang hindi lamang mahusay sa kanilang sining ngunit palaban din sa kanilang suri sa lipunan.	actually, many of the popular bands in the country today were part of the UP Fair even before their fame: Eraserheads, Asin, The Jerks, The Dawn, Juan de la Cruz band, The Wuds, Buklod, Sinaglahi, and many other patriotic musicians and bands not only talented in their art but also rebels in their view of society.
