<1>	Nilabag muli ng AFP ang SOMO sa opensiba sa BHB sa NCotabato	the AFP violated again the SOMO in an offensive against the BHB in NCotabato
<2>	Kawanihan sa Impormasyon	Department of Information
<3>	Partido Komunista ng Pilipinas	Communist Party of the Philippines
<4>	Enero 12, 2013	January 12, 2013
<5>	Translation: AFP breaks SOMO anew in NCotabato offensive vs NPA	translation: AFP breaks SOMO anew in NCotabato offensive versus NPA
<6>	Binatikos ng Partido Komunista ng Pilipinas (PKP) ang rehimeng Aquino at ang Armed Forces of the Philippines nito sa paglabag sa pansamantalang sabayang tigil-putukan sa pamamagitan ng paglulunsad ng opensibang militar kahapon laban sa Bagong Hukbong Bayan (BHB) sa Barangay Malire, Antipas, North Cotabato.	the Communist Party of the Philippines (CPP) criticized the Aquino regime and the Armed Forces of the Philippines in its violation to the temporary unilateral ceasefire through the launch of a military offensive yesterday against the New People's Army (NPA) in Barangay Malire, Antipas, North Cotabato.
<7>	Ipinakikita ng mga inisyal na ulat na sinimulan ng mga elemento ng mga Special Forces ng Philippine Army at tropa ng 602nd Brigade ang operasyong kombat pagkatapos mabalitaan ang presensya ng yunit ng BHB sa lugar, anang PKP.	the initial reports show that the elements of the Special Forces of the Philippine Army and the troops of the 602nd Brigade started the combat operation after hearing the news of the presence of the BHB in the place, the PKP said.
<8>	Nagresulta ang opensiba ng AFP sa armadong engkwentro sa lokal na yunit ng BHB.	the offensive of the AFP resulted to an armed encounter with the local units of the BHB.
<9>	"Isang panibagong akto ng pagbalewala sa pansamantalang sabayang kasunduan sa tigil-putukan sa pagitan ng Gubyerno ng Republika ng Pilipinas (GPH) at ng National Democratic Front of the Philippines (NDFP) ang opensibang operasyon ng AFP, pagdidiin ng PKP."	"the offensive operation of the AFP is another new act of disregarding the temporary unilateral agreement on ceasefire between the Government of the Republic of the Philippines (GPH) and the National Democratic Front of the Philippines (NDFP)," asserted by the PKP.
<10>	Pinagkaisahan ang sabayang kasunduan sa tigil-putukan sa isang pulong ng mga espesyal na kinatawan ng rehimeng Aquino at NDFP noong Disyembre 17-18 sa The Netherlands.	the unilateral agreement on ceasefire is accorded in the meeting of the special representatives of the Aquino regime and NDFP last December 17-18 in The Netherlands.
<11>	Sinaksihan ang kasunduan ni Ambassador Ture Lundh ng Royal Norwegian Government, nagsilbing ikatlong partidong namamagitan sa usapang pangkayapaan ng NDFP-GPH.	the agreement was witnessed by Ambassador Ture Lundh of the Royal Norwegian Government, served as the third party referee in the peace talks of the NDFP-GPH.
<12>	Sumasaklaw ang sabayang tigil-putukan mula Disyembre 20, 2012 hanggang Enero 15, 2013.	the unilateral ceasefire is encompassing from December 20, 2012 until January 15, 2013.
<13>	"Sa nakaraang tatlong linggo simula Disyembre 20, naglunsad ang rehimeng Aquino ng malawakang opensiba at pagdedeploy ng tropa na nagpapawalangsaysay sa sabayang kasunduan sa tigil-putukan at ginagawa itong isang walang kwentang piraso ng papel," anang PKP.	"in the previous three weeks since December 20, the Aquino regime launched an expansive offense and deployment of troops which is making the joint agreement on ceasefire meaningless and making it a worthless piece of paper," PKP said.
