<1>	Measles Rubella, tampok sa oryentasyon para sa mga gurong pampubliko	measles rubella, highlighted in the orientation for public school teachers
<2>	September 08, 2016 Mark Lacsamana-Ibaan LGU IBAAN, BATANGAS, Agosto 31 (PIA) –Itinampok ang paksang Measles Rubella sa isinagawang oryentasyon kamakailan na itinaguyod sa pagtutulungan ng pamahalaang lokal at Department of Health (DOH).	September 08, 2016 Mark Lacsamana-Ibaan LGU Ibaan, Batangas, August 31 (PIA) - the topic on measles rubella is highlighted in the orientation conducted recently which is supported in the cooperation of the local government and Department of Health (DOH).
<3>	May 72 katao ang dumalo sa gawain na kinabibilangan ng mga grade 1 teacher advisers sa pampublikong paaralan, clinic teachers, Parents-Teachers Association presidents, at mga kawani mula sa Municipal Health Office (MHO).	around 72 people joined in the activity involving the grade 1 teacher advisers in public schools, clinic teachers, Parents-Teachers Association presidents, and the staff from the Municipal Health Office (MHO).
<4>	Tinalakay ni Gng. Myreen Valenzuela, kinatawan mula sa Provincial Health Office ang Measles Rubella o tigdas hangin na isang uri ng karamdaman na dulot ng virus na kumakalat sa pamamagitan ng hangin.	Mrs. Myreen Valenzuela, representative from the Provincial Health Offices, discussed the measles rubella or measles which is a kind of illness caused by a virus spreading through the air.
<5>	Ilan sa mga pangunahing sintomas nito ay lagnat, ubo, sipon, pamamantal ng balat at pagmumuta ng mata.	one of the primary symptoms of this are fever, cough, colds, rashes on the skin and paleness of the eyes.
<6>	Ayon kay Gng. Valenzuela, karaniwan sa nagkakaroon ng arthritis dahil sa Rubella at karamihang nakakaranas nito ay mga kababaihan.	according to Mrs. Valenzuela, usually an arthritis is acquired because of rubella and most of those who experienced this are women.
<7>	Kapag ang isang babae ay nagkaroon ng Rubella habang nagdadalantao, maaaring siya ay makunan, o kaya ay maaaring magluwal ng sanggol na may mga depektong malulubha.	if a woman had a rubella while pregnant, she could have a miscarriage, or could give birth to an infant with severe defects.
<8>	“Napakahalaga ng pagpapabakuna para sa kalusugan ng mga bata kung kaya’t dapat itong biglang prayoridad ng mga magulang, wika ni Dra. Ana Maria Nonifera, regional Health Officer III mula sa DOH.	"vaccination is very important for the health of the children, therefore, it should be an immediate priority of the parents," said by Dra. Ana Maria Nonifera, Regional Health Officer III from DOH.
<9>	Idinagdag pa ni Dr. Nonifera na ang bakuna ay nagbibigay ng proteksyon laban sa iba’t-ibang uri na mapanganib na mga sakit kung kaya, ito ay hindi dapat balewalain lalo na sa mga bata.	Dr. Nonifera also added that vaccination is giving protection against various types of dangerous illnesses, therefore, this should not be disregarded especially in children.
<10>	“Kapag may sakit ang isang tao, hindi ito maaaring bakunahan sapagkat posibleng pagmulan ito ng kumplikasyon sa katawan,” pagtatapos ni Dr. Nonifera.	"if a person has an illness, he should not be vaccinated because it might be the cause of a complication in the body," concluded by Dr. Nonifera.
<11>	Kaugnay nito, nagtakda ng pagbibigay ng libreng bakuna para sa Measles Rubella sa mga Grade 1 at Grade 7 na mag-aaral sa mga pampublikong paaralan sa bayan ng Ibaan mula Set. 1 hanggang Set. 7 (BHABY P. DE CASTRO-PIA BATANGAS with reports from Mark Lacsama-Ibaan LGU)	in relation to this, a schedule is set for the distribution of free vaccination for measles rubella to Grade 1 and Grade 7 pupils in public schools in the municipalities of Ibaan from September 1 until September 7. (Bhaby P. De Castro-PIA Batangas with reports from Mark Lacsamana-Ibaan LGU)
