<1>	Bakit dapat managot ang mismong administrasyong Aquino sa masaker sa Silverio Compound	why does Aquino administration be held responsible for the massacre in Silverio Compound?
<2>	by Kenneth Roland A. Guda	by Kenneth Roland A. Guda
<3>	April 24, 2012	April 24, 2012
<4>	Video grab, mula sa Balitanghali ng News-TV 11, ng isang miyembro ng SWAT Team na nagpapaputok sa mga sibilyang tumututol sa demolisyon sa Silverio Compound.	video grab, from Balitanghali of News-TV 11, of one member of SWAT Team that shot the civilians who were against the demolition of Silverio Compound.
<5>	(video grab ni Vencer Crisostomo)	(video grab of Vencer Crisostomo)
<6>	Isa, ang napatay sa pamamaril ng mga elemento ng Southern Police District (sa ilalim ni Senior Supt. Billy Beltran) sa mga mamamayan ng Silverio Compound sa Sucat, Paranaque City kahapon, Abril 23.	one, killed in the gun attack of elements of Southern Police District (under Senior Superintendent Billy Beltran) in the people of Silverio Compound in Sucat, Paranaque city yesterday, April 23.
<7>	Pero marami ang sugatang may tama ng bala, ang iba sa kanila nasa peligro pa ang buhay nang sinusulat ito.	but there were a lot of wounded, hit by gunshots, some of them are still in danger as this is being written.
<8>	Nakakagulat at nakakagalit ito.	this is shocking and infuriating.
<9>	Pero hindi na tayo dapat magtaka.	but we shouldn't be surprised.
<10>	Walang maaaring magbigay-katwiran sa pamamaril sa mga residenteng bato (kahit pa sabihin na nating bote na rin) lamang ang armas para ipagtanggol ang kanilang mga bahay.	no one can give justification to the attack to residents who only have rocks (let's say we add bottles) as weapons to defend themselves in their home.
<11>	Lalupa’t may negosasyon na nagaganap nang sumiklab ang pamamaril.	especially that there was a negotiation that was happening when the gunshots flared up.
<12>	Lalupa’t may matibay na katwiran ang mga mamamayan: May karapatan silang manatili sa kanilang mga tahanan.	especially that the people have a reasonable justification: they have a right to stay in their homes.
<13>	Walang meyor o korporasyon na tatanggal sa kanilang karapatang mamuhay nang mapayapa sa bayang ito.	no mayor or corporation can remove their right to live peacefully in their town.
<14>	Nagpunta ang mga lider-militante sa lugar ng masaker, ilang oras matapos maganap ang mga pamamaril.	the militant leaders went to the place of massacre, couple of hours after the attack happened.
<15>	Basyo ng mga bala ng ripleng M16 ang kanilang nakuha.	they got empty bullets of rifle M16.
<16>	Naalala natin ang kuwento ng mga residente ng Brgy.	we remembered the story of the residents of the barangay.
<17>	Corazon de Jesus sa San Juan, ang komunidad na ginamitan din ng matinding pandarahas para mademolis ang kabahayan: “Papaano kami makakabili ng baril kung pagkain nga, hirap na kaming makabili.”	Corazon de Jesus in San Juan, the community used with extreme cruelty to demolish the houses: "how can we buy guns when we can hardly buy rice."
<18>	Simpleng internet research ang isinagawa namin: Magkano ba ang M16 sa Pilipinas?	we did a simple internet research: how much is an M16 in the Philippines?
<19>	Sa isang online na bentahan, magmula P58,000 hanggang daan-daanlibo (depende sa bersiyon ng baril) madaling mabibili ito.	in an online shop, ranging from P58,000 to hundreds of thousands (depends on the version of gun), it will be easily bought.
<20>	Sabihin na nating maaaring nag-surf sa Internet ang isang maralitang residente ng Silverio at nakita niya ang mga nagbebenta ng M16.	let's say a poor resident of Silverio surfs the internet, and sees those who sell M16.
<21>	Maaaring nangutang siya sa mga kamag-anak, nagsangla ng telebisyon, appliances, alahas, para makabuo ng mga P60,000.	he'll probably loan from his relatives, pawn a television, appliances, jewelry, to produce P60,000.
<22>	Saka siya bumili.	and then he'll buy.
<23>	Kailangan pa itong iparehistro kaya may dagdag gastos pa.	he still needs to have it registered, hence, an additional cost.
<24>	Posible kaya?	is that possible?
<25>	Mayroon kayang residente ng Silverio na nakabili o nakakuha ng M16 bilang paghahanda sa magaganap na demolisyon sa kanilang bahay?	do you think there's a resident of Silverio who bought or acquired an M16 as preparation for the upcoming demolition of their house?
<26>	Alam na natin ang sagot.	we already know the answer.
<27>	Sino nga lang ang maaaring magkaroon ng M16?	who can afford to have an M16?
<28>	Puwedeng mga rebelde, sagot ng mga pulis at ni Meyor Jun Bernabe.	possibly rebels, the police and Mayor Jun Bernabe answered.
<29>	“Infiltrated” daw ang hanay ng mga residente.	the line of residents are believed to be "infiltrated".
<30>	Pero babad ang midya noong araw na iyon para ikober ang demolisyon: Wala silang kuha man lang ng kahit isang infiltrator na naka-M16 o may dalang baril.	the media were there to cover the demolition: they didn't have any records of even just one infiltrator who had an M16 or had a gun.
<31>	Sasabihin ng mga pulis na maaaring nakatago sa mga bahay–sniper ba.	the police will say that it's possibly hidden in the houses- just like snipers.
<32>	Pero sa sintido tinamaan si Arnel Tolentino, 21 anyos.	but Arnel Tolentino, 21 year-old, was hit at the the temple.
<33>	Ganoon kagaling ang mga rebelde?	rebels are that good?
<34>	Ang nakuhanan ng midya: Mga miyembro ng Special Weapons and Tactics (SWAT) na yunit ng Philippine National Police na namamaril matapos ang pamamato ng mga residente.	what the media caught: members of Special Weapons and Tactics (SWAT), unit of Philippine National Police shooting after the residents threw rocks.
