<1>	(0.000-4.750)	<sta> patuloy pa rin ang bakbakan sa ilang lugar dito sa Zamboanga City .	conflict continues in some parts here at Zamboanga city .
<2>	(4.750-14.390)	<sta> kanina isang opisyal ang napatay ng sniper ng M_N_L_F <sta> habang nagsasagawa ng clearing operations sa dating kuta ng mga rebelde .	earlier one official was killed by a sniper of M_N_L_F while conducting a clearing operations in an old garrison of the rebels .
<3>	(14.390-18.453)	<sta> live mula pa rin dito sa Zamboanga si Chino Gaston may report .	still live from Zamboanga is Chino Gaston with report .
<4>	(18.453-19.590)	<int> Chino ?	Chino ?
<5>	(19.590-21.310)	<no-speech>	<no-speech>
<6>	(21.310-43.280)	Jessica sa pagpasok nga ng ikalabing-isang araw ng kaguluhan dito sa Zamboanga City pansin ang napakalaking epekto ng <hes> sigalot dito sa lungsod mula sa araw-araw na naririnig na mga putukan maging sa araw-araw ding sunog na nangyayari diyan sa mga lugar kung saan pinaniniwalaang nagkukuta pa rin ang grupo ng M_N_L_F dito sa Zamboanga City .	Jessica in entering the eleventh day of conflict here at Zamboanga city it is observed the very huge effect of the fighting here at the city from hearing gunshots daily even also the daily fires happening there at areas where it is believed that the group M_N_L_F are garrisoned here at Zamboanga city .
<7>	(43.280-47.493)	<no-speech>	<no-speech>
<8>	(47.493-51.450)	<sta> araw-araw halos walang palya ang putukan at mga sunog sa Zamboanga City .	almost everyday there is non stop gunshots and fire at Zamboanga city .
<9>	(51.450-54.059)	<no-speech>	<no-speech>
<10>	(54.059-58.240)	<sta> kaya ang dating masiglang komunidad ganito na ang itsura ngayon .	which is why the previously lively community looks like this now .
<11>	(58.240-63.570)	<sta> sa pag-ikot ng Philippine Air Force mula sa himpapawid kulay abo ang ilang bahagi ng siyudad .	in a rotation by the Philippine air force from air some parts of the city are gray colored .
<12>	(63.570-71.790)	<sta> nangingitim ang mga bubong at pader ng mga bahay tanda ng mga sunog na pinaniniwalaang nilikha ng paksyon ng M_N_L_F .	darkened roofs and walls of homes signs of the fires believed to be made by faction of M_N_L_F .
<13>	(71.790-75.703)	kaninang umaga muling binulabog ng putukan ang Santa Catalina at Santa Barbara .	earlier this morning Santa Catalina and Santa Barbara was disrupted by gunshots .
<14>	(75.703-78.520)	<sta> (()) .	(()) .
<15>	(78.520-82.572)	mayro'n ding sumiklab na mga sunog sa Santa Barbara at Rio Hondo .	there was also an eruption of fires at Santa Barbara and Rio Hondo .
<16>	(82.572-84.660)	<no-speech>	<no-speech>
<17>	(84.660-89.957)	maya't maya rin ang putukan at pagsabog sa (()) street kaya't hindi pa masabi kung ligtas na ang lugar .	there is constant gunfire and gunshot at (()) street which is why it cannot be said if the place is already safe .
<18>	(89.957-91.120)	<no-speech>	<no-speech>
<19>	(91.120-102.290)	bagamat napasakamay na ng militar ang K_G_K building doon na dating kuta ng mga rebelde kaninang umaga napatay si first lieutenant John Christopher Rama habang nagsasagawa ng clearing operations .	because the military was able to capture the K_C_K building there which was an old garrison of the rebels earlier this morning first lieutenant John Christopher Rama was killed while conducting the clearing operations .
<20>	(102.290-107.517)	siya ang kauna-unahang opisyal ng militar na nasawi sa kasalukuyang sagupaan sa Zamboanga City .	he is the very first military officer who was killed in the current battle in Zamboanga City .
