<1>	Sinungaling si Lt Gen Bautista sa pagsasabing nalalapit na umano ang kanilang tagumpay	Lieutenant General Bautista is a liar in saying their victory is supposedly close
<2>	Ka Maria Roja BanuaNational Democratic Front-BicolAbril 7, 2014Sadyang nililihis ni Armed Forces of the Philippines Chief of Staff Lt Gen Emmanuel Bautista ang isipan ng mamamayan sa pananatili ng batayan para sa pagsusulong ng armadong rebolusyon.	ComradeMaria Roja Banua National Democratic Front-Bicol April 7, 2014 Armed Forces of the Philippines chief of staff Lieutenant General Emmanuel Bautista is purposely sidetracking the mind of the people from maintaining a guideline in pushing for armed revolution.
<3>	Pero mulat ang mamamayan na ito ang kanilang pangunahing paraan upang humulagpos mula sa lahatang-panig at walang kasintinding krisis na itinataguyod ng isang sistemang labis na pahirap at mapang-api.	but people are aware that it is their primary way to break away from the all-out and unparalleled crisis set up by a system that is excessively oppressive and abusive.
<4>	Tanging sa armadong paglaban, sa pamamagitan ng New People’s Army, nagkakaroon ng pag-asa ang mamamayan na makamit ang tunay na kalayaan at ang kanilang mga karapatan sa lupa at kabuhayan.	only through armed struggle, through the New People's Army, do the people have hope to obtain true freedom and their rights on land and life.
<5>	Batid nilang nakasalalay sa kanilang armadong lakas ang pagtatayo at pagtatanggol ng isang tunay na demokratikong gubyerno.	they know that the establishment and defense of a true democratic government depends on their armed force.
<6>	Matapat na itinataguyod ng National Democratic Front-Bicol ang pagpapatuloy ng usapang pangkapayapaan upang hawanin ang daan tungo sa pagresolba sa mga ugat ng armadong tunggalian.	the National Democratic Front-Bicol sincerely supports the continuation of peace talks to clear the way for the resolution of the roots of armed conflict.
<7>	Ang kapayapaang inaasam ng mamamayan ay yaong nakabatay sa katarungan.	the peace desired by the people is one based on justice.
<8>	Kabaligtaran ito ng kapayapaan ng sementeryo na nais ipatanggap ni Bautista sa mamamayan.	it is opposite of the peace of the cemetery that Bautista wants the people to accept.
<9>	Kapayapaan para kay Bautista ang magkamal ng armas at kagamitang militar, sa tabing ng maanomalyang modernisasyon, upang paigtingin ang marahas na panunupil sa diskuntento ng mamamayan.	for Bautista peace is the hoarding of weapons and military equipment, on the veil of anomalous modernization, to intensify the violent suppression of the discontent of the people.
<10>	Kapayapaan para kay Bautista ang patuloy na pagpakat ng mga sundalo sa mga kanayunan upang maghasik ng terorismo sa masang magsasaka.	for Bautista peace is the ongoing stay of soldiers in barrios to sow terrorism on the farmer masses.
<11>	Katawa-tawa ang pag-aanunsyo ni Bautista ng umano'y papahinang pwersa ng New People's Army sa Bikol, at ang nalalapit umanong tagumpay ng AFP.	the announcement of Bautista on the supposedly weakening force of the New People's Army in Bicol, and the supposedly close victory of the AFP, is laughable.
<12>	Nag-uulyanin na ba ang nagyayabang na arkitekto ng Oplan Bayanihan?	is the proud architect of Oplan Bayanihan going senile?
<13>	Tila nakalimutan na ni Bautista na wala pang isang taon nang inamin niya sa kaniyang mga pinamumunuan na bigo ang AFP sa pagpapatupad ng unang yugto ng kanilang kontra-rebolusyonaryong kampanya na ipawalang-saysay ang rebolusyonaryong kilusan ng mamamayan.	it seems Bautista has forgotten that less than a year ago he admitted to his subordinates that the AFP has failed to execute the first chapter of their anti-revolutionary campaign to discount the revolutionary movement of the people.
<14>	Bigo ang Oplan Bayanihan sa Bikol na hindi man lamang kinayang ilunsad sa mahigit 10% ng kalupaan ng rehiyon.	Oplan Bayanihan has failed in Bicol and he could not even launch it in more than 10% of the land of the region.
<15>	Ang ipinagyayabang na tagumpay umano ng mga Peace and Development Team ay naglantad lamang sa kainutilan ng mga kontra-insurhensyang kampanyang nagpapalit-anyo sa bawat nagbabagong rehimen.	the supposed victory bragged about by the Peace and Development Team only reveals the foolishness of anti-insurgency campaigns that change form in every new regime.
<16>	Malinaw na halimbawa ang pagkawasak ng kaayusan at kapayapaan sa Bula, Camarines Sur na dumaan sa maraming Special Operations Team mula pa 1986 hanggang kasalukuyang bersyon na PDT.	the destruction of peace and order in Bula, Camarines Sur that went through many special operations teams since 1986 up to the current version of the PDT is a clear example.
<17>	Ang pananatili ng mga bayarang sundalo sa Bula ay nagresulta lamang sa terorismo at kawalan ng kapayapaan ang mamamayan sa lugar.	the continued stay of paid soldiers in Bula only resulted in terrorism and absence of peace for the citizens of the area.
<18>	Kinakanlong ng mga militar ang mga dating kasapi ng NPA na itinakwil na ng kilusan dahil sa masamang gawi at di-pagwawasto.	the military take in former members of the NPA who are disowned by the movement because of evil acts and non-discipline.
<19>	Inaalagaan sila upang makapagpanggap na NPA, gumawa ng mga krimen sa lugar at usigin ang mga mabuting mamamayan sa lugar bago ibintang sa kilusan.	they are taken care of to be able to pretend as NPA, commit crimes in the area and persecute the good citizens of the area before blaming the movement.
<20>	Walang-kahihiyang nagsisinungaling ang talunan na si Bautista sa kanyang sarili, sa kanyang mga tauhan, at sa mamamayan sa paghahabi ng guniguni ng tagumpay.	the failure Bautista shamelessly lied to himself, to his staff, and to the citizens in weaving the illusion of victory.
<21>	Ngunit sa kabilang banda, ipinapamalas lamang ni Bautista ang kanyang katapatan sa pang-saywar na sangkap ng Oplan Bayanihan – ang pag-ngangawa ng kasinungalingan sa gitna ng matutunog na tagumpay ng New People's Army sa maraming dako ng bansa.	but on the other hand, Bautista only displayed his loyalty to the PSYWAR ingredient of Oplan Bayanihan - crying out lies in the middle of the loud victory of the New People's Army in many parts of the country.
<22>	Ang totoo, bumisita si Bautista sa 9th Infantry Division dahil kinailangan niyang aluin ang kanyang mga tauhang bagsak ang morale dahil sa kabiguan ng mga ito na kabigin ang suporta ng mamamayan sa kanilang panig.	the truth is, Bautista visited the 9th infantry division because he needed to cheer up his people with low morale because of their failure to pull the people's support to their side.
<23>	Maging ang hudikatura at burukrasya, na inaasahan ng AFP na susuhay sa kabuktutan ng Oplan Bayanihan, ay hindi nagbigay-suporta laban sa rebolusyonaryong kilusan.	even the judiciary and bureaucracy, which the AFP expected to support the corruption of Oplan Bayanihan, did not give support against the revolutionary movement.
<24>	Kinailangan ring payapain ni Bautista ang pagkabalisa ng kanyang mga tropa sa 9th ID dahil sa malaganap na mga taktikal na opensiba ng hukbong bayan sa buong bansa sa kabila ng inaakala nilang tagumpay sa pagkakadakip ng ilang mga lider ng rebolusyon.	Bautista also needed to appease the worry of his troops in the 9th ID because of the widespread tactical offensive of the people's army in the whole country despite their assumed victory in capturing the leaders of the revolution.
