<1>	(0.000-3.400)	<sta> patok na patok ngayon ang milk tea bilang pamatid uhaw .	milk tea is very trending now to quench thirst .
<2>	(3.400-10.790)	<sta> hanggang Iloilo city umabot na rin ang craze na ito at walang nag-akala na ang pag-inom nito maaaring ikapahamak .	the craze has even reached Iloilo city and nobody knew that drinking this might be dangerous .
<3>	(10.790-16.533)	<sta> dalawampu't anim na customer ng isang restaurant ang nalason umano dahil sa pag-inom nila ng milk tea .	twenty-six customers in a restaurant were allegedly poisoned due to drinking milk tea .
<4>	(16.533-18.830)	<sta> isa sa mga customer patay .	one of the customers is dead .
<5>	(18.830-25.890)	<sta> matapos uminom ng milk tea nakaranas umano ang mga customer ng pananakit ng tiyan pagsusuka at pagdudumi .	after drinking milk tea the customers allegedly experienced stomach ache vomiting and diarrhea .
<6>	(25.890-29.875)	<sta> ayon sa city health office mga senyales ito ng food poisoning .	according to the city health office these are signs of food poisoning .
<7>	(29.875-47.200)	'yung diarrhea (()) <sta> ang o mga ang (()) denominator nila na (()) <sta> nanggaling umano ang dalawampu't anim na biktima sa iisang restaurant at parehong uminom ng milk tea .	diarrhea (()) is or are the (()) their denominator that (()) the twenty-six victims supposedly came from one restaurant and all drank milk tea .
<8>	(47.200-52.520)	<sta> kidney shut down due to severe dehydration naman ang ikinamatay ng isa sa mga biktima .	kidney shut down due to severe dehydration was the cause of death of one of the victims .
<9>	(52.520-82.995)	<sta> together with the Department of Health (()) sa establishment nagkuha kami ng sample <sta> and <hes> ineksamen <foreign> ng mga Department of Health (()) administration <sta> <foreign> <sta> Department of Health <foreign> laboratory <foreign> <sta> temporary disclosure <foreign> .	together with the Department of Health (()) in the establishment we took samples and examined <foreign> by the Department of Health (()) administration <foreign> Department of Health <foreign> laboratory <foreign> temporary disclosure <foreign> .
<10>	(82.995-86.500)	<sta> humingi naman ng tawad ang Dakasi restaurant sa mga biktima .	Dakasi restaurant apologized to the victims .
<11>	(86.500-93.300)	<sta> sa inilabas nilang statement sinabi nilang hindi pa naman siguradong dahil sa kanilang produkto nalason ang biktima .	in the statement they released they said it's still not sure if the victims were poisoned because of their product .
<12>	(93.300-100.940)	<sta> magbibigay na lamang daw sila ng iba pang- -- pahayag kapag lumabas na resulta sa imbestigasyon ng D_O_H at city health office .	they will just give other -- statements when the result of the investigation by the D_O_H and city health office is released .
<13>	(100.940-105.438)	<sta> sa ngayon patuloy na nagpapagaling sa hospital ang dalawampu't limang biktima .	at present the twenty-five victims are recovering in the hospital .
