<1>	Ang Mundo, Tao, at Diyos	the world, man, and God
<2>	Posted by penpowersong	posted by penpowersong
<3>	ANG MUNDO, TAO, AT DIYOS	the world, man, and God
<4>	Ni Apolinario Villalobos	by Apolinario Villalobos
<5>	Babala: Ang blog na ito ay para lamang sa mga naniniwalang may Diyos…	warning: this blog is only for those who believe that there is God.
<6>	Ang mga bagay sa ating paligid, pati na ang tao, at ang maayos na pamumuhay ng lahat ang patunay na may Diyos….	the things around us, even the people, and the well-being of everything is a proof that there is a God...
<7>	yan ang paniniwala ko na hindi pwedeng kontrahin ng iba.	this is my belief that cannot be countered by others.
<8>	Hindi naging “aksidente” o basta na lang nagkaroon ng mga bagay, may buhay man o wala sa kalawakang ginagawalan ng mundo, na ginagalawan naman ng tao.	it was not an "accident" or that things just appeared out of the blue, whether alive or not in the universe that the world overrides, in which man lives.
<9>	Hindi aksidente ang pagkaroon ng kabuluhan ang lahat ng bagay na umangkop sa pangangailangan ng mga hayop, halaman, at taong nagkaroon ng mga ito.	it is not an accident that everything had a purpose that suited the needs of animals, plants, and humans who had them.
<10>	Halimbawa sa tao: ang buhok sa ulo ay pangharang sa init ng araw; ang kilay ay pangharang sa tutulong pawis upang hindi dumiretso sa mata; ang ilong ay para sa paghinga at ang mga balahibo sa loob nito ay pangharang sa dumi upang hindi pumasok habang humihinga ang tao; ang labi ay pangtakip ng bunganga upang hindi pasukin ng langaw o lamok at iba pang kulisap; ang ngipin ay pang-nguya ng kakainin; ang palaypay ng tenga ay pang-ipon ng tunog upang dumiretso sa butas, kaya para itong “bulsa”; ang mga kamay ay panghawak at panuntok, samantalang ang mga paa ay panglakad naman at pangsipa; ang buhok sa kili-kili ay proteksyon upang hindi magkaroon ng friction at magdikit ang balat ng braso at tagiliran sa bahaging yon, etc.	examples in man: the hairs in our head protects against the heat of the sun; the eyebrows prevents the sweat from getting directly in to the eyes; The nose is for breathing and the nasal hairs inside blocks the dirt from entering while the person breathes; the lips covers the mouth so that no flies or mosquitoes and other insects can enter it; the teeth are for chewing food; the earlobes are used to collect sounds that goes straight into the ear hole, so it's like a "pocket"; the hands are for holding and punching, while the feet are for walking and kicking; the hair in the armpit is for protection to avoid friction and for the skin of our arms and sides on those parts will not stick together, etc.
<11>	Ang iba’t ibang lahi at uri ng mga hayop at halaman ay may kanya-kanyang magkakaparehong katangian, at hindi pwedeng sabihing nagkataon lang ang pagkakapareho nila.	the different breeds and types of animals and plants have their own characteristics, and one cannot say that it's all just coincidence that they're all the same.
<12>	Kung sasabihing “nagkataon” lang, pwedeng may ipapanganak na Amerikano ang isang nanay na Pilipino (pwera dito ang “albino” na naging puti lang ang balat)…o di kaya ay maaaring magkaanak ang elepante ng tigre.	if we say that this is just "coincidence", then it is possible for a Filipino mother to give birth to an American (this does not include the "albino" which just happened to have white skin)... or for a tiger to possibly give birth to an elephant.
<13>	Noong panahon ni Noah, nagkaroon ng malawakang baha na ayon sa Bibliya ay paraan upang mawala ang masasamang lahi sa mundo.	back in Noah's time, there was a great flood that according to the Bible is a way to eradicate evil races in the world.
<14>	Ang hindi lang naitala sa Bibliya ay ang iba pang mga kalamidad na tumama sa mundo upang mabawasan ang dami ng mga may buhay, at tuloy ay magkaroon ng balanse ang dami ng may buhay at pagkaing makukuha o available nang panahong yon.	what is not recorded in the Bible are the other calamities that hit the world to lessen the number of the living, and to gain balance for those who are alive with the food that could be acquired or available at that time.
<15>	Kung nagawa ng Diyos na magpabaha, ay kaya rin niyang gumamit ng iba pang paraan upang mamintina ang kaayusan at balanse sa mundo.	if God was able to use floods, he can also use other ways to maintain the balance in this world.
<16>	Sa palagay ko, kaya binigyan ng Diyos ng “free will” ang tao, ay upang ito na ang gumawa ng paraan sa pagkontrol ng balanse sa mundo, nang lingid sa kanyang kaalaman.	in my opinion, the reason God gave man "free will", is so that he can find a way to control the balance in the world, without his knowledge.
<17>	Dahil sa “free will”, ang tao ay nagkaroon ng ugaling pagkagahaman, kriminal, kabaitan, pagiging maka-Diyos, at iba pa.	because of "free will", man acquired the traits greed, criminality, kindness, godliness, and others.
<18>	Dinagdag sa “free will” ang dunong o karunungan dahil ito ang ginamit ng tao upang gumawa ng mga kagamitang pamuksa sa kapwa-tao sa pamamagitan ng digmaan, terorismo at iba pa, na ang resulta ay paghihirap at kagutuman.	added to "free will" is wisdom or intelligence and man used this to create instruments to exterminate other human beings by using wars, terrorism and others, that resulted to suffering and starvation.
<19>	Ang mga patayang nangyayari sa mundo ay nakatulong upang mabawasan ang dami ng tao, dahil kung hindi nagkaroon ng mga digmaan at kung asahan lang ang mga kalamidad, noon pa lang ay maaaring umapaw na ang sangkatauhan sa mundo!	the killing that is happening in the world helps to lessen the numbers of people, if there were no wars and if we will only rely to calamities, then even back then we will be overflowing with people in the world!
<20>	Lahat ng tao at hayop, pati mga halaman ay may mga sakit na nananalaytay sa kanilang mga ugat (tao at hayop) at hibla (halaman).	all the humans and animals, even the plants have sickness that runs in their roots (humans and animals) and fiber (plants).
<21>	Ang dunong na ibinigay sa tao ang siyang gumagawa ng paraan kung paanong mapigilan ang “paglabas” ng mga sakit, sa pamamagitan ng pag-imbento ng mga gamot at ibang kaalaman tulad ng pag-opera.	the intelligence given to man created the way on how to prevent the "exit" of these sickness, by inventing medicines and other knowledge like conducting medical operations.
<22>	Subalit dahil sa kapabayaan ng tao, hindi niya nakontrol ang sarili upang magpakasasa sa pagkain at bisyo.	but because of man's negligence, he was not able to control himself to indulge in food and vices.
<23>	Dahil diyan naglabasan ang mga sakit na ulcer, kanser, diabetes, high blood, high cholesterol, etc.	because of that, diseases are manifesting like ulcer, cancer, diabetes, high blood, high cholesterol, etc.
<24>	Hindi nagamit ng maayos ang “free will” kaya naghihirap ngayon ang sangkatauhan dahil sa iba’t ibang sakit….	"free will" was not correctly used that is why mankind is suffering from different sickness...
<25>	masarap kasing humitit ng sigarilyo at marijuana, suminghot ng cocaine at shabu, lumaklak nang walang patumangga ng alak, lumamon ng maski pagkaing sinabi nang bawal, pagpuyat, etc.	it is because it feels good to puff cigarette and marijuana, inhale cocaine and meth, excessively drink liquor, gobbling up food that is considered as bad for you health, staying up really late, etc.
