<1>	TAGAMASID: Foisting what? By Jimmy Cantor	observer: foisting what? by Jimmy Cantor
<2>	January 16, 2017	January 16, 2017
<3>	Isang report ng mga katoto natin sa spin.	one report of our peers in spin.
<4>	ph ang tumawag ng ating pansin kamakailan.	ph called our attention recently.
<5>	Ito’y tungkol sa P4,000 fine na ipinataw ng PBA kay Calvin Abueva ng Alaska dahil sa ginawa nito sa laro ng koponan laban sa TNT KaTropa noong Disyembre 23.	this is about the P4,000 fine that was imposed by the PBA to Calvin Abueva of Alaska because of what he did in the game of the team against TNT KaTropa last December 23.
<6>	Sa nasabing laro ay nag-flash ng dirty finger si Abueva kaya naman siya pinatawan ng fine.	in the said game Abueva flashed a dirty finger so he was imposed a fine.
<7>	Alam n’yo naman marahil na bawal ang dirty finger sa liga.	as you probably know dirty finger is prohibited in the league.
<8>	Baka nga naman gayahin ng mga bata, lalo na ang mga umiidolo kay Abueva.	maybe children might imitate, especially those who idolize Abueva.
<9>	Pero ayon sa spin, na-intriga sila dahil sa paliwanag ng liga na kaya na-fine si Abueva ay dahil sa “foisting a stickum sign.”	but according to spin, they were intrigued because of the explanation by the league that Abueva was fined because of "foisting a stickum sign."
<10>	Sabi nga ng spin, what the heck is that?	spin said, what the heck is that?
<11>	Kaya naman tinungo ko ang isang website at tinanong ko kung ano ba talaga ang definition ng salitang “foisting” o “foist.”	that is why I went to one website and I asked what is really the definition of the word "foisting" or "foist".
<12>	Ang sabi: “impose an unwelcome or unnecessary person or thing on,” o kaya naman ay “introduce someone of something surreptitiously or unwarrantably into.”	it said: "impose an unwelcome or unnecessary person or thing on," or might be "introduce someone of something surreptitiously or unwarrantably into."
<13>	Nagbigay pa ng example gamit ang salitang foist.	even game an example using the word foist.
<14>	“Don’t let anyone foist inferior goods on you” at “He attempted to foist a new delegate into the conference.”	"Don't let anyone foist inferior goods on you" and "He attempted to foist a new delegate into the conference."
<15>	Para sa mga naglalaro ng basketball, malamang na alam n’yo kung ano ang stickum.	for the players of basketball, you probably already know what stickum is.
<16>	Ito ‘yung ginagamit ng ilang mga manlalaro para mas maganda ang kanilang maging paghawak sa bola.	this is used by a number of players for them to have better handling of the ball.
<17>	Pero ipinagbawal na ito sa PBA at maging sa NBA dahil nga medyo malagkit.	but this is prohibited in PBA as well as in NBA because it is slightly sticky.
<18>	Naintriga ang mga katoto sa spin at tinawagan ang PBA para alamin kung ano ba talaga ang ibig sabihin ng “foisting a stickum sign.”	the peers in spin are intrigued and called the PBA to find out what is really the meaning of "foisting a stickum sign."
<19>	Ang paliwanag ng liga, flashing a dirty finger.	the explanation of the league, flashing a dirty finger.
<20>	Natural, muntik mahulog sa upuan ang katotong taga-spin.	naturally, the peer from spin almost fell from the chair.
<21>	Ha?	Ha?
<22>	Dirty finger pala, paanong naging foisting a stickum sign?	so dirty finger, how did foisting become a stickum sign?
<23>	Naiintindihan ba ng mga taga-PBA kung ano ang sinasabi nila sa kanilang paliwanag kung bakit na-fine si Abueva?	do those in the PBA understand what they are saying in their explanation why Abueva was fined?
<24>	Ang nakapagtataka, walang makapagpaliwanag mula sa PBA kung saan nanggaling ang salitang “foisting a stickum sign” at kung bakit ito ang ginagamit kung dirty finger ang gusto nilang sabihin.	what is puzzling, no one could explain from the PBA where the word "foisting a stickum sign" came from and why it is used if dirty finger is what they want to say.
<25>	Mula sa definition na nakuha ko, milya-milya ang diperensiya ng sinasabi ng liga tungkol sa foisting a stickum sign at dirty finger.	from the definition I got, miles and miles of difference in what the league is saying about foisting a stickum sign and dirty finger.
<26>	Naalala ko tuloy ang madalas sabihin ng mga editor ko noong nagsisimula pa lang ako bilang sportswriter, na huwag na huwag mong gagamitin ang salita o termino na hindi mo alam ang ibig sabihin at baka mapahiya ka lang.	I remember now what my editors frequently say when I was still starting as a sportswriter, never never use the word or term that I don't know the meaning of and I might only be humiliated.
<27>	Sabi nga ng mga katoto sa spin, sa susunod, kung dirty finger ang gustong sabihin ng mga taga-PBA, dirty finger ang kanilang gamiting termino.	the peers from spin even said, next time, if dirty finger is what those from the PBA wants to say, dirty finger is the term they should use.
<28>	Hindi ‘yung pati sila ay hindi nila naiintindihan ang kanilang sinasabi.	not when even they themselves don't understand what they are saying.
