<1>	JI terrorist Marwan na target ng operasyon sa Mamasapano buhay pa- MNLF	JI terrorist Marwan who was target of the operation in Mamasapano, still alive -MNLF
<2>	January 28, 2015	January 28, 2015
<3>	Buhay pa ang kilabot na teroristang si Zulkipli bin Hir alyas Marwan.	the feared terrorist Zulkipli bin Hir alias Marwan is still alive.
<4>	Ito ang sinabi ni Moro National Liberation Front (MNLF) spokesman Emmanuel Fontanilla matapos ang madugong bakbakan na ikinamatay ng 44 na miyembro ng PNP-Special Action Force (SAF) sa Mamasapano, Maguindanao.	this was said by Moro National Liberation Front (MNLF) spokesman Emmanuel Fontanilla after the bloody encounter that killed 44 members of the PNP-Special Action Force (SAF) in Mamasapano, Maguindanao.
<5>	Si Marwan at ang kasama nitong bomb maker na si Basit Usman ang target ng operasyon ng SAF sa pagtungo nila sa naturang lugar noong Linggo ng medaling araw.	Marwan and his companion bomb maker Basit Usman were the target of the operation of SAF in their journey to the said area on early morning of Sunday.
<6>	Si Marwan ay miyembro ng grupong Jemaah Islamiyah matagal ng wanted dito sa Pilipinas at maging sa iba’ t ibang bansa sa buong mundo gaya ng Amerika dahil sa mga pambobomba nito.	Marwan is a member of the group Jemaah Islamiyah long been wanted here in the Philippines and even in other countries in the world like the USA because of their bombings.
<7>	Aabot sa $5 milyon ang reward money na inilaan para sa ikadarakip ni Marwan habang $1 milyon para kay Usman.	up to $5 million is the reward money allotted for the capture of Marwan while $1 million for Usman.
<8>	Sinabi ni Fontanilla sa panayam nito ngayong araw sa dzMM na wala sa Maguindanao si Marwan tulad ng lumabas sa intelligence report ng SAF at sa halip ay nagtatago ito sa Lanao Del Sur.	Fontanilla said in his interview today at dzMM that Marwan is no longer in Maguindanao like what came up in the intelligence report of SAF and instead he is hiding in Lanao Del Sur.
<9>	Ayon pa sa tagapagsalita ng MNLF, naiwasan sana ang pagkamatay ng maraming pulis kung nagtanong sa kanila ang gobyerno.	according to the spokesperson of MNLF, the death of many police officers could have been avoided if the government inquired with them.
<10>	Una ng napaulat na napatay si Marwan sa naganap na operasyon ng SAF sa Mamasapano habang nakatakas naman umano si Usman.	Marwan was earlier reported dead in the SAF operation that happened in Mamasapano while Usman supposedly escaped.
<11>	Bago ito ay dati na ring naiulat na napatay si Marwan noong 2012.	before this it was also earlier reported that Marwan died in 2012.
<12>	Sa ngayon ay patuloy pa rin ang beripikasyon sa ulat ng na napatay nga ng PNP sa operasyon ang nasabing terorista.	currently verification continues on the report that the PNP had killed in the operation the said terrorist.
<13>	Nitong Linggo ay naglunsad ng isang operasyon ang mahigit 300 tauhan ng SAF sa Mamasapano para dakpin sina Marwan at Usman subalit naging madugo ito matapos makaengkwentro ng mga pulis ang napakaraming miyembro ng Bangsamoro Islamic Freedom Fighter (BIFF) at Moro Islamic Liberation Front (MILF).	this Sunday more than 300 members of SAF launched an operation in Mamasapano to apprehend Marwan and Usman but it became bloody after the police encountered the numerous members of the Bangsamoro Islamic Freedom Fighter (BIFF) and Moro Islamic Liberation Front (MILF).
<14>	Bukod sa napakaraming bilang ng patay ay aabot sa 12 pulis ang sugatan sa insidente. -DCR	aside from the extremely large number of casualties up to 12 police officers were injured in the incident. -DCR.
