<1>	HEALTH FRONTIERS: Bumubukol May gamot ba ang keloids?	health frontiers: is there a cure for keloidal lump?
<2>	Dati isa lang ito pero nadagdagan na.	in the past, this is only one but it is added now.
<3>	Minsan makati at masakit kapag pinisil.	sometimes itchy and painful when pinched.
<4>	Ang keloid ay balat na bumubukol dahil sa paglaki ng scar tissue.	keloid is a skin which lumps due to the enlargement of the scar tissue.
<5>	Madalas makita ito sa mga taong maitim ang balat lalo na kapag nasugatan.	this is usually seen in people with dark skin especially when wounded.
<6>	Ito ay peklat na lumalaki at tumutubo sa tainga, dibdib, likod at braso.	this is a scar which enlarges and grows on ears, chest, back and arms.
<7>	Sa iba, kumakati ito, masakit o malambot hawakan.	for others, it itches, painful or soft when touched.
<8>	Hindi alam ang tunay na dahilan nito pero maaring may depekto sa collagen production na nangyayari kapag napinsala ang balat.	the real reason for this is unknown but it could be a defect in collagen production which happens when the skin is damaged.
<9>	Nagagamot ito sa pamamagitan ng cortisone injections, radiation therapy o pag­lagay ng silicone gel.	this is treated through cortisone injections, radiation therapy or application of silicone gel.
<10>	Pwede rin operahan ito o tanggalin sa laser surgery pero maaring bu­malik ito.	could be operated or removed through laser surgery but it might come back.
<11>	Sumasakit ang ari ko kapag nakikipagtalik ako.	my genital aches when I have sex.
<12>	Normal ba ito? — Name withheld.	is this normal? -name withheld.
<13>	Kung babae ka, ang tawag diyan ay dyspareunia.	if you are a woman, that is called dyspareunia.
<14>	Kadalasan nangyayari ito kapag tuyo o hindi gaanong basa ang vagina.	this often happens when the vagina is dry or not so wet.
<15>	Mawawala ito kapag mag-relax ka, huwag kang kabahan sa sex at gumamit ka ng vaginal lubricant.	this will be gone if you relax, do not be nervous about sex and use a vaginal lubricant.
<16>	Ang dyspareunia ay pwede rin epekto ng ­va­ginismus kung saan tumitigas ang vaginal muscles dahil sa kaba, impeksiyon sa vagina o cervix, fibroids sa ­uterus, cysts sa obaryo, pelvic inflammatory ­disease, menopause, sex ­after surgery or ­childbirth at ­sexually transmitted ­diseases.	dyspareunia can also be an effect of vaginismus where the vaginal muscles harden due to nervousness, infection in the vagina or cervix, fibroids in the uterus, cysts in the ovary, pelvic inflammatory disease, menopause, sex after surgery or childbirth and sexually transmitted diseases.
<17>	Kadalasan hindi na ito kailangan gamutin.	sometimes, this does not need treatment.
<18>	Gumamit lamang ng lubricant o mag-sex pagka­lipas ng anim na linggo pagkatapos manganak.	just use a lubricant or have sex six weeks after giving birth.
<19>	Kung ang dyspareunia ay galing sa mga nabanggit na problema sa itaas, pumunta sa doktor para sa tamang gamot.	if dyspareunia is caused by the problems mentioned above, go to the doctor for proper treatment.
<20>	Tumawag ng doktor kapag may ibang sintomas tulad ng pagdurugo, sugat sa ari, irregular periods o vaginal discharge.	call the doctor if there are other symptoms such as bleeding, wound in the genital, irregular periods or vaginal discharge.
