<1>	Peace Development Team ng 50IBPA natambangan ng New Peoples Army!	Peace Development Team of the 50th IBPA ambushed by the New People's Army!
<2>	Lejo Cawilan Command - NPA-Kalinga	Lejo Cawilan Command - NPA-Kalinga
<3>	Marso 1, 2015February 28, 2015 alas 8 ng umaga inilunsad n gLejo Cawilan Command ang isang ambush sa mga myembro ng 50th Infantry Batallion-Philippine Army sa baryo ng Baay, Pinukpuk, Kalinga.	March 1, 2015 February 28,2015 at 8 o'clock in the morning, the Lejo Cawilan Command launched an ambush against the members of the 50th Infantry Battalion of the Philippine Army in Barrio Baay, Pinukpuk, Kalinga.
<4>	2 ang patay at 4 naman ang sugatan sa nasabing ambush.	2 were killed and 4 were wounded in the said ambush.
<5>	Mahigit isang buwan na nakapakat ang yunit ng 50IB sa Balbalan at Pinukpuk, Kalinga upang habulin ang natitirang panahon ng Oplan Bayanihan sa pamamagitan ng paglulunsad ng Peace Development Team sa dalawang munisipyo ng Kalinga.	to serve the rest of the Oplan Bayanihan the 50th IB camped in Balbalan and Pinukpuk, Kalinga for more than a month launched the Peace Development Team in two municipalities of Kalinga.
<6>	Mula Enero 23, 2015 hanggang kasalukuyan ay tuluy-tuloy nanakapakat ang pwersang 50 IBPA sa mga baryo ng Gawaan, Balantoy at Poblacion sa Balbalan habang nakapakat naman sa Baay, Limos, Allaguia at Tappo sa munisipyo naman ng Pinukpuk.	from January 23, 2015 to the present, the forces of the 50th IBPA has been encamped in the barrios of Gawaan, Balantoy and Poblacion in Balbalan and in Baay, Limos, Allaguia and Tappo in the municipality of Pinukpuk.
<7>	Umiigting ang pagkadisgusto ng mamamayan sa mga baryong pinakatan ng PDT ng 50 IB dahil sa paglabag ng mga pwersang militar sa karapatang-tao katulad ng pagkakampo mismo sa loob ng mga barangay hall at mga eskwelahan ng Balantoy Agro-Industrial High School ngBalbalan at Limos National High School sa Pinukpuk.	the disgust of the people are getting stronger in the barrios where the PDT of the 50th IB were stationed because of the human rights violations of the military forces such as camping inside the barangay hall itself and schools of Balantoy Agro-Industrial High School in Balbalan and Limos National High School in Pinukpuk.
<8>	Nagrereklamo naman ang mamamayan sa Barangay Gawaan dahil sa pagbabanta ng pwersa ng 50IB na sisingilin ng bodong o peace pact ng tribu ang mga mamamayan sa Gawaan kung may mangyaring masama sa mga sundalong nakakampo sa loob mismo ng kabahayan.	the people of Barangay Gawaan are also complaining because the 50th IB threatened to charge them with tribal or peace pact of the tribe if something bad were to happen to the soldiers camped inside houses.
<9>	Samantalang kinukondena naman ng mga kababaihan ng Barangay Balantoy ang pagkakampo ng mga militar sa mismong barangay hall.	meanwhile, the women of Barangay Balantoy are condemning the military encampment in the barangay hall itself.
<10>	Asiwa ang mga kababaihan na magtrabaho sa kanilang barangay hall dahil doon nakaistambay, natutulog at nagluluto ang mga pwersa ng 50IB.	the women are uneasy to work in their barangay hall because the forces of the 50th IB are idling, sleeping and cooking there.
<11>	Nararapat at napapanahon ang pagparusasa Peace Development Team ng 50IB sa batayang mahaba na ang listahan nito sa paglabag sa karapatang pantao sa buong Ilocos-Cordillera.	the punishment of the Peace Development Team of the 50th IB is appropriate and timely based on their long list of human rights violations throughout the Ilocos-Cordillera region.
<12>	Marami nang naitalang kaso ng panggagahasa, pagpatay, at pananakota ng 50IBPA.	many cases of rape, murder and intimidation of the 50th IBPA have been reported.
<13>	Dahil sa galit ng mamamayan, napaalis sila mula sa Mountain Province, Ilocos, Abra, Benguet at Ifugao at ngayon bago pa man sila makapakat ng tuluyan sa Kalinga aasahang hindi titigil ang mamamayan para palayasin ang pwersang 50IB sa probinsya ng Kalinga.	because of the people's anger, they were forced to leave the Mountain Province, Ilocos, Abra, Benguet and Ifugao and now before they fully encamp in Kalinga, the people will not stop until they oust the force of the 50th IB from the province.
<14>	Nananawagan ang Lejo Cawilan Command sa mga tribu at mamamayan ng Kalinga na labanan ang pasismo at palayasin ang 50IB-Philippine Army na nagsisilbing security forces ng mga kapitalista at naghaharing uri upang agawin ang lupang ninuno ng mga katutubo sa Kordilyera.	the Lejo Cawilan Command is calling all the tribes and people of Kalinga to fight fascism and to oust the 50th IB-Philippine Army which serves as security forces of capitalists and ruling classes to steal the lands of the indigenous people of the Cordillera.
