<1>	(0.000-2.363)	healthy sa buong family natin di ba .	it's healthy to our whole family right .
<2>	(2.363-5.813)	siyempre pinag-uusapan natin kanina dok ang pangangasim <overlap> oo sikmura .	of course we were talking earlier doctor about the hyper acidity of our stomachs .
<3>	(5.813-7.550)	oo pangangasim ng sikmura natin .	yes hyper acidity of our stomachs .
<4>	(7.550-20.206)	napakaimportante ho na alamin natin kung ano nga ba ang nag-ca-cause nito kasi alam n'yo mga kapuso sa pag-aaral ho twenty five percent ng mga pinoy ang nakakaranas ng hyperacidity o yung tinatawag po natin na acid reflux .	it is very important that we know the cause of this because you know according to study twenty five percent of the Filipinos experience hyper acidity or what we call acid reflux .
<5>	(20.206-25.711)	yung tipo ho bang nakakaramdam ba kayo yung parang bumabalik yung <hes> acid sa inyong <hes> <sta> uh saliva ?	the type that you are experiencing what it seems that your acid goes back to your saliva ?
<6>	(25.711-27.174)	di ba 'yan ang (()) ?	is that the (()) ?
<7>	(27.174-28.764)	now maraming sanhi niyan Connie no .	now there are many causes for that Connie .
<8>	(28.764-33.560)	so well if reflux can we cause by <hes> sobrang timbang .	well if reflux can be caused by being overweight .
<9>	(33.560-45.377)	oh okey <overlap> kaya or big factor din diyan yung ating mga pagkain yung kalidad ng ating kinakain <sta> for acidic din 'yan <overlap> yes oo or minsan yung mga substances 'lika too much na kape <sta> paninigarilyo .	okay that is why or it's a big factor to also are our foods the quality of what we eat that's for acidic also yes or sometimes the substances like too much coffee smoking .
<10>	(45.377-45.858)	'yon .	there .
<11>	(45.858-51.540)	those are factors -- lifestyle factors na nakakapag-contribute o nakakapagpalala ng hyperacidity .	those are lifestyle factors that contributes or makes worse hyper acidity .
<12>	(51.540-57.950)	so ito ho <sta> para maiwasan natin ang pangangasim ng sikmura narito po ang solusyon natin diyan .	so to avoid hyper acidity of our stomachs here are our solutions for that .
<13>	(57.950-62.234)	<no-speech>	<no-speech>
<14>	(62.234-77.710)	kahit pa gustong-gusto ni Jashmer na uminom ng kape <sta> kumain ng paborito niyang pagkaing maaanghang di raw niya magawa <sta> paano naman kasi kaunting tikim lamang ng mga ito siguradong mamimilipit na siya sa sakit ng tiyan .	even though Jashmer wants to drink coffee eat his favorite spicy food he can no longer do it because even a little taste of it will make him writhe due to stomach pain .
<15>	(77.710-89.510)	para siyang <hes> iniipit na <hes> pinipiga tapos umaakyat siya sa dibdib ko na para siyang heartburn gano'n <int> tapos minsan nasusuka ko .	its like being pressed squeezed then goes up to my chest it's like heartburn and sometimes I feel like vomiting .
<16>	(89.510-93.497)	kapagka kumakain ako parang ayaw ng tanggapin ng tiyan ko .	whenever I eat it seems like my stomach would not accept it anymore .
