<1>	Kinukundena ng NDF-FSMR ang pambobomba sa GenSan	the NDF-FSMR is condemning the bombing in GenSan.
<2>	Ka Efren AksasatoNDFP Far South Mindanao Chapter September 21, 2014	ComradeEfren Aksasato NDFP Far South Mindanao Chapter, September 21, 2014
<3>	Translation: Gipanghimaraut sa NDF-FSMR ang pagpamomba sa GenSan	translation: damned in NDF-FSMR the bombing in GenSan
<4>	Mariing kinukundena ng National Democratic Front-FarSouth Mindanao Region (NDF-FSMR) ang pambobomba sa Rizal Freedom Park sa Gen. Santos City noong Setyembre 16, 2014.	the National Democratic Front - Far South Mindanao Region (NDF-FSMR) strongly condemns the bombing in Rizal Freedom Park in General Santos City on September 16, 2014.
<5>	Ipinapaabot din namin ang aming pakikiramay sa mga sibilyang nabiktima sa naturang marahas na pangyayari.	we are also extending our condolences to the civilians victimized by the violent event.
<6>	Ang pambobomba na ginawa sa isang pampublikong lugar at itinaon sa gabi na maraming tao ang naglilibang ay isang malinaw na teroristang gawain na naglalayong lumikha ng kapinsalaan sa mga inosenteng sibilyan.	the bombing that happened in a public place and that was timed in the evening where a lot of people were enjoying was clearly a terrorist act that aimed to bring injury to innocent civilians.
<7>	May magkakaibang mga posibilidad na malamang na nasa likod ng naturang pambobomba.	there are many different possibilities which are probably behind the said bombing.
<8>	Maaari itong ginawa ng mga tao o ekstremistang grupo na may galit sa estado o kaya isa itong pakana ng estado mismo.	this could have been done by people or extremist groups that have a grudge against the government or it might be a scheme by the government itself.
<9>	Dahil sa kabulukan, korapsyon at kawalang-katarungan ng malakolonyal-malapyudal na sistemang pinaghaharian ng malalaking burgesya kumprador at panginoong maylupa, dumarami at lumalawak ang paglaban mula sa iba’t ibang hanay ng mamamayan sa bansa.	the opposition from the different sectors of society in the country are increasing and expanding because of the depravity, corruption and injustice of the colonial-like and feudal-like system ruled by the big bourgeoisie capitalists and landlords.
<10>	Samantala, dahil sa pagiging sagadsarin at masunuring tuta nito sa imperyalismong US ay naiuugnay ang bansa sa mga gerang agresyon ng US, at nadadamay din ito sa ipinagyayabang ng US na “global war on terror” laban sa mga bansa at mga entidad na nagmimithi ng kalayaan.	meanwhile, because of being subservient and an obedient puppet to imperialist US, the country is being associated with the US war of aggression, and it is also being involved in what the US proudly calls "global war on terror" against countries and entities seeking for freedom.
<11>	Ang pambobomba ay maaari ring maruming laro ng mga pwersang paniktik at mga eksperto sa saywar ng Armed Forces of the Philippines (AFP).	the bombing could also be the dirty tactic of the intelligence force and experts on PSYWAR of the Armed Forces of the Philippines (AFP).
<12>	Ang nangyari sa Gen. Santos City at ang iba pang pambobomba sa iba’t ibang lugar sa Mindanao ay nagpapaalala sa Oplan Greenbase ng dating rehimeng US-Arroyo noong 2003.	what happened in General Santos City and other bombings in different places in Mindanao reminds us of the Oplan Greenbase of the previous US-Arroyo regime in 2003.
<13>	Inilarawan sa naturang oplan na ipinalabas ng Department of National Defense sa ilalim ni Arroyo ang paglikha ng mga teroristang aksyon na ibibintang sa kilusang Moro.	it was described in the aforementioned plan, released by the Department of National Defense under the Arroyo administration, the creation of terrorists acts to be blamed to the Moro movement.
<14>	Sa gayunding paraan, isasangkalan ng gubyerno ang galit ng mamamayan at ang kaguluhan sa lipunan itulak ang emergency powers para sa pangulo o kaya ang deklarasyon ng batas militar.	in the same way, the government will use the anger of the people and the chaos in society to push for the emergency powers of the president or the declaration of martial law.
<15>	Ang pagdurusa ng mga biktima sa karahasang dinanas nila ay hindi madaling mapapawi habang patuloy silang pinagkakaitan ng katarungan.	the suffering of the victims in the violence they experienced will not easily be alleviated while they continue to be deprived of justice.
<16>	Dapat lamang na singilin ang Philippine National Police (PNP), ang AFP at ang gobyerno sa kainutilan nilang protektahan ang mamamayan.	the Philippine National Police (PNP), the AFP and the government should be charged for their incompetency to protect the people.
<17>	Sa pamamagitan lamang ng nagkakaisang tindig at pagkilos ng mamamayan para ibagsak ang bulok, pabaya at mapang-aping estado matatamasa ang tunay na katarungan at katwiran sa bansa at mapapawi ang banta ng terorismong dulot ng dominasyon ng imperyalismong US at lokal na mga naghaharing pangkatin sa lipunan.	true justice and equality in the nation, and the elimination of the threat of terrorism brought by the domination of imperialist US and the local ruling groups in society can be achieved only through the united stance and action of the people to overthrow the rotten, negligent and oppressive government.
