<1>	(0.000-1.918)	sa nanonood magandang gabi po sa inyong lahat .	for those who are watching good evening to all of you .
<2>	(1.918-17.710)	'yon po bang <hes> balita o yung hinala na mayroong mga supporter na ng <hes> Isis o ISIL <hes> dito sa Pilipinas gawa po ng engkuwentro kaninang umaga sa Sultan Kudarat credible report po ba 'yon na colonel ?	that one is that a news or a suspicion that there are supporters of I_S_I_S or I_S_I_L here in the Philippines due to the encounter earlier in the morning in Sultan Kudarat is that a credible report colonel ?
<3>	(17.710-19.651)	opo kinokompirma po namin .	yes we are confirming .
<4>	(19.651-47.680)	<hes> kinokompirma po natin ito nangyaring <hes> engkuwentro kaninang umaga dako alas sais -- <hes> alas singko ng umaga sa mga tropa po natin na nagmula sa western Mindanao command at napailalim ngayon diyan sa sixth I_B sa lugar na 'yan at pinamunuan po ang operasyon ng <hes> sixth marine battalion under kay colonel <hes> Parcon at -- <hes> Custodio at nasa ilalim po ng first marine brigade .	we are confirming this incident encounter earlier this morning around six o'clock -- five o'clock in the morning to our troops from the Western Mindanao Command and now under the sixth I_B in that place and the operation was led by the sixth marine battalion under Colonel Parcon and -- Custodio and under the first marine brigade .
<5>	(47.680-57.850)	sila po ang <hes> nag-opera -- operate at <hes> may mga kasama rin po silang ibang mga elementong sumuporta at kumpirmado po 'yan .	there are who operated -- operated and they have also in company with other elements who supported and that is confirmed .
<6>	(57.850-66.680)	so kumpirmado po na itong mga grupong nakasagupa ng <hes> mga marine ay supporter ng Isis o ISIL ?	so is this already confirmed that the group encountered by the marines are supporters of I_S_I_S or I_S_I_L ?
<7>	(66.680-77.380)	<hes> kinukumpirma pa po natin yung grupo na kanilang nabangga at kasalukuyan hong bineberipika pa 'yong mga identity noong mga napatay o nasawing mga kalaban .	we are still confirming the group that they have encountered and currently the identities of those enemies who were killed or died are still being identified .
<8>	(77.380-85.629)	oho <overlap> at hanggang ngayon po hindi pa po namin maipagbibigay alam hangga't hindi pa po natin nako- -- naimbestiga ng mabuti ang mga identities na ito .	yes and until now we can't disclose until we haven't -- investigated these identities properly .
<9>	(85.629-94.440)	<hes> but suffice to say po maganda po itong iskor na 'to at <hes> tinatanong n'yo po kung malaki na po ba ang <hes> grupo na 'yan .	but suffice to say this score is good you're asking if that group is already big .
<10>	(94.440-103.830)	<hes> hindi po at sinasabi nga po namin tiwala kami sa lahat nga ating commander sa field na patuloy na nag-mo-monitor na tinutugis itong liit na grupong ito .	no and we're saying that we trust all the commanders on the field that continues to monitor and hunt this small group .
<11>	(103.830-104.221)	oho .	yes .
<12>	(104.221-109.920)	<hes> may nakuha raw pong mga flag ng Isis o ISIL .	there were flags of I_S_I_S and I_S_I_L that were obtained .
<13>	(109.920-118.920)	<hes> ari po at <hes> hindi pa po namin nakuha lahat ng report nila pero kasama po rin po yata ang mga bagay na 'yan sa kanilang na-recover .	we weren't able to get all reports but all those things are possibly part of what they recovered .
<14>	(118.920-129.769)	at bilang <hes> propaganda o props na ginagamit sa mga lumabas na video na maaaring yung grupo na 'yan ang naglabas oho .	and being propaganda or props used in the spreading videos that may have been brought out by this group .
<15>	(129.769-143.132)	<hes> identified po ba itong grupong ito kasi diyan sa area na 'yan kung hindi ako nagkakamali nandiyan po ang <hes> B_I_F_F <hes> pero bukod po doon parang kasi ang M_I_L_F e katulong na ng <hes> gobyerno .	this group is identified because in that arena if I'm not mistaken B_I_F_F is there but aside from that seems like M_I_L_F is already an ally of the government .
<16>	(143.132-145.609)	mayroon tayong on-going peace process with them .	we're now conducting a peace process with them .
<17>	(145.609-149.290)	so B_I_F_F area ho ba ito o ano ho ?	so B_I_F_F area or ?
<18>	(149.290-151.176)	anong grupo ho kaya ito colonel ?	what group is this Colonel ?
<19>	(151.176-178.358)	<hes> ito pa ring mga maliliit na grupo na kabilang ng <hes> isang grupo na alam namin ay <hes> grupo na tinatawag na al ka kilapa na ang namumuno ay isang nagngangalang <hes> Timo Jafar Maguid pero lahat po ito kinukumpirma pa natin at hindi pa po natin batid kung <hes> lahat po ng nakabangga ng tropa natin ay mismo sila mismo .	still these small groups part of the a group we know a group called al ka kilapa headed by someone called Jafar Maguid but all of these are still being confirmed and we don't yet if they are who our troops bumped into .
<20>	(178.358-187.550)	uhm hm pero itong grupo hong ito is it allied with <hes> any bigger group like the B_I_F_F o 'yon pong <hes> Abu Sayyaf ?	uhm hm but this group is it allied with any bigger group like the B_I_F_F or Abu Sayyaf ?
<21>	(187.550-191.690)	<hes> ano po <hes> ang indications nito colonel ?	what are the indications of this Colonel ?
<22>	(191.690-201.780)	<hes> chine-check pa po natin 'yan pero naniniwala kami na kung saan sila nakikinabang magbibigay sila ng tulong tulad po ng mga nangyaring mga nakaraang mga hataw .	we're still checking but we believe that wherever they're benefiting from they'll give help like what happened the past few days .
<23>	(201.780-203.311)	uhm hm ano po ba ito ?	uhm hm what is this ?
<24>	(203.311-209.220)	ambush ho ba ito o talagang <hes> nagkaengkuwentro sila ?	is this ambush did they have an encounter ?
