<1>	Sipain si Gen. Dela Vega at aasa kay angkol vs Intsik	kick General Dela Vega out and depend on uncle versus Chinese
<2>	NOONG pinalalayas natin ang “base militar” ng Amerika ay matitinding demonstrasyon ang ginawa ng ating mga kababayan na nagpakilalang mga makabayan daw!	when we were driving away the military base of America, our countrymen, who presented themselves as supposedly patriotic, held outrageous demonstrations.
<3>	Mga mapagmahal sila sa ating bayan na ang tanging hangarin ay makitang malaya tayo mula sa kamay ng banyaga.	they are loving to our country that only wishes to have us freed from the hands of foreigners.
<4>	Palakpak ako noon sa kanila . . . saludo ika nga, parekoy, dahil walang ka-sing-saya ang pagiging malaya natin.	I applauded them before; gave them a salute, as they say, because our freedom doesn't equate to anything else, brother.
<5>	Wala ni sa hinagap ng mga “makabayan” na ito na darating ang araw ay pagnanasaan pala ng mga Intsik ang ating lu-pang sinilangan.	these so-called patriots had no idea that a day would arrive when the Chinese are going to lust over our land of birth.
<6>	Bagay na hindi maaring gawin ng Tsina kung nari-to ang base militar ng Kano dahil obligadong makikialam sina “Angkol Sam” sa katwirang nanganganib ang kanilang mga base militar. Ngayong solo na natin ang ating sarili, nangangatog naman ang ating tum-bong kahit balita pa lang na umiikot sa ating papawirin ang kanilang “fighter jets” at pumasok sa ating dagat ang kanilang “warships.”	something the Chinese can't do if the base military of Americans are here, because "Uncle Sam is obliged to get in between for the reason that their base military is in danger. now that we have our own to ourselves, our bellies are trembling with the news that their "fighter jets" are all over our sky, and their "warships" have entered the our seas.
<7>	Nasaan na kaya ang ma-hal kong mga makabayan?	where do you think is my beloved patriots?
<8>	Magbarikada na kayo!	barricade!
<9>	Pinasabugan ng granada noong madaling araw ng Lunes ang loob ng compound ng NHA na nasa pusod ng Kyusi.	the compound of NHA in the navel of QC was bombed with grenades last Monday.
<10>	Nitong mga nakaraang linggo pa lamang ay kabi-kabila naman ang naging krimen sa nasabing lungsod kasama na ang mga nakawan at patayan.	just these past few weeks, crime was back to back in the said city, including stealing and murder.
<11>	Lahat ‘yan parekoy ay nasa responsibilidad ni QCPD Dir. C/Supt. Mario dela Vega.	all of those, brother, are under the responsibility of QCPD Director Superintendent Mario dela Vega.
<12>	Pero wala tayong nararamdamang konkretong kilos ni Gen. Dela Vega para masawata ang mga pangyayaring ito!	but we can't feel any concrete action of General Dela Vega to stop these occurrences!
<13>	Katunayan parekoy, kahit nga ang “jueteng” ni Mendoza sa Novaliches at ang pasugalan ni Joel sa West-point, Cubao na nakapatong umano sa Station Commander ay hindi kayang ipatigil ni Gen. Dela Vega.	in fact, brother, even the "jueteng" of Mendoza in Novaliches and the gambling place of Joel at West-point, Cubao, which are allegedly ran by the station commander, cannot be shut down by General Dela Vega.
<14>	Sabagay, ba’t nga naman ipatitigil ni General kung totoo ang ulat na busog naman siya sa mga pasugalang ito!	anyway, why would the general suspend them if rumors are true that he profits from them!
<15>	Kaya kung gusto ni NCR-PO Chief Alan Purisima na tumino ang QC, sibakin na lang niya si Mendoza.	hence, if NCR-PO Chief Alan Purisima wants QC to be straightened out, he should just fire Mendoza.
