<1>	May tumubo sa kilikiliBy George Nava-True II	there is something growing on the underarm by George Nava-True II
<2>	December 21, 2016	December 21, 2016
<3>	May bukol ako sa kilikili.	I have a lump on my underarm.
<4>	Kumikirot siya. — Name withheld.	it has a sharp pain. - Name withheld.
<5>	Malamang kulani ‘yan na namamaga.	that is probably a swollen abscess.
<6>	Dala ito ng bacteria o viruses.	it is brought about by bacteria or viruses.
<7>	Kung impeksiyon ang sanhi ng pamamaga, ang tawag dito ay lymphadenitis.	if the cause of swelling is infection, this is called lymphadenitis.
<8>	Tulad ng sinabi ko dati, mahalaga ang kulani na makikita sa leeg, kilikili, sa ilalim ng baba at sa singit dahil panlaban ito ng katawan sa viruses, bacteria at iba pang masasamang organismo na nagdadala ng sakit.	like what I have said before, the abscess found on the neck, underarm, under the chin and on the groin is important because it is the defense of the body on viruses, bacteria and other bad organisms that bring illness.
<9>	Kapag namamaga ang kulani, may problema ang katawan.	if the abscess is swelling, there is a problem with the body.
<10>	Maaring ka­sing laki ito ng gisantes o patani.	it might be as big as a sweet pea or lima bean.
<11>	Bukod sa pamamaga, ang kulani ay puwedeng sumakit at may kasamang lagnat, sipon, namamagang lalamunan o pawis sa gabi.	aside from swelling, the abscess may be painful and coupled with fever, colds, swelling of the throat or perspiring at night.
<12>	Puwede rin mamaga ang paa at maging matigas at lumaki ang kulani na maaring sintomas ng cancer.	the feet may also swell and become stiff and the abscess gets bigger that might be a symptom of cancer.
<13>	Ang iba pang dahilan ng namamagang kulani ay lupus o rheumatoid arthritis.	the other reasons of the swelling of the abscess is lupus or rheumatoid arthritis.
<14>	Nawawala ito kapag nawala rin ang impeksiyon o kung ano man ang dahilan ng pamamaga.	it disappears if the infection also disappears or whatever is causing the swelling.
<15>	Pumunta sa doktor kapag patuloy ang paglaki ng kulani, tumagal ito ng dalawa o apat na linggo, tumigas, hindi magalaw at laging kang may lagnat, pinagpapawisan sa gabi at bumababa ang timbang.	go to the doctor if there is continuous enlarging of the abscess, it lasts two or four weeks, hardens, immovable and you always have fever, perspiring at night and weight loss.
<16>	Maging alerto rin kapag nahirapan kang huminga o lumunok.	be also alert if you have difficulty breathing or swallowing.
<17>	Walang magagawa ang antibiotics kung viral infection ang dahilan nito.	antibiotics cannot do anything if its cause is viral infection.
<18>	Uubra lamang ito sa bacterial infection.	this will only work on bacterial infection.
<19>	Alamin sa tulong ng doktor kung ano ang dahilan ng paglaki ng kulani para mabigyan ng tamang gamot.	find out with the help of the doctor what the reason is for the enlarging of the abscess to be give the right medicine.
<20>	Kung may cancer – pero bihira itong mangyari – dapat sumailalim sa operasyon, radiation o chemotherapy.	if there is cancer but this unusually happens - should undergo operation, radiation or chemotherapy.
<21>	Para mabawasan ang sakit, lagyan ang kulani ng mainit-init at basang pamunas.	to lessen the pain, put a lukewarm and wet wiper on the abscess.
<22>	Okay din gumamit ng over-the-counter pain reliever tulad ng aspirin, ibuprofen at acetaminophen.	it is also okay to use over-the-counter pain reliever like aspirin, ibuprofen and acetaminophen.
<23>	Iwasan ang aspirin kapag bata pa ang pasyente.	avoid aspirin if the patient is a child.
<24>	Magpahinga para maka-recover agad sa sakit.	rest to recover quickly from illness.
