<1>	Polusyon sa hangin: Masama sa kalusugan	air pollution: bad for the health
<2>	DOC WILLIE Ni Dr. Willie T. Ong	Doctor Willie by Doctor Willie T. Ong
<3>	HINDI alam ng publiko na maraming sakit ang idinudulot ng polusyon sa hangin (air pollution).	the public does not know that air pollution (air pollution) causes a lot of illness.
<4>	Sa panandaliang paglanghap nang maruming hangin, puwedeng kumati ang iyong lalamunan, at magbara ang iyong ilong.	in a momentary inhaling of polluted air, your throat may itch, and your nose congested.
<5>	Maya-maya, mamumula na rin ang iyong mga mata.	later, your eyes will redden.
<6>	Sa katagalan, ay posibleng dapuan ng mga sakit tulad ng pulmonya, bronchitis, asthma, istrok at atake sa puso.	not long, you will possibly be infected with diseases like pneumonia, bronchitis, asthma, stroke and heart attack.
<7>	Ang mga dumi sa hangin ay tinatawag na sulphur oxides at nitrogen oxides na nagdudulot ng pamamaga ng mga ugat.	the pollution on air is called sulfur oxides and nitrogen oxides which cause an inflammation of the veins.
<8>	Ipatupad ang Clean Air Act:	implement the Clean Air Act:
<9>	Sa katunayan, ang Metro Manila at Cebu ay kabilang sa mga siyudad (sa buong mundo) na may malalang air pollution.	in truth, Metro Manila and Cebu are part of the cities (in the whole world) which have severe air pollution.
<10>	Sa 1,082 siyudad sa buong mundo, nasa numero 214 ang Maynila na may pinakamasamang kalidad ng hangin.	for the 1,082 cities in the whole world, Manila is in number 214 which has the worst quality of air.
<11>	Ayon sa isang pagsusuri sa UP-College of Public Health, 32% ng mga jeepney drivers ay may emphysema o may sira na ang baga.	according to the analysis of the UP College of Public Health, 32% of jeepney drivers have emphysema or problem in the lungs.
<12>	Sa mga aircon bus driver, 16% ang may emphysema at 14% naman sa mga taong nag-co-commute.	for air con bus drivers, 16% have emphysema and 14% of the people who are commuting.
<13>	Ang ibig sabihin nito ay wala sa atin ang ligtas kahit nakasakay tayo sa air-conditioned na sasakyan.	it means that no one of us is safe even we are riding in an air conditioned vehicle.
<14>	Papasok pa rin ang mga dumi ng hangin sa loob ng sasakyan.	polluted air still enters inside the vehicle.
<15>	At hindi lang iyan, ayon pa kay Dr. Gerard Hoek ng Netherlands, ang mga taong nakatira sa tabi ng mala-king kalsada (tulad ng EDSA) ay mas maikli ang buhay kumpara sa mga taong malayo sa malaking kalsada.	and not only that, according to Doctor Gerard Hoek of Netherlands, the people living beside the big roads (such as EDSA) have shorter lives compared to people living far from the road.
<16>	Paano iiwas sa polusyon: Ang solusyon sa air pollution ay ang paghuli sa mga sasakyan na nagbubuga ng maiitim na usok.	how to avoid pollution: the solution to air pollution is to arrest the vehicles which are belching black smoke.
<17>	Iyan sana ang pangunahing layunin ng ating gobyerno.	that should be the primary goal of our government.
<18>	Ngunit para sa ordinaryong tao, heto muna ang ating magagawa.	but for an ordinary person, here is what we can do.
<19>	1\. Maglagay ng screen sa mga pintuan at bintana ng bahay.	1. put sunscreen on the doors and windows of the house.
<20>	Makababawas ito sa polusyon at sa pagpasok din ng lamok.	this will lessen the pollution as well as the entry of mosquitoes.
<21>	2\. Isara ang karamihan ng pintuan at bintana.	2. close most of the doors and windows.
<22>	3\. Magtanin ng bamboo trees at halaman.	3. plant bamboo trees and plants.
<23>	Mas maraming oxygen ang binibigay ng bamboo tree kumpara sa ibang puno.	the bamboo tree gives off more oxygen compared to other trees.
<24>	4\. Ihinto ang paninigarilyo.	4. stop smoking.
<25>	5\. Huwag magsiga o mag-ihaw sa tabi ng bahay.	5. do not build a bonfire or roast beside the house.
<26>	Baka hikain ang iyong kapitbahay.	your neighbor might have asthma attack.
<27>	6\. Kumain na lang sa loob ng mall, at huwag sa labas kung saan may dumadaan na mga sasakyan.	6. eat inside the mall and not outside where vehicles are passing by.
<28>	7\. Sa mga nagmo-motorsiklo, nagko-commute at traffic enforcers, puwedeng magsuot ng face mask para mabawasan ang dumi na papasok sa baga.	7. for those who are riding the motorcycles, commuting and traffic enforcers, wear face mask to lessen the polluted air from entering your lungs.
<29>	8\. Mahalagang paalala: Sa mga drivers, isara ang makina ng kotse kapag nasa parking lot o garahe.	8. important reminder: for the drivers, put off the car engines if you are in the parking lot or garage.
<30>	Huwag magpa-aircon sa loob ng kotse at baka malason kayo ng carbon monoxide mula sa tambutso ng sinasakyan.	do not have an air condition inside the car and you might be poisoned with carbon monoxide from the exhaust pipe of the vehicle you are riding.
<31>	9\. Magbakasyon sa lugar na mahangin.	9. have a vacation to an airy place.
<32>	Paminsan-minsan, pumunta sa tabing dagat o lugar na maraming puno.	sometimes, go near the sea or place with a lot of trees.
<33>	10\. Kung puwede, umiwas tumira sa tabi ng highway.	10. if possible, avoid living beside the highway.
