<1>	(0.000-1.726)	hotline at opinyon .	hotline and opinion .
<2>	(1.726-10.570)	hot issue ang napabalitang mas malakas daw na klase ng human immune deficiency virus o H_I_V na dumating na raw sa bansa mula sa Thailand .	considered a hot issue is the news regarding a strong type of human immune deficiency virus or H_I_V that has allegedly entered the country from Thailand .
<3>	(10.570-22.260)	lumabas daw sa pag-aaral ng national institute of health na karamihan sa mga nagkakasakit ngayon ng H_I_V ay may Thai strain ng virus na C_R_F_O one A_E .	a study of the National Institute of Health shows that many people affected with H_I_V has Thai strain which is C_R_F_O one A_E .
<4>	(22.260-27.530)	mas madali raw itong lumala at maging Acquired Immunodeficiency Syndrome o AIDS .	this gets worse faster and become Acquired Immunodeficiency Syndrome or AIDS .
<5>	(27.530-35.730)	sa katawan ng isang normal na tao may limang daang C_D four lymphocytes o klase ng white blood cells na kumokontra sa sakit .	in the body of a normal human being there are five hundred C_D four lymphocytes or a class of white blood cells that counters the disease .
<6>	(35.730-45.300)	pero sa isang tao na may U_S European strain ng H_I_V three hundred fifty lang ang C_D four lymphocytes .	but for one person that has U_S European strain for H_I_V there are only three hundred and fifty C_D four lymphocytes .
<7>	(45.300-55.352)	kapag may Thai strain naman ang virus <sta> mas pinabababa ang white blood cells na ito sa two hundred thirty three kaya bumibilis din ang paglala ng sakit .	when the virus has Thai strain it lowers the white blood cells to two hundred and thirty-three and that is why the disease spreads faster .
<8>	(55.352-65.420)	ito rin daw ang posibleng dahilan kung bakit pumalo sa dalawampu't anim ang naitatalang bagong kaso ng H_I_V at AIDS ng D_O_H nito lang twenty sixteen .	this could also be the possible reason why the new cases of H_I_V and AIDS reached twenty-six as recorded by the D_O_H only this two thousand and sixteen .
<9>	(65.420-73.009)	para mas malinawan tayo tungkol sa hot isyu na 'yan makausap natin sa linya ng telepono si Assistant Secretary Eric Tayag ng D_O_H .	for more clarification regarding this hot issue we will talk in the line with Assistant Secretary Eric Tayag of D_O_H .
<10>	(73.009-74.577)	magandang tanghali po sir .	good afternoon sir .
<11>	(74.577-77.600)	<int> Raffy magandang tanghali salamat po .	Raffy good afternoon thank you .
<12>	(77.600-86.360)	itong strain na C_R_F_O one A_E galing po sa Thailand ano ito at pa'no ito nakapasok sa bansa sir ?	this strain C_R_F_O one A_E that came from Thailand what is this and how did it enter the country sir ?
<13>	(86.360-122.330)	<hes> una po 'yan ay tinatawag na Thai strain subalit <hes> noong dekada nobenta ay nanggaling po 'yan sa Africa at <hes> kumalat na po sa maraming bahagi ng mundo lalo na dito sa Asya Thailand at sa mga iba pang bansang katabi nito at 'yan ang Pilipinas po ay na may ganiyan na rin pong strain originally po 'yung strain natin ay V ngayon po ay C_R_F_O one AD na po ang nakikita ng mga dalubhasa po diyan at may report sa U_P P_G_H po .	first it is called Thai strain but in the ninety's it was from Africa and spread in many parts of the world especially here in Asia Thailand and other countries nearby the Philippines has this strain originally our strain is V and now C_R_F_O one A_D is being seen by our experts and there is a report by U_P P_G_H .
<14>	(122.330-124.944)	okay nakapasok na daw po ito ng bansa ?	okay has this entered the country ?
<15>	(124.944-129.860)	ito ho ba ang dahilan kung bakit biglang dumami ang pasyente ng <hes> H_I_V at AIDS ngayon dito ?	is this the reason why the number of H_I_V and AIDS patients suddenly increased here now ?
<16>	(129.860-134.069)	<hes> sa pagkakaalam namin <hes> Raffy buti natanong mo 'yan .	as far as we know Raffy it's good that you asked about that .
<17>	(134.069-136.914)	ang strain na ito ay mabilis makahawa .	this strain is highly contagious .
<18>	(136.914-140.706)	pangalawa mabilis na <hes> magkaro'n ng AIDS .	second it's quick to get AIDS .
<19>	(140.706-157.130)	so imbis na sampung taon siguro kalahati na lang limang taon na lang H_I_V tapos magiging AIDS na at <hes> pangatlo may potensiyal na baka 'yung gamot na ginagamit natin ay magiging <no-speech> <hes> resistant na po .	so instead of ten years it will be halved to five years for H_I_V to become AIDS and third there is a possibility that the medicine we use will become resistant .
<20>	(157.130-159.600)	sa mga gamot na ginagamit po natin .	in the medicine that we use .
<21>	(159.600-173.411)	ang pagtaas po ng H_I_V natin ay hindi lamang dahil sa strain na 'to kundi sa mababang <hes> prevent -- prevention na maaaring makuha ng ating mga kababayan .	the increase of H_I_V is not only because of this strain but because of the low prevent -- prevention that our countrymen could possibly get .
<22>	(173.411-174.460)	okey .	okay .
<23>	(174.460-177.990)	<hes> 'yung mga taong hindi po sexually active .	those people who are not sexually active .
