<1>	(0.000-1.827)	<no-speech>	<no-speech>
<2>	(1.827-10.060)	superman fly high at doctor death ilan ito sa designer drugs na malimit umanong ibinebenta sa mga private party .	superman fly high and doctor death these are few of the designer drugs that are allegedly being sold in private parties .
<3>	(10.060-16.410)	ayon sa dating tagapagsalita ng P_N_P anti-illegal drugs group patok ito sa yuppies o young professionals .	according to the former spokesperson of the P_N_P anti-illegal drugs group this is popular with yuppies and young professionals .
<4>	(16.410-26.563)	<int> may intel report before na 'pag talagang may D_Js dito foreign- -- foreigners 'no international D_Js <no-speech> <hes> sakal- -- 'tsaka rin kumakalat 'yan .	there is an intelligence report that when there are really D_Js here foreign -- foreigners international D_Js -- then it is spreading .
<5>	(26.563-32.370)	<int> pinaghalong shabu ecstasy at Viagra ang madalas na sangkap ng party drugs .	a mixture of methamphetamine ecstasy and Viagra is the common ingredient of party drugs .
<6>	(32.370-37.390)	ang bentahan umaabot ng hanggang dalawang libong piso kada tableta .	the selling reaches up to two thousand pesos each tablet .
<7>	(37.390-44.260)	at ang epekto nito sa katawan pagbilis at iregular na tibok ng puso panlalabo ng paningin at pagsusuka .	and its effect in the body speeding up and irregular heartbeat blurring of vision and vomiting .
<8>	(44.260-49.450)	posible ring tumaas ang temperatura ng katawan o hyperthermia na maaaring mauwi sa kamatayan .	it is also possible for the body temperature to rise or hyperthermia that could lead to death .
<9>	(49.450-58.061)	<int> 'pag mahina-hina ang <hes> katawan no'ng tao no'ng mga <hes> nakainom ay pupuwedeng magkaro'n ng effect sa puso .	when the body of the person those who drank it get weak there could possibly be an effect to the heart .
<10>	(58.061-59.925)	lalo na 'yong mga first timer ano ?	most especially those first timers right ?
<11>	(59.925-61.190)	lalo na 'yong first timer 'no .	most especially the first timer right .
<12>	(61.190-62.480)	<no-speech>	<no-speech>
<13>	(62.480-66.510)	mistulang vitamins ang itsura ng party drugs kaya madaling maitago .	party drugs seem to look like vitamins so these are easy to hide .
<14>	(66.510-72.988)	mahirap ding mahuli ang bentahan nito dahil kontrolado umano ng mga organizer ang mga lugar kung saan ito naibebenta .	it is also difficult to catch its sales because the organizers control the places where it is sold .
<15>	(72.988-79.910)	<int> 'no na pulis ako I_I_D_G ako o P_DEA ako or N_B_I hindi ka papapasukin anong gagawin mo do'n ?	right that I am a policeman I am I_I_D_G or I am P_DEA or N_B_I you won't be allowed to enter what will you do there ?
<16>	(79.910-82.450)	so kailangan -- so kailangan undercover .	so you need -- so you need to go undercover .
<17>	(82.450-84.063)	eh mahal ang ticket yata ng mga gano'n .	but a ticket in those seems to be expensive .
<18>	(84.063-85.792)	hindi kaya ng mamang pulis 'no .	a mister police man can't do it .
<19>	(85.792-86.670)	<no-speech>	<no-speech>
<20>	(86.670-97.228)	kasunod naman ng pagkasawi ng limang tao sa isang concert sa Pasay iginiit ng P_N_P na wala silang hurisdiksiyon sa loob ng venue dahil may sariling security ang event organizer .	following the deaths of five people in a concert in Pasay the P_N_P insisted that they don't have jurisdiction inside the venue because the event organizer has its own security .
<21>	(97.228-100.340)	<int> ang <hes> pulis is nasa perimeter .	the police is in the perimeter .
<22>	(100.340-103.828)	just in case mayro'ng <hes> gulo then reresponde kami kung kinakailangan .	just in case there is a disturbance then we will respond if needed .
<23>	(103.828-105.927)	<int> umaaksiyon ~ %incomplete	in action %incomplete
