<1>	Sababu nne za ubakaji, ulawiti zawekwa hadharani	four reasons of rape and sodomy exposed
<2>	RC Iringa ataka wasomi wa vyuo vikuu kupendekeza utafiti utakaowezesha kumalizwa tatizo hilo	RC Iringa wants university students to suggest research that will enable the eradication of this problem
<3>	Geofrey Nyang'oro, Mwananchi gnyang'oro@mwananchi.co.tz	Geofrey Nyang'oro, Mwananchi gnyang'oro@mwananchi.co.tz
<4>	Iringa.	Iringa.
<5>	Wakati jamii ikipambana kudhibiti ukatili wa kijinsia, sababu nne zinazochangia kukithiri kwa ubakaji na ulawiti dhidi ya watoto wadogo mkoani hapa zimetajwa.	while the community is struggling to control gender discrimination, four reasons that contribute to rape and sodomy cases against young children in this province have been mentioned.
<6>	Taarifa za hivi karibuni zinaeleza kukithiri kwa vitendo vya ubakaji dhidi ya watoto wadogo na hasa wilayani Kilolo, hali iliyosababisha Mkuu wa Wilaya hiyo, Asia Abdallah kupendekeza litangazwe kuwa ni janga.	recent reports indicate aggravated rape of small children particularly in the Kilolo district, a situation that has caused the district commissioner, Asia Abdallah, to suggest it to be declared a disaster.
<7>	Akichangia hoja kwenye kikao cha Kamati ya Ushauri Mkoa (RCC) wa Iringa, Mkuu wa Wilaya ya Iringa, Richard Kasesela alisema sababu hizo nne ukiwamo ushirikina zimebainika kupitia utafiti ulioratibiwa na ofisi ya mkuu wa mkoa.	contributing a point in Iringa during the regional consultative committee (RCC) meeting, the Iringa district commissioner, Richard Kasesela, said these four reasons, including superstition, have been determined through research which was commissioned by the office of the head of the province.
<8>	"Pamoja na ushirikina ambao ndiyo unaoongoza, sababu nyingine ni wazazi kuwaruhusu watoto wao kulala na wageni, kulegalega kwa baadhi ya ndoa na baadhi ya wazazi kuzaa na kuwatelekeza watoto," alisema Kasesela.	"with superstition in the lead, other reasons are parents allowing their children to sleep with strangers, some marriages being unstable and some parents giving birth and abandoning their children," said Kasesela.
<9>	Awali, akichangia hoja kwenye kikao hicho, Mkuu wa Wilaya ya Kilolo, Abdallah alisema matukio ya ubabakaji na ulawiti yamekithiri wilayani kwake.	initially, while contributing to a point at the meeting, Kilolo district commissioner, Abdallah, said rape and sodomy cases have been too much in his district.
<10>	"Ingawa hoja hii haipo katika ajenda za kikao, niombe idhini yako mwenyekiti, kikao kiijadili na tuje na suluhu ya pamoja.	"although this point is not on the agenda of the meeting, may I ask the chairperson's permission that this meeting discusses it and we come up with a common solution.
<11>	Tatizo hili ni kubwa wilayani kwangu na mbaya zaidi wenzetu kutoka idara zinazohusika na kutafsiri sheria wamekuwa hawalipi uzito unaostahili," alisema.	this problem is big and, worst of all, is that our colleagues from the ministries involved in interpreting the law have not been giving it the seriousness it deserves," he said.
<12>	Abdallah alisema wilayani Kilolo kumekuwa na wastani wa matukio mawili ya ubakaji kwa watoto kila siku, wakiwamo wa chini ya miaka kumi.	Abdallah said in the Kilolo district, there have been an average of two child rape cases every day, include those below ten years of age.
<13>	Mbunge wa Kilolo, Venance Mwamoto alipendekeza elimu itolewe na hasa kwa wazazi kuhusu athari zitokanazo na vitendo vya ubakaji kwa watoto.	Kilolo member of parliament, Venance Mwamoto, suggested that information is provided about the effects of rape to children, especially to parents.
<14>	Mwenyekiti wa kikao hicho ambaye ni Mkuu wa Mkoa wa Iringa, Amina Masenza aliuagiza uongozi wa vyuo vikuu vilivyopo mkoani humo kukutana na kutoa mapendekezo ya namna ya kufanya utafiti wenye lengo la kuondoa tatizo hilo.	the chairperson of the meeting, who is the head of the Iringa province, Amina Masenza, asked the management of universities in the province to meet and give suggestions on how to conduct research with an aim of eradicating this problem.
<15>	"Hapa Iringa tunazungukwa na vyuo vikuu nitumie fursa hii kuwataka viongozi wao kukutana na kupanga namna tunavyoweza kufanya utafiti huo, utakaokuja na jibu wapi tatizo hili ni kubwa, wakati gani na kwa nini.	"here in Iringa, we are surrounded by universities, let me take this opportunity to ask their leaders to meet and to plan on how we can do the research to come up with answer on where this problem is large, when and why?
<16>	Pia, mbinu za kulitatua," alisema Masenza.	also the means to solve it," said Masenza.
