<1>	(0.000-6.401)	<misc> <sta> gesi huwezi kufananisha na umeme wala na makaa kutokana gesi ina matumizi yake .	you cannot compare gas with electricity and charcoal because gas has its uses .
<2>	(6.401-25.606)	kwa mimi ninavyojua wateja ambao nawasambazia gesi ni- -- <hes> ukichukulia na mkaa mkaa sasa hivi <sta> familia ya watu wala tuchukulie watoto watatu na wazazi nami mi <sta> ndiyo maana mkaa kwa siku ni elfu tatu kwa mwezi ni (()) elfu tisini <breath> lakini gesi akichukua mtungi wa kilo kumi na tano anaweza <sta> kukaa nao mwezi na nusu mpaka miwili .	for me I have my customers that I supply gas for them -- if you take with charcoal charcoal now a family of three or let's take three children and parents and me is the reason charcoal in a day is three thousand in a month is (()) ninety thousand but gas if he takes a cylinder of fifteen kilograms he can use for one and a half months up to two .
<3>	(25.606-33.324)	<hes> ukichukulia mtungi unaanza mdogo wa kilo sita <sta> kwa kuwa kampuni zinatofautiana kama Oryx (()) .	if you choose a cylinder you start with a small one of six kilograms because companies differ like Oryx (()) .
<4>	(33.324-37.912)	Oryx ni ishirini na mbili zingine zilizobaki ni elfu ishirini kuexchange <sta> .	Oryx is twenty thousand the other remaining ones are twenty thousand to exchange .
<5>	(37.912-42.090)	kwa sasa hivi kwa majumbani wanatumia mitungi ya kilo kumi na tano na kilo sita .	for now in the houses they are using cylinders of fifteen kilograms and six kilograms .
<6>	(42.090-45.500)	<sta> isipokuwa kwenye mahoteli wanatumia mitungi ya kilo thelathini na nane .	except in the hotels they are using cylinder of thirty-eight kilograms .
<7>	(45.500-56.370)	(()) hii ni sawa ni kubwa kuipata kwa pamoja ni ngumu <sta> ila isipokuwa tunaongelelea wakati kitu kilichopatikana cha kununua gesi na <sta> wakati huo huo wa matumizi .	(()) this is okay it is big to get get it at once is hard but except we are talking about the time something has come up to buy gas and at the same time of usages .
<8>	(56.370-68.520)	kwa serikali yetu inayotaka tuingie madarasani na sisi hapa si tuna gesi <sta> ndiyo maana hiyo gesi ikitoka mtungi mdogo huuzwa complete hata elfu thelathini <sta> ndiyo maana gesi huuzwa hata elfu tano kwa ujazo wa kilo sita .	for our government that wants us to enter the classes and us here we have gas is the reason why when that gas comes out a small cylinder it is sold complete even thirty thousand that is why gas is sold even five thousand to refill six kilograms .
<9>	(68.520-70.906)	<sta> ndiyo maana kila mwananchi ana uwezo wa kutumia .	it is then the reason why every citizen have the ability to use it .
<10>	(70.906-77.096)	<hes> gesi zamani wa- -- Watanzania wengi walikuwa wanaiogopa kwamba inalipuka <sta> na nini lakini siku hizi wote nadhani wanatumia .	gas in the past -- many Tanzanians used to fear that it bursts and what but nowadays I think all are using .
<11>	(77.096-83.179)	asilimia kubwa wanatumia gesi ni mmoja tu ndiyo ana- -- <sta> mmoja mmoja ndiyo anatumia makaa ila asilimia kubwa wanatumia gesi .	a big percentage are using gas it is just one who is -- few that are using charcoal but a big percentage are using gas .
<12>	(83.179-96.523)	<hes> gesi -- ukichukulia gesi labda mpaka ilete mlipuko <sta> ni sehemu ambayo ina giza wala hamna dirisha wala nini kwa sababu gesi kawaida ikiwa ina leakage <breath> kama kuna hewa inapita <sta> sio rahisi kuleta mlipuko .	gas -- if you take gas maybe until it explodes it is a place that is dark and has no window or what because gas normally when it has leakage if there is air passing it is not easy to bring explosion .
<13>	(96.523-112.450)	<hes> faida zinazotokana na gesi ukichukulia gesi kwanza <sta> mazi- -- uchafu wa mazingira muda unavyoutumia sio rahisi hata kama ukiwa na kwenye (()) <breath> ndiyo maana mtu ukimwambia nilikuwa napika hapa hawezi kuamini lakini mafuta ya taa <sta> mkaa kila mtu atajua kweli huyu alikuwa anapika .	benefits that results from gas when you take gas first -- it is not easy to bring environmental pollution the time you are using even if you have and in (()) that is why if you tell a person I was cooking here she cannot believe but kerosene or charcoal everyone will know truly this one was cooking .
<14>	(112.450-114.145)	<sta> kwa nini watu wanakimbilia mkaa ?	why are people are running for charcoal ?
<15>	(114.145-122.890)	ni mtu ukija ukimwambia kwamba complete ya kilo sita ni elfu themanini au themanini na tano <sta> anaona hii hela kuitoa kwa pamoja ni ngumu .	is a person if you come to tell her that complete of six kilogram is eighty thousand or eighty-five thousand she sees that this money to remove it at once is hard .
<16>	(122.890-125.324)	<sta> anaona mbona nikanunue mkaa wa elfu mbili elfu moja .	she sees why then buy charcoal of two thousand one thousand .
<17>	(125.324-134.975)	lakini sasa akikaa chini akipiga hesabu ina maana kwa mwezi anatumia <sta> ile hela ambayo itakayonunua complete ya kilo sita ndiyo anatumia kwenye kununua tu mkaa .	but now if she sits down and calculate it means in a month she uses the amount of money that will buy complete of six kilograms that she is using to just buy charcoal .
<18>	(134.975-136.783)	<no-speech>	<no-speech>
