<1>	Telkom moto mkali, ilitisha klabu nchini na pia Afrika	Telkom is hot fire, it threatened a club in the country and also Africa
<2>	MWAKA wa 2014 ulishuhudia mafanikio makubwa kwenye magongo ya kina dada ngazi ya kimataifa ambapo Kenya ilibahatika kuandikisha matokeo ya kufana na kuashiria inalenga kujitahidi kukasa tikiti kushiriki michezo ya Olimpiki mwaka ujao 2016.	the year 2014 saw great success in women's hockey at the international stage where Kenya was lucky to get good results and indicated its aim to put in effort towards winning the ticket to participate in the upcoming 2016 Olympic games.
<3>	Aidha vipusa wa klabu za Telkom Orange na Chuo Kikuu cha Strathmore zilipiga hatua kwa kutikisa wapinzani wengine kwenye kampeni za kuwania Kombe la Klabu Bingwa Afrika (CCCA) zilizofanyika mjini Bulawayo, Zimbabwe.	furthermore, the pretty girls of Telkom Orange and Strathmore University have made the move of shaking other opponents in the campaign to compete for the cup of the Africa Club Championships (CCCA) which took place in Bulawayo, Zimbabwe.
<4>	Kwa mara ya kwanza vichuna wa timu ya taifa kushiriki michuano ya magongo ya Ligi ya Dunia (FIH) walifanya kweli baada ya kujitwalia tikiti ya kucheza patashika za raundi ya pili.	for the first time, the women's national team participated in the international hockey league (FIH) match and they truly did well after capturing the ticket to play the match of the second round.
<5>	Ingawa ulikuwa mwanzo kwa vichuna wa timu ya Taifa kushiriki kinyang’anyiro hicho walionyesha ukakamavu wa kipekee baada ya kujitwalia tikiti ya kucheza magongo ya raundi ya pili.	even though it was the first time for the women national team to participate in that championship, it showed a unique determination after capturing the ticket to play hockey in round two.
<6>	Mabinti wa kikosi cha Kenya wakiongozwa na makocha, William Oketch na Jos Openda walimaliza kileleni kwenye mechi hizo zilizojumuisha mataifa matatu na kuandaliwa ugani City Park, jijini Nairobi.	the ladies of the Kenyan squad, led by coaches William Oketch and Jos Openda, finished at the top of those matches which included three nations and was organized at City Park stadium, Nairobi.
<7>	Wachezaji wa kikosi hicho wakiongozwa na nahodha wake pia wa klabu ya Telkom Orange, Besty Omalla walifanikiwa kuibuka mshindi kwenye mechi hizo za raundi ya kwanza kwa kuwaangusha wapinzani wao timu za Ghana na Tanzania.	players in the squad led by its captain and also the captain of the Telkom Orange club, Besty Omalla, emerged victorious in the first round matches by defeating their opponents, teams from Ghana and Tanzania.
<8>	Kikosi hicho kilichojawa na matumaini si haba kilikabili upinzani mkali na kuilemea Ghana kwa kuishinda goli 1-0, kisha kuibebesha Tanzania kapu la magoli 22-0.	the squad was filled with big expectations and faced stiff opposition but overwhelmed Ghana by defeating them 1-0, then forced Tanzania to carry a basket of goals with 22-0.
<9>	Timu hiyo ilijumuisha wanamgongo mahiri ambao walifanikiwa kujituma kuonyesha magongo ya kuvutia wakiwemo Besty Omalla, Lilian Aura, Jackline Mwangi, Pauline Naise, Tracy Karanja, Anita Agunda na Margaret Rotich.	the team included skillful hockey players who managed to exhibit commitment and showcased interesting hockey plays, among them were: Besty Omalla, Lilian Aura, Jackline Mwangi, Pauline Naise, Tracy Karanja, Anita Agunda and Margaret Rotich.
<10>	Wengine waliofanikisha ufanisi wa kikosi hicho walikuwa Glennis Namasake na Flavia Mutiva.	others who contributed to the success of the squad were Glennis Namasake and Flavia Mutiva.
<11>	Kabla ya kina dada hao kushuka dimbani, meneja wake, Geoffrey Bila alinukuliwa akisema Kenya haikuwa na lingine ila kuibuka washindi na kusonga mbele kushiriki mechi za raundi ya pili mwaka huu.	before those ladies went down to the match, their manager, Geoffrey Bila, was quoted saying that Kenya had no choice but to emerge victorious in order to move forward to participate in the matches of the second round this year.
